module	monet_type	experiment_info	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	goslim_pir	perc_rank	cumelative_dist	genes	rank	P	N	tp	fp	fn	tn	tot_pop_valid	mcc
1	M1	e019_M1	TRUE	4.549032891844948e-78	158	85	50	0.5882352941176471	0.31645569620253167	GO:0140053	GO:BP	mitochondrial gene expression	16324	20737		GO:0016070;GO:0006412	0	0.02564102564102564	ENSG00000215251;ENSG00000243927;ENSG00000177646;ENSG00000196365;ENSG00000182180;ENSG00000164347;ENSG00000138035;ENSG00000119705;ENSG00000103202;ENSG00000061794;ENSG00000048544;ENSG00000137133;ENSG00000107815;ENSG00000131368;ENSG00000144381;ENSG00000239789;ENSG00000120662;ENSG00000101181;ENSG00000105379;ENSG00000108179;ENSG00000147586;ENSG00000156502;ENSG00000124279;ENSG00000148090;ENSG00000122033;ENSG00000085760;ENSG00000132591;ENSG00000151806;ENSG00000134905;ENSG00000122140;ENSG00000132300;ENSG00000119689;ENSG00000148187;ENSG00000174173;ENSG00000104980;ENSG00000115419;ENSG00000132463;ENSG00000172171;ENSG00000112031;ENSG00000113048;ENSG00000036473;ENSG00000139428;ENSG00000175110;ENSG00000181991;ENSG00000182199;ENSG00000244005;ENSG00000140374;ENSG00000181610;ENSG00000118246;ENSG00000125901;ENSG00000090263;ENSG00000102763;ENSG00000182810;ENSG00000125445;ENSG00000160194;ENSG00000123472;ENSG00000062582;ENSG00000116898;ENSG00000163319;ENSG00000172586;ENSG00000183010;ENSG00000155906;ENSG00000165526;ENSG00000175756;ENSG00000168924;ENSG00000156469;ENSG00000138095;ENSG00000136463;ENSG00000144029;ENSG00000137500;ENSG00000119673;ENSG00000067704;ENSG00000081177;ENSG00000108064;ENSG00000148672;ENSG00000135972;ENSG00000099821;ENSG00000156026;ENSG00000103707;ENSG00000120333;ENSG00000132676;ENSG00000132153;ENSG00000074071;ENSG00000164182;ENSG00000006744;ENSG00000168827;ENSG00000074582;ENSG00000023330;ENSG00000102738;ENSG00000050393	1	158	16166	50	35	108	16131	16324	0.4275355177331374
3	M1	e019_M1	TRUE	6.11506054441149e-7	752	79	20	0.25316455696202533	0.026595744680851064	GO:0007186	GO:BP	G protein-coupled receptor signaling pathway	16324	2809		GO:0050789	0	0.09090909090909091	ENSG00000004809;ENSG00000197296;ENSG00000108639;ENSG00000198018;ENSG00000111897;ENSG00000171860;ENSG00000023041;ENSG00000172954;ENSG00000085998;ENSG00000143570;ENSG00000151617;ENSG00000147246;ENSG00000158850;ENSG00000184857;ENSG00000185900;ENSG00000184992;ENSG00000157837;ENSG00000058668;ENSG00000144891;ENSG00000109929;ENSG00000125648;ENSG00000144567;ENSG00000168785;ENSG00000170412;ENSG00000196187;ENSG00000165678;ENSG00000146411;ENSG00000115353;ENSG00000163933;ENSG00000105983;ENSG00000149742;ENSG00000150625;ENSG00000134817;ENSG00000203737;ENSG00000163624;ENSG00000124532;ENSG00000126010;ENSG00000117479;ENSG00000159063;ENSG00000102195;ENSG00000106018;ENSG00000005206;ENSG00000198792;ENSG00000067842;ENSG00000169313;ENSG00000139133;ENSG00000197901;ENSG00000167191;ENSG00000163870;ENSG00000111684;ENSG00000066455;ENSG00000164180;ENSG00000175106;ENSG00000075673;ENSG00000100196;ENSG00000197977;ENSG00000171049;ENSG00000157111;ENSG00000003989;ENSG00000137207;ENSG00000139679;ENSG00000198121;ENSG00000168077;ENSG00000157600;ENSG00000054793;ENSG00000119787;ENSG00000050426;ENSG00000172292;ENSG00000155659;ENSG00000196715;ENSG00000123146;ENSG00000127080;ENSG00000111666;ENSG00000160216;ENSG00000114812;ENSG00000176894;ENSG00000198743;ENSG00000099282;ENSG00000197563;ENSG00000164187;ENSG00000164073;ENSG00000174749;ENSG00000069493;ENSG00000157087;ENSG00000206527;ENSG00000139624;ENSG00000197150	1	752	15572	20	59	732	15513	16324	0.06889280020828253
4	M1	e019_M1	TRUE	5.0940370198267413e-82	294	84	59	0.7023809523809523	0.20068027210884354	GO:0007178	GO:BP	transmembrane receptor protein serine/threonine kinase signaling pathway	16324	2803		GO:0032502;GO:0032501;GO:0006793;GO:0050896;GO:0050789;GO:0036211	0	0.005208333333333333	ENSG00000170365;ENSG00000106799;ENSG00000122641;ENSG00000163083;ENSG00000135409;ENSG00000241186;ENSG00000115170;ENSG00000139567;ENSG00000121989;ENSG00000113658;ENSG00000120693;ENSG00000095739;ENSG00000069702;ENSG00000101144;ENSG00000171243;ENSG00000153162;ENSG00000106991;ENSG00000137834;ENSG00000039319;ENSG00000107779;ENSG00000204217;ENSG00000169554;ENSG00000119699;ENSG00000175906;ENSG00000103710;ENSG00000125845;ENSG00000114739;ENSG00000149948;ENSG00000135503;ENSG00000125965;ENSG00000090539;ENSG00000141232;ENSG00000138696;ENSG00000168509;ENSG00000167550;ENSG00000180532;ENSG00000123610;ENSG00000156466;ENSG00000171236;ENSG00000120725;ENSG00000132879;ENSG00000197415;ENSG00000263761;ENSG00000123999;ENSG00000109065;ENSG00000128829;ENSG00000181965;ENSG00000138379;ENSG00000021300;ENSG00000152332;ENSG00000127578;ENSG00000106336;ENSG00000159459;ENSG00000116985;ENSG00000171604;ENSG00000147255;ENSG00000152785;ENSG00000054938;ENSG00000115956;ENSG00000173418;ENSG00000101938;ENSG00000134363;ENSG00000128791;ENSG00000173714;ENSG00000168675;ENSG00000070404;ENSG00000135414;ENSG00000187045;ENSG00000183691;ENSG00000125378;ENSG00000198742;ENSG00000180245;ENSG00000123612;ENSG00000100302;ENSG00000174136;ENSG00000112175;ENSG00000175189;ENSG00000156671;ENSG00000186795;ENSG00000164619;ENSG00000038295;ENSG00000111341;ENSG00000122176;ENSG00000143869;ENSG00000180875;ENSG00000228049	1	294	16030	59	25	235	16005	16324	0.3701043360454439
6	M1	e019_M1	TRUE	1.2636106400919894e-37	161	77	30	0.38961038961038963	0.18633540372670807	GO:0009060	GO:BP	aerobic respiration	16324	3312		GO:0022900;GO:0006119;GO:0009117	0	0.012658227848101266	ENSG00000111711;ENSG00000183978;ENSG00000167792;ENSG00000010256;ENSG00000104412;ENSG00000110880;ENSG00000189043;ENSG00000114054;ENSG00000131828;ENSG00000165637;ENSG00000105953;ENSG00000175768;ENSG00000169252;ENSG00000166340;ENSG00000140740;ENSG00000114573;ENSG00000078668;ENSG00000109919;ENSG00000115286;ENSG00000115944;ENSG00000085491;ENSG00000177469;ENSG00000100216;ENSG00000075785;ENSG00000110955;ENSG00000165629;ENSG00000176340;ENSG00000110090;ENSG00000215021;ENSG00000174437;ENSG00000248098;ENSG00000119421;ENSG00000112992;ENSG00000156515;ENSG00000105854;ENSG00000127948;ENSG00000008394;ENSG00000139180;ENSG00000158864;ENSG00000131100;ENSG00000130204;ENSG00000110717;ENSG00000164919;ENSG00000084754;ENSG00000128463;ENSG00000168291;ENSG00000179091;ENSG00000166347;ENSG00000138029;ENSG00000167283;ENSG00000147416;ENSG00000196597;ENSG00000023228;ENSG00000166136;ENSG00000184117;ENSG00000108774;ENSG00000159348;ENSG00000143653;ENSG00000018510;ENSG00000147684;ENSG00000198712;ENSG00000100243;ENSG00000101558;ENSG00000131148;ENSG00000122884;ENSG00000146729;ENSG00000173660;ENSG00000127184;ENSG00000173436;ENSG00000159720;ENSG00000130203;ENSG00000168653;ENSG00000083123;ENSG00000241837;ENSG00000128609;ENSG00000148334;ENSG00000198363;ENSG00000164405	1	161	16163	30	47	131	16116	16324	0.2645492192873154
7	M1	e019_M1	TRUE	3.7945859778845366e-34	41	56	20	0.35714285714285715	0.4878048780487805	REAC:R-HSA-383280	REAC	Nuclear Receptor transcription pathway	10790	1530		GO:0048511;GO:0050789;GO:0050896	0	0.013333333333333334	ENSG00000116717;ENSG00000109819;ENSG00000173153;ENSG00000155846;ENSG00000184481;ENSG00000133639;ENSG00000131408;ENSG00000186350;ENSG00000025434;ENSG00000151623;ENSG00000136931;ENSG00000186951;ENSG00000069667;ENSG00000151090;ENSG00000084676;ENSG00000140396;ENSG00000180530;ENSG00000143171;ENSG00000172819;ENSG00000077092;ENSG00000112033;ENSG00000112658;ENSG00000148200;ENSG00000029153;ENSG00000134852;ENSG00000129152;ENSG00000101849;ENSG00000131910;ENSG00000165671;ENSG00000198646;ENSG00000146278;ENSG00000111424;ENSG00000101076;ENSG00000012504;ENSG00000082014;ENSG00000130222;ENSG00000170485;ENSG00000169297;ENSG00000196482;ENSG00000145391;ENSG00000189266;ENSG00000163586;ENSG00000144852;ENSG00000117707;ENSG00000147166;ENSG00000106789;ENSG00000283930;ENSG00000107223;ENSG00000116833;ENSG00000132326;ENSG00000185551;ENSG00000119715;ENSG00000143365;ENSG00000043039;ENSG00000099860;ENSG00000104936;ENSG00000179195;ENSG00000160113;ENSG00000176293;ENSG00000153234;ENSG00000183722;ENSG00000163795;ENSG00000064835;ENSG00000130598;ENSG00000171988;ENSG00000118245;ENSG00000177200;ENSG00000010539;ENSG00000167470;ENSG00000101883;ENSG00000123095;ENSG00000009709;ENSG00000164749;ENSG00000151726;ENSG00000143257;ENSG00000171533;ENSG00000116353	1	41	10749	20	36	21	10713	10790	0.41481575912810265
8	M1	e019_M1	TRUE	1.1062237065491538e-44	86	50	29	0.58	0.3372093023255814	KEGG:04610	KEGG	Complement and coagulation cascades	8161	314		GO:0050789;GO:0050817;GO:0050878;GO:0050896	0	0.011235955056179775	ENSG00000146674;ENSG00000005961;ENSG00000113905;ENSG00000122194;ENSG00000122861;ENSG00000185010;ENSG00000101981;ENSG00000149131;ENSG00000164344;ENSG00000131187;ENSG00000124491;ENSG00000143278;ENSG00000115718;ENSG00000117525;ENSG00000019991;ENSG00000104432;ENSG00000123838;ENSG00000123843;ENSG00000182326;ENSG00000106366;ENSG00000167264;ENSG00000180210;ENSG00000167244;ENSG00000117601;ENSG00000017427;ENSG00000145431;ENSG00000184500;ENSG00000145649;ENSG00000167900;ENSG00000099937;ENSG00000163815;ENSG00000171560;ENSG00000184164;ENSG00000163453;ENSG00000173467;ENSG00000115461;ENSG00000168702;ENSG00000163536;ENSG00000166145;ENSG00000178149;ENSG00000188488;ENSG00000057593;ENSG00000091583;ENSG00000146678;ENSG00000141753;ENSG00000124570;ENSG00000149418;ENSG00000126218;ENSG00000182752;ENSG00000171557;ENSG00000198734;ENSG00000109758;ENSG00000126233;ENSG00000171564;ENSG00000064205;ENSG00000088926;ENSG00000173391;ENSG00000115457;ENSG00000198670;ENSG00000080618;ENSG00000115486;ENSG00000042980;ENSG00000116183;ENSG00000102359;ENSG00000105825;ENSG00000159167;ENSG00000125772;ENSG00000104368;ENSG00000047457;ENSG00000160323;ENSG00000139610;ENSG00000099769;ENSG00000124102;ENSG00000163389;ENSG00000186075	1	86	8075	29	21	57	8054	8161	0.4378602241136196
9	M1	e019_M1	TRUE	4.506548732530316e-54	610	71	51	0.7183098591549296	0.08360655737704918	GO:0016567	GO:BP	protein ubiquitination	16324	5381		GO:0009057;GO:0036211;GO:0006508	0	0.03333333333333333	ENSG00000169139;ENSG00000157450;ENSG00000161642;ENSG00000244687;ENSG00000172175;ENSG00000049759;ENSG00000142867;ENSG00000135144;ENSG00000173193;ENSG00000013561;ENSG00000131508;ENSG00000119401;ENSG00000010318;ENSG00000004838;ENSG00000101197;ENSG00000101871;ENSG00000183574;ENSG00000124226;ENSG00000125826;ENSG00000170142;ENSG00000180891;ENSG00000182247;ENSG00000183763;ENSG00000078967;ENSG00000130311;ENSG00000104343;ENSG00000170153;ENSG00000141527;ENSG00000139517;ENSG00000065371;ENSG00000198919;ENSG00000185019;ENSG00000151692;ENSG00000143258;ENSG00000022840;ENSG00000112130;ENSG00000170035;ENSG00000178498;ENSG00000072609;ENSG00000158717;ENSG00000171206;ENSG00000078140;ENSG00000109654;ENSG00000137075;ENSG00000132256;ENSG00000168894;ENSG00000102858;ENSG00000110171;ENSG00000134758;ENSG00000173926;ENSG00000014123;ENSG00000159202;ENSG00000081803;ENSG00000186187;ENSG00000163840;ENSG00000184787;ENSG00000123728;ENSG00000144015;ENSG00000049883;ENSG00000134253;ENSG00000160087;ENSG00000168411;ENSG00000135378;ENSG00000180233;ENSG00000196860;ENSG00000099864;ENSG00000137393;ENSG00000140367;ENSG00000018625;ENSG00000239305;ENSG00000178685;ENSG00000188120;ENSG00000110042;ENSG00000138496;ENSG00000258659	1	610	15714	51	20	559	15694	16324	0.23729607057539992
10	M1	e019_M1	TRUE	7.593280557268458e-8	755	71	20	0.28169014084507044	0.026490066225165563	GO:0000122	GO:BP	negative regulation of transcription by RNA polymerase II	16324	51		NA	0	0.05263157894736842	ENSG00000074219;ENSG00000136014;ENSG00000182568;ENSG00000101115;ENSG00000103449;ENSG00000049768;ENSG00000133937;ENSG00000169856;ENSG00000004700;ENSG00000143190;ENSG00000101126;ENSG00000143614;ENSG00000128573;ENSG00000176692;ENSG00000223775;ENSG00000277936;ENSG00000028277;ENSG00000148229;ENSG00000178409;ENSG00000257923;ENSG00000170608;ENSG00000115350;ENSG00000110344;ENSG00000137166;ENSG00000119042;ENSG00000276644;ENSG00000100479;ENSG00000054598;ENSG00000139910;ENSG00000131668;ENSG00000151503;ENSG00000177485;ENSG00000175470;ENSG00000159184;ENSG00000166439;ENSG00000128652;ENSG00000178919;ENSG00000125798;ENSG00000177084;ENSG00000177125;ENSG00000052850;ENSG00000170122;ENSG00000168255;ENSG00000131778;ENSG00000198597;ENSG00000160877;ENSG00000109101;ENSG00000065970;ENSG00000074410;ENSG00000198604;ENSG00000104953;ENSG00000123364;ENSG00000153560;ENSG00000179361;ENSG00000099331;ENSG00000103067;ENSG00000129911;ENSG00000176165;ENSG00000179772;ENSG00000104447;ENSG00000006377;ENSG00000175745;ENSG00000187140;ENSG00000104967;ENSG00000091656;ENSG00000095564;ENSG00000114861;ENSG00000186766;ENSG00000105880;ENSG00000128714;ENSG00000176678;ENSG00000144355;ENSG00000103241;ENSG00000164778;ENSG00000251493	1	755	15569	20	51	735	15518	16324	0.07409074667272257
11	M1	e019_M1	TRUE	9.18626781240049e-49	141	53	35	0.660377358490566	0.24822695035460993	KEGG:04140	KEGG	Autophagy - animal	8161	272		GO:0006914;GO:0007033;GO:0022607;GO:0022411;GO:0007005;GO:0050789	0	0.015625	ENSG00000104765;ENSG00000164938;ENSG00000106052;ENSG00000184979;ENSG00000078142;ENSG00000196455;ENSG00000230989;ENSG00000057663;ENSG00000145782;ENSG00000197548;ENSG00000152348;ENSG00000188554;ENSG00000157625;ENSG00000150764;ENSG00000035681;ENSG00000123240;ENSG00000034713;ENSG00000120696;ENSG00000023287;ENSG00000083290;ENSG00000175224;ENSG00000145016;ENSG00000126775;ENSG00000157954;ENSG00000205356;ENSG00000144848;ENSG00000011454;ENSG00000101844;ENSG00000170296;ENSG00000213934;ENSG00000168397;ENSG00000177169;ENSG00000165861;ENSG00000078804;ENSG00000148572;ENSG00000163625;ENSG00000139112;ENSG00000104969;ENSG00000123395;ENSG00000197769;ENSG00000130734;ENSG00000085382;ENSG00000154153;ENSG00000147894;ENSG00000119638;ENSG00000069509;ENSG00000155961;ENSG00000217128;ENSG00000121749;ENSG00000108389;ENSG00000163346;ENSG00000104946;ENSG00000168010;ENSG00000265491;ENSG00000132872;ENSG00000110046;ENSG00000164253;ENSG00000176714;ENSG00000222028;ENSG00000130748;ENSG00000103150;ENSG00000163820;ENSG00000104951;ENSG00000276600;ENSG00000172007;ENSG00000066739;ENSG00000118997;ENSG00000237693;ENSG00000070540;ENSG00000206418;ENSG00000060140;ENSG00000178809;ENSG00000274145;ENSG00000174885	1	141	8020	35	18	106	8002	8161	0.39903064943372857
12	M1	e019_M1	TRUE	1.621379323235748e-8	133	69	11	0.15942028985507245	0.08270676691729323	GO:0010466	GO:BP	negative regulation of peptidase activity	16324	4249		GO:0065009;GO:0050789	0	0.04	ENSG00000175206;ENSG00000145632;ENSG00000143387;ENSG00000197641;ENSG00000137033;ENSG00000113889;ENSG00000196415;ENSG00000118898;ENSG00000167880;ENSG00000163207;ENSG00000241973;ENSG00000266412;ENSG00000135047;ENSG00000143631;ENSG00000106538;ENSG00000057149;ENSG00000100448;ENSG00000167996;ENSG00000167748;ENSG00000157349;ENSG00000178363;ENSG00000241794;ENSG00000160213;ENSG00000197249;ENSG00000167914;ENSG00000105141;ENSG00000136155;ENSG00000206073;ENSG00000167131;ENSG00000158691;ENSG00000087086;ENSG00000143320;ENSG00000102309;ENSG00000168878;ENSG00000136943;ENSG00000108602;ENSG00000121552;ENSG00000170373;ENSG00000173080;ENSG00000125245;ENSG00000109861;ENSG00000103811;ENSG00000196743;ENSG00000204710;ENSG00000124429;ENSG00000163131;ENSG00000183479;ENSG00000157869;ENSG00000065833;ENSG00000025708;ENSG00000175315;ENSG00000153303;ENSG00000010438;ENSG00000138722;ENSG00000203782;ENSG00000119616;ENSG00000161905;ENSG00000170426;ENSG00000101439;ENSG00000242252;ENSG00000129451;ENSG00000139146;ENSG00000121903;ENSG00000165799;ENSG00000099953;ENSG00000170367;ENSG00000196344;ENSG00000084110;ENSG00000166396;ENSG00000087299;ENSG00000167799;ENSG00000162877;ENSG00000237114;ENSG00000182583	1	133	16191	11	58	122	16133	16324	0.10963665257885484
