module	monet_type	experiment_info	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	goslim_pir	perc_rank	cumelative_dist	genes	rank	P	N	tp	fp	fn	tn	tot_pop_valid	mcc
1	R1	e019_R1	TRUE	9.33528436815188e-5	12	13	3	0.2307692307692308	0.25	REAC:R-HSA-1663150	REAC	The activation of arylsulfatases	10790	2363	NA	NA	0	0.3333333333333333	-	1	12	10778	3	10	9	10768	10790	0.23931191613213965
2	R1	e019_R1	TRUE	1.5691177583892905e-15	132	26	13	0.5	0.09848484848484848	KEGG:04142	KEGG	Lysosome	8161	274	NA	GO:0008152	0	0.04761904761904761	-	1	132	8029	13	13	119	8016	8161	0.21683148449748063
3	R1	e019_R1	TRUE	3.4458638120663977e-7	9	20	4	0.2	0.4444444444444444	REAC:R-HSA-391908	REAC	Prostanoid ligand receptors	10790	1720	NA	GO:0050789	0	0.16666666666666666	-	1	9	10781	4	16	5	10765	10790	0.2972985451317327
4	R1	e019_R1	TRUE	3.179122905075278e-13	35	21	8	0.380952380952381	0.22857142857142856	REAC:R-HSA-1296065	REAC	Inwardly rectifying K+ channels	10790	1211	NA	GO:0006936;GO:0006811	0	0.02040816326530612	-	1	35	10755	8	13	27	10742	10790	0.2933331119213059
5	R1	e019_R1	TRUE	4.102500520200147e-24	18	24	11	0.4583333333333333	0.6111111111111112	REAC:R-HSA-163210	REAC	Formation of ATP by chemiosmotic coupling	10790	898	NA	GO:0006119;GO:0009117	0	0.02040816326530612	-	1	18	10772	11	13	7	10759	10790	0.5283397621500766
6	R1	e019_R1	TRUE	5.270802926965621e-25	43	19	13	0.6842105263157895	0.3023255813953488	KEGG:03022	KEGG	Basal transcription factors	8161	213	NA	GO:0009059;GO:0006281;GO:0016070	0	0.01724137931034482	-	1	43	8118	13	6	30	8112	8161	0.4530313689598902
7	R1	e019_R1	TRUE	1.6998006314301527e-49	43	28	23	0.8214285714285714	0.5348837209302325	KEGG:03022	KEGG	Basal transcription factors	8161	213	NA	GO:0006508;GO:0016070;GO:0050789;GO:0065003;GO:0036211;GO:0009059	0	0.01818181818181818	-	1	43	8118	23	5	20	8113	8161	0.6614748772569595
8	R1	e019_R1	TRUE	5.581079007415451e-4	449	11	6	0.5454545454545454	0.01336302895322939	REAC:R-HSA-9012999	REAC	RHO GTPase cycle	10790	1755	NA	NA	0	0.3333333333333333	-	1	449	10341	6	5	443	10336	10790	0.08059691678035674
9	R1	e019_R1	TRUE	1.178889931268636e-19	23	17	9	0.5294117647058824	0.391304347826087	GO:0042744	GO:BP	hydrogen peroxide catabolic process	16324	10914	NA	GO:0008152;GO:0015669	0	0.05263157894736842	-	1	23	16301	9	8	14	16293	16324	0.4544950860556321
10	R1	e019_R1	TRUE	9.37995722677978e-26	170	22	18	0.8181818181818182	0.10588235294117648	KEGG:04310	KEGG	Wnt signaling pathway	8161	293	NA	GO:0032501;GO:0007154;GO:0050896;GO:0050789;GO:0032502	0	0.01098901098901099	-	1	170	7991	18	4	152	7987	8161	0.29026437157621876
11	R1	e019_R1	TRUE	4.083859608820558e-17	140	21	12	0.5714285714285714	0.08571428571428572	GO:0006836	GO:BP	neurotransmitter transport	16324	2562	NA	GO:0007154;GO:0065008;GO:0006836;GO:0046903;GO:0016192	0	0.01818181818181818	-	1	140	16184	12	9	128	16175	16324	0.21907353538175536
12	R1	e019_R1	TRUE	2.9417350915754253e-46	24	26	18	0.6923076923076923	0.75	GO:0031145	GO:BP	anaphase-promoting complex-dependent catabolic process	16324	7447	NA	GO:0007049;GO:0006508;GO:0009057;GO:0050789;GO:0036211	0	0.00980392156862745	-	1	24	16300	18	8	6	16292	16324	0.7201493313891848
13	R1	e019_R1	TRUE	1.1157332927870036e-17	35	23	10	0.43478260869565216	0.2857142857142857	REAC:R-HSA-114604	REAC	GPVI-mediated activation cascade	10790	967	NA	GO:0044255;GO:0050789;GO:0006793	0	0.00427350427350427	-	1	35	10755	10	13	25	10742	10790	0.35076696988376926
14	R1	e019_R1	TRUE	5.661990639599903e-9	94	15	7	0.4666666666666667	0.07446808510638298	REAC:R-HSA-9013423	REAC	RAC3 GTPase cycle	10790	1746	NA	GO:0050789	0	0.04347826086956521	-	1	94	10696	7	8	87	10688	10790	0.1838681548099528
15	R1	e019_R1	TRUE	4.036858593427404e-4	43	8	3	0.375	0.06976744186046512	KEGG:04975	KEGG	Fat digestion and absorption	8161	399	NA	GO:0043062;GO:0045229	0	0.1111111111111111	-	1	43	8118	3	5	40	8113	8161	0.1599767275812419
16	R1	e019_R1	TRUE	1.1257575651936064e-35	22	23	15	0.6521739130434783	0.6818181818181818	REAC:R-HSA-392170	REAC	ADP signalling through P2Y purinoceptor 12	10790	10	NA	GO:0050789	0	0.01234567901234567	-	1	22	10768	15	8	7	10760	10790	0.6661356570320618
17	R1	e019_R1	TRUE	1.412724315145702e-7	11	3	3	1	0.2727272727272727	REAC:R-HSA-2485179	REAC	Activation of the phototransduction cascade	10790	102	NA	GO:0050877	0	0.125	-	1	11	10779	3	0	8	10779	10790	0.5220392792307172
18	R1	e019_R1	TRUE	0.00689552254328606	3	20	2	0.1	0.6666666666666666	GO:0018343	GO:BP	protein farnesylation	16324	5664	NA	GO:0036211	0	0.5	-	1	3	16321	2	18	1	16303	16324	0.2579061014981554
19	R1	e019_R1	TRUE	1.917483066354715e-100	187	79	64	0.810126582278481	0.3422459893048128	REAC:R-HSA-72172	REAC	mRNA Splicing	10790	2565	NA	GO:0065003;GO:0000375	0	0.02564102564102564	-	1	187	10603	64	15	123	10588	10790	0.5217303411620039
20	R1	e019_R1	TRUE	1.8431333337734773e-46	53	33	24	0.7272727272727273	0.4528301886792453	KEGG:03460	KEGG	Fanconi anemia pathway	8161	237	NA	GO:0050789;GO:0006281;GO:0036211	0	0.0119047619047619	-	1	53	8108	24	9	29	8099	8161	0.5717622446140483
21	R1	e019_R1	TRUE	6.231635381788395e-15	383	18	13	0.7222222222222222	0.03394255874673629	GO:0006338	GO:BP	chromatin remodeling	16324	2173	NA	GO:0065003	0	0.07142857142857142	-	1	383	15941	13	5	370	15936	16324	0.15337687528448105
22	R1	e019_R1	TRUE	1.2432443281043205e-6	210	17	7	0.4117647058823529	0.03333333333333333	GO:1903320	GO:BP	regulation of protein modification by small protein conjugation or removal	16324	24000	NA	GO:0050789;GO:0036211	0	0.0588235294117647	-	1	210	16114	7	10	203	16104	16324	0.11429229439166712
23	R1	e019_R1	TRUE	6.8391433637091725e-25	140	31	19	0.6129032258064516	0.1357142857142857	KEGG:04120	KEGG	Ubiquitin mediated proteolysis	8161	265	NA	GO:0050789;GO:0006508;GO:0036211;GO:0009057	0	0.01	-	1	140	8021	19	12	121	8009	8161	0.2833111117007851
24	R1	e019_R1	TRUE	7.416034229242465e-24	516	34	23	0.6764705882352942	0.04457364341085271	GO:0006281	GO:BP	DNA repair	16324	2140	NA	GO:0007049;GO:0000280;GO:0006281	0	0.01136363636363636	-	1	516	15808	23	11	493	15797	16324	0.16838681823970802
25	R1	e019_R1	TRUE	1.4681286348189815e-21	175	29	16	0.5517241379310345	0.09142857142857144	GO:0070646	GO:BP	protein modification by small protein removal	16324	17165	NA	GO:0050789;GO:0006508;GO:0036211	0	0.01333333333333333	-	1	175	16149	16	13	159	16136	16324	0.2216189114852788
26	R1	e019_R1	TRUE	1.8646226058065107e-5	4	25	3	0.12	0.75	GO:0006556	GO:BP	S-adenosylmethionine biosynthetic process	16324	2330	NA	GO:0006790	0	0.125	-	1	4	16320	3	22	1	16298	16324	0.2996536382359366
27	R1	e019_R1	TRUE	6.862884571921239e-7	10	21	4	0.1904761904761905	0.4	REAC:R-HSA-198693	REAC	AKT phosphorylates targets in the nucleus	10790	12	NA	NA	0	0.05263157894736842	-	1	10	10780	4	17	6	10763	10790	0.2750783761217926
