module	monet_type	experiment_info	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	goslim_pir	perc_rank	cumelative_dist	genes	rank	P	N	tp	fp	fn	tn	tot_pop_valid	mcc
19	R1	e019_R1	TRUE	0.00634337662341469	5	12	2	0.16666666666666666	0.4	GO:0060754	GO:BP	positive regulation of mast cell chemotaxis	16324	15770	NA	GO:0050789	0	0.5	-	1	5	16319	2	10	3	16309	16324	0.25785865013900466
20	R1	e019_R1	TRUE	0.00322962036591207	32	14	3	0.21428571428571427	0.09375	GO:0098815	GO:BP	modulation of excitatory postsynaptic potential	16324	19959	NA	GO:0050789;GO:0065008	0	0.5	-	1	32	16292	3	11	29	16281	16324	0.14063823449203214
31	R1	e019_R1	TRUE	6.088030741869774e-6	132	36	8	0.2222222222222222	0.06060606060606061	KEGG:04142	KEGG	Lysosome	8161	274	NA	NA	0	0.16666666666666666	-	1	132	8029	8	28	124	8001	8161	0.10872591999790204
47	R1	e019_R1	TRUE	0.00162369408180044	51	8	3	0.375	0.0588235294117647	GO:1901016	GO:BP	regulation of potassium ion transmembrane transporter activity	16324	22089	NA	GO:0065009;GO:0050789	0	0.2	-	1	51	16273	3	5	48	16268	16324	0.14755152700372823
57	R1	e019_R1	TRUE	6.406101474798408e-5	33	18	4	0.2222222222222222	0.12121212121212122	REAC:R-HSA-5673000	REAC	RAF activation	10790	1747	NA	NA	0	0.0217391304347826	-	1	33	10757	4	14	29	10743	10790	0.16224669598398986
63	R1	e019_R1	TRUE	0.00318277630260282	432	10	5	0.5	0.01157407407407407	GO:0045596	GO:BP	negative regulation of cell differentiation	16324	12147	NA	GO:0050789	0	0.5	-	1	432	15892	5	5	427	15887	16324	0.07304123593887463
64	R1	e019_R1	TRUE	7.044204601542385e-6	8	9	3	0.3333333333333333	0.375	GO:0006069	GO:BP	ethanol oxidation	16324	1979	NA	GO:0006066;GO:0006091	0	0.06666666666666667	-	1	8	16316	3	6	5	16310	16324	0.35321750907888283
75	R1	e019_R1	TRUE	0.00350524507386456	16	4	2	0.5	0.125	GO:0002029	GO:BP	desensitization of G protein-coupled receptor signaling pathway	16324	647	NA	GO:0050789	0	0.3333333333333333	-	1	16	16308	2	2	14	16306	16324	0.24966288313502252
90	R1	e019_R1	TRUE	5.121860326311558e-4	35	8	3	0.375	0.08571428571428572	GO:1903202	GO:BP	negative regulation of oxidative stress-induced cell death	16324	23905	NA	GO:0050789	0	0.09090909090909093	-	1	35	16289	3	5	32	16284	16324	0.1784943763228848
98	R1	e019_R1	TRUE	7.505911317988042e-4	2	13	2	0.15384615384615383	1	GO:0097156	GO:BP	fasciculation of motor neuron axon	16324	19551	NA	GO:0008037;GO:0016043	0	0.16666666666666666	-	1	2	16322	2	11	0	16311	16324	0.3921000780771072
101	R1	e019_R1	TRUE	2.26643512398134e-4	45	42	5	0.11904761904761904	0.1111111111111111	KEGG:03420	KEGG	Nucleotide excision repair	8161	233	NA	NA	0	0.25	-	1	45	8116	5	37	40	8079	8161	0.11027164233767524
106	R1	e019_R1	TRUE	5.492975081096408e-5	27	7	3	0.42857142857142855	0.1111111111111111	KEGG:04966	KEGG	Collecting duct acid secretion	8161	393	NA	NA	0	0.06666666666666667	-	1	27	8134	3	4	24	8130	8161	0.2169854871453367
126	R1	e019_R1	TRUE	3.1087093572625894e-5	132	12	5	0.4166666666666667	0.03787878787878788	GO:1905952	GO:BP	regulation of lipid localization	16324	26269	NA	GO:0050789	0	0.25	-	1	132	16192	5	7	127	16185	16324	0.12373823955831505
152	R1	e019_R1	TRUE	0.00368877062919203	16	7	2	0.2857142857142857	0.125	KEGG:00430	KEGG	Taurine and hypotaurine metabolism	8161	56	NA	GO:0008152	0	0.25	-	1	16	8145	2	5	14	8140	8161	0.18795033565014044
154	R1	e019_R1	TRUE	0.0030610673832223	11	6	2	0.3333333333333333	0.18181818181818185	REAC:R-HSA-211999	REAC	CYP2E1 reactions	10790	282	NA	NA	0	0.5	-	1	11	10779	2	4	9	10775	10790	0.2456235596274126
174	R1	e019_R1	TRUE	7.102500576242481e-4	39	10	3	0.3	0.07692307692307693	KEGG:00260	KEGG	Glycine, serine and threonine metabolism	8161	28	NA	NA	0	0.5	-	1	39	8122	3	7	36	8115	8161	0.14994142639074223
184	R1	e019_R1	TRUE	7.745949622944266e-5	43	15	4	0.26666666666666666	0.09302325581395347	GO:0007215	GO:BP	glutamate receptor signaling pathway	16324	2836	NA	GO:0050789	0	0.3333333333333333	-	1	43	16281	4	11	39	16270	16324	0.15622163722422952
190	R1	e019_R1	TRUE	1.0607980893125529e-6	5	9	3	0.3333333333333333	0.6	REAC:R-HSA-190370	REAC	FGFR1b ligand binding and activation	10790	856	NA	NA	0	0.02127659574468085	-	1	5	10785	3	6	2	10779	10790	0.4468818115921736
199	R1	e019_R1	TRUE	0.00401098975163058	30	3	2	0.6666666666666666	0.06666666666666667	REAC:R-HSA-8874081	REAC	MET activates PTK2 signaling	10790	1295	NA	NA	0	0.5	-	1	30	10760	2	1	28	10759	10790	0.21026098070965227
208	R1	e019_R1	TRUE	1.5380569324206586e-11	101	8	7	0.875	0.06930693069306931	KEGG:05142	KEGG	Chagas disease	8161	427	NA	GO:0050896;GO:0050789	0	0.01388888888888888	-	1	101	8060	7	1	94	8059	8161	0.244412274402448
227	R1	e019_R1	TRUE	8.351153694330692e-4	232	13	5	0.38461538461538464	0.02155172413793103	GO:0043434	GO:BP	response to peptide hormone	16324	11281	NA	GO:0050896	0	0.2	-	1	232	16092	5	8	227	16084	16324	0.08834534530730266
233	R1	e019_R1	TRUE	0.00281264773356193	4	11	2	0.18181818181818185	0.5	GO:0097167	GO:BP	circadian regulation of translation	16324	19554	NA	GO:0048511;GO:0050789	0	0.3333333333333333	-	1	4	16320	2	9	2	16311	16324	0.30124340712711223
248	R1	e019_R1	TRUE	0.00105870256626714	41	11	3	0.2727272727272727	0.07317073170731707	KEGG:05219	KEGG	Bladder cancer	8161	463	NA	NA	0	0.5	-	1	41	8120	3	8	38	8112	8161	0.13910566776860578
250	R1	e019_R1	TRUE	0.0031827106814356	20	4	2	0.5	0.1	REAC:R-HSA-8964616	REAC	G beta:gamma signalling through CDC42	10790	938	NA	NA	0	0.5	-	1	20	10770	2	2	18	10768	10790	0.22302595453505897
