module	monet_type	experiment_info	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	goslim_pir	perc_rank	cumelative_dist	genes	rank	P	N	tp	fp	fn	tn	tot_pop_valid	mcc
1	R1	e019_R1	TRUE	9.33528436815188e-5	12	13	3	0.2307692307692308	0.25	REAC:R-HSA-1663150	REAC	The activation of arylsulfatases	10790	2363	NA	NA	0	0.3333333333333333	-	1	12	10778	3	10	9	10768	10790	0.23931191613213965
2	R1	e019_R1	TRUE	1.5691177583892905e-15	132	26	13	0.5	0.09848484848484848	KEGG:04142	KEGG	Lysosome	8161	274	NA	GO:0008152	0	0.04761904761904761	-	1	132	8029	13	13	119	8016	8161	0.21683148449748063
2	R1	e019_R1	TRUE	6.934826048264457e-9	11	25	5	0.2	0.4545454545454546	REAC:R-HSA-2206281	REAC	Mucopolysaccharidoses	10790	1412	NA	GO:0008152	0.05	0.09523809523809525	-	2	11	10779	5	20	6	10759	10790	0.3004757674943374
2	R1	e019_R1	TRUE	2.987246901443568e-8	33	25	6	0.24	0.18181818181818185	REAC:R-HSA-5663084	REAC	Diseases of carbohydrate metabolism	10790	725	NA	GO:0008152	0.1	0.14285714285714285	-	3	33	10757	6	19	27	10738	10790	0.20678699282709595
2	R1	e019_R1	TRUE	1.5610791454766362e-7	19	26	5	0.19230769230769232	0.2631578947368421	KEGG:00531	KEGG	Glycosaminoglycan degradation	8161	75	NA	GO:0008152	0.15	0.1904761904761905	-	4	19	8142	5	21	14	8121	8161	0.22285160679465063
2	R1	e019_R1	TRUE	1.6189086944461518e-6	10	25	4	0.16	0.4	REAC:R-HSA-418890	REAC	Role of second messengers in netrin-1 signaling	10790	1988	NA	GO:0008152	0.2	0.23809523809523808	-	5	10	10780	4	21	6	10759	10790	0.25192549043279877
2	R1	e019_R1	TRUE	2.6988140287391912e-5	49	25	5	0.2	0.1020408163265306	REAC:R-HSA-373752	REAC	Netrin-1 signaling	10790	1500	NA	GO:0008152	0.25	0.2857142857142857	-	6	49	10741	5	20	44	10721	10790	0.14009388165816905
3	R1	e019_R1	TRUE	3.4458638120663977e-7	9	20	4	0.2	0.4444444444444444	REAC:R-HSA-391908	REAC	Prostanoid ligand receptors	10790	1720	NA	GO:0050789	0	0.16666666666666666	-	1	9	10781	4	16	5	10765	10790	0.2972985451317327
3	R1	e019_R1	TRUE	3.7065120106149063e-6	15	20	4	0.2	0.26666666666666666	REAC:R-HSA-391903	REAC	Eicosanoid ligand-binding receptors	10790	796	NA	GO:0050789	0.2	0.3333333333333333	-	2	15	10775	4	16	11	10759	10790	0.22970743285056233
4	R1	e019_R1	TRUE	3.179122905075278e-13	35	21	8	0.380952380952381	0.22857142857142856	REAC:R-HSA-1296065	REAC	Inwardly rectifying K+ channels	10790	1211	NA	GO:0006936;GO:0006811	0	0.02040816326530612	-	1	35	10755	8	13	27	10742	10790	0.2933331119213059
4	R1	e019_R1	TRUE	3.864164320364644e-12	47	25	8	0.32	0.1702127659574468	GO:1990573	GO:BP	potassium ion import across plasma membrane	16324	26463	NA	GO:0006936;GO:0006811	0.02083333333333333	0.04081632653061224	-	2	47	16277	8	17	39	16260	16324	0.2317953574358597
4	R1	e019_R1	TRUE	2.984819278450741e-9	103	21	8	0.380952380952381	0.07766990291262135	REAC:R-HSA-1296071	REAC	Potassium Channels	10790	1690	NA	GO:0006936;GO:0006811	0.04166666666666666	0.06122448979591836	-	3	103	10687	8	13	95	10674	10790	0.16867331975464803
4	R1	e019_R1	TRUE	3.292875193975198e-9	4	21	4	0.1904761904761905	1	REAC:R-HSA-1296025	REAC	ATP sensitive Potassium channels	10790	35	NA	GO:0006936;GO:0006811	0.0625	0.08163265306122448	-	4	4	10786	4	17	0	10769	10790	0.4360917078761019
4	R1	e019_R1	TRUE	5.5004517853990385e-9	112	25	8	0.32	0.07142857142857142	GO:0099587	GO:BP	inorganic ion import across plasma membrane	16324	20214	NA	GO:0006936;GO:0006811	0.08333333333333333	0.12244897959183672	-	5.5	112	16212	8	17	104	16195	16324	0.14856820423404307
4	R1	e019_R1	TRUE	5.5004517853990385e-9	112	25	8	0.32	0.07142857142857142	GO:0098659	GO:BP	inorganic cation import across plasma membrane	16324	19865	NA	GO:0006936;GO:0006811	0.08333333333333333	0.12244897959183672	-	5.5	112	16212	8	17	104	16195	16324	0.14856820423404307
4	R1	e019_R1	TRUE	2.2157277435140085e-7	177	25	8	0.32	0.04519774011299435	GO:0098739	GO:BP	import across plasma membrane	16324	19917	NA	GO:0006936;GO:0006811	0.125	0.14285714285714285	-	7	177	16147	8	17	169	16130	16324	0.11691298163908082
4	R1	e019_R1	TRUE	3.1543959082206545e-7	185	25	8	0.32	0.04324324324324324	GO:0071805	GO:BP	potassium ion transmembrane transport	16324	17873	NA	GO:0006936;GO:0006811	0.14583333333333334	0.16326530612244897	-	8	185	16139	8	17	177	16122	16324	0.11420421348991472
4	R1	e019_R1	TRUE	6.109315993227041e-7	201	25	8	0.32	0.03980099502487562	GO:0006813	GO:BP	potassium ion transport	16324	2549	NA	GO:0006936;GO:0006811	0.16666666666666666	0.1836734693877551	-	9	201	16123	8	17	193	16106	16324	0.1092707888759726
4	R1	e019_R1	TRUE	1.4435535410429932e-6	224	25	8	0.32	0.03571428571428571	GO:0098657	GO:BP	import into cell	16324	19863	NA	GO:0006936;GO:0006811	0.1875	0.20408163265306123	-	10	224	16100	8	17	216	16083	16324	0.10310857525967372
4	R1	e019_R1	TRUE	7.577998729355856e-5	29	21	4	0.1904761904761905	0.13793103448275862	REAC:R-HSA-997272	REAC	Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits	10790	1128	NA	GO:0006936;GO:0006811	0.20833333333333337	0.2653061224489796	-	12	29	10761	4	17	25	10744	10790	0.16017219252933437
4	R1	e019_R1	TRUE	7.577998729355856e-5	29	21	4	0.1904761904761905	0.13793103448275862	REAC:R-HSA-1296059	REAC	G protein gated Potassium channels	10790	941	NA	GO:0006936;GO:0006811	0.20833333333333337	0.2653061224489796	-	12	29	10761	4	17	25	10744	10790	0.16017219252933437
4	R1	e019_R1	TRUE	7.577998729355856e-5	29	21	4	0.1904761904761905	0.13793103448275862	REAC:R-HSA-1296041	REAC	Activation of G protein gated Potassium channels	10790	78	NA	GO:0006936;GO:0006811	0.20833333333333337	0.2653061224489796	-	12	29	10761	4	17	25	10744	10790	0.16017219252933437
5	R1	e019_R1	TRUE	4.102500520200147e-24	18	24	11	0.4583333333333333	0.6111111111111112	REAC:R-HSA-163210	REAC	Formation of ATP by chemiosmotic coupling	10790	898	NA	GO:0006119;GO:0009117	0	0.02040816326530612	-	1	18	10772	11	13	7	10759	10790	0.5283397621500766
5	R1	e019_R1	TRUE	2.1683110477042162e-23	31	24	12	0.5	0.3870967741935484	REAC:R-HSA-8949613	REAC	Cristae formation	10790	393	NA	GO:0006119;GO:0009117	0.02083333333333333	0.04081632653061224	-	2	31	10759	12	12	19	10747	10790	0.4385311033140801
5	R1	e019_R1	TRUE	1.2171573286096923e-17	232	21	15	0.7142857142857143	0.06465517241379311	KEGG:04714	KEGG	Thermogenesis	8161	343	NA	GO:0006119;GO:0009117	0.04166666666666666	0.06122448979591836	-	3	232	7929	15	6	217	7923	8161	0.2096146921697204
5	R1	e019_R1	TRUE	5.234602734991939e-17	92	24	12	0.5	0.13043478260869565	REAC:R-HSA-1592230	REAC	Mitochondrial biogenesis	10790	1387	NA	GO:0006119;GO:0009117	0.0625	0.08163265306122448	-	4	92	10698	12	12	80	10686	10790	0.2523799498869037
5	R1	e019_R1	TRUE	6.889595048507297e-17	66	28	11	0.3928571428571429	0.16666666666666666	GO:0042776	GO:BP	proton motive force-driven mitochondrial ATP synthesis	16324	10938	NA	GO:0006119;GO:0009117	0.08333333333333333	0.1020408163265306	-	5	66	16258	11	17	55	16241	16324	0.25398114608620037
