module	monet_type	experiment_info	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	goslim_pir	perc_rank	cumelative_dist	genes	rank	P	N	tp	fp	fn	tn	tot_pop_valid	mcc
1	R1	e019_R1	TRUE	2.236291956613911e-21	163	25	15	0.6	0.0920245398773006	GO:0016482	GO:BP	cytosolic transport	16324	5359	NA	GO:0051641;GO:0016192	0	0.03846153846153846	-	1	163	16161	15	10	148	16151	16324	0.2324079751753559
1	R1	e019_R1	TRUE	1.2763498556642266e-20	90	25	13	0.52	0.14444444444444443	GO:0042147	GO:BP	retrograde transport, endosome to Golgi	16324	10562	NA	GO:0051641;GO:0016192	0.04	0.07692307692307693	-	2	90	16234	13	12	77	16222	16324	0.2721173238709147
1	R1	e019_R1	TRUE	7.265361211312775e-19	237	25	15	0.6	0.06329113924050633	GO:0016197	GO:BP	endosomal transport	16324	5293	NA	GO:0051641;GO:0016192	0.08	0.1153846153846154	-	3	237	16087	15	10	222	16077	16324	0.1916980005834048
1	R1	e019_R1	TRUE	6.7508696197216055e-15	250	18	13	0.7222222222222222	0.052	KEGG:04144	KEGG	Endocytosis	8161	275	NA	GO:0051641;GO:0016192	0.12	0.15384615384615383	-	4	250	7911	13	5	237	7906	8161	0.18869031891924248
1	R1	e019_R1	TRUE	6.228925798379011e-14	138	25	11	0.44	0.07971014492753623	GO:0098876	GO:BP	vesicle-mediated transport to the plasma membrane	16324	19985	NA	GO:0051641;GO:0016192	0.16	0.19230769230769232	-	5	138	16186	11	14	127	16172	16324	0.18460101546363303
1	R1	e019_R1	TRUE	2.8488301555401618e-8	78	25	7	0.28	0.08974358974358974	GO:0032456	GO:BP	endocytic recycling	16324	7991	NA	GO:0051641;GO:0016192	0.2	0.2307692307692308	-	6	78	16246	7	18	71	16228	16324	0.15630697257251677
1	R1	e019_R1	TRUE	1.9304886980920273e-7	711	25	12	0.48	0.01687763713080168	GO:0006886	GO:BP	intracellular protein transport	16324	2598	NA	GO:0051641;GO:0016192	0.24	0.2692307692307692	-	7	711	15613	12	13	699	15600	16324	0.08374659419755971
2	R1	e019_R1	TRUE	4.490486697529842e-6	57	16	5	0.3125	0.08771929824561403	REAC:R-HSA-3371497	REAC	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	10790	1053	NA	GO:0051641;GO:0009057;GO:0016070;GO:0015931;GO:0050789	0	0.05	-	1	57	10733	5	11	52	10722	10790	0.1633204882280268
2	R1	e019_R1	TRUE	1.0673402549803523e-5	65	18	5	0.2777777777777778	0.07692307692307693	GO:0006406	GO:BP	mRNA export from nucleus	16324	2217	NA	GO:0051641;GO:0009057;GO:0016070;GO:0015931;GO:0050789	0.05263157894736842	0.1	-	2	65	16259	5	13	60	16246	16324	0.14444831596626037
2	R1	e019_R1	TRUE	1.7995806141108202e-5	72	18	5	0.2777777777777778	0.06944444444444445	GO:0051028	GO:BP	mRNA transport	16324	14202	NA	GO:0051641;GO:0009057;GO:0016070;GO:0015931;GO:0050789	0.10526315789473684	0.15	-	3	72	16252	5	13	67	16239	16324	0.1370615695769967
