module	monet_type	experiment_info	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	rank	P	N	tp	fp	fn	tn	tot_pop_valid	mcc	row_rank_p	row_rank_mcc	top_go	top_kegg	top_reac	goslim_pir	genes
1	R1	e019_R1	TRUE	9.33528436815188e-5	12	13	3	0.2307692307692308	0.25	REAC:R-HSA-1663150	REAC	The activation of arylsulfatases	10790	2363	NA	0	0.3333333333333333	1	12	10778	3	10	9	10768	10790	0.23931191613213965	1	1	-	-	REAC:R-HSA-1663150	NA	-
2	R1	e019_R1	TRUE	6.934826048264457e-9	11	25	5	0.2	0.4545454545454546	REAC:R-HSA-2206281	REAC	Mucopolysaccharidoses	10790	1412	NA	0.05	0.09523809523809525	2	11	10779	5	20	6	10759	10790	0.3004757674943374	1	1	-	-	REAC:R-HSA-2206281	GO:0008152	-
2	R1	e019_R1	TRUE	1.5610791454766362e-7	19	26	5	0.19230769230769232	0.2631578947368421	KEGG:00531	KEGG	Glycosaminoglycan degradation	8161	75	NA	0.15	0.1904761904761905	4	19	8142	5	21	14	8121	8161	0.22285160679465063	2	1	-	KEGG:00531	-	GO:0008152	-
3	R1	e019_R1	TRUE	3.4458638120663977e-7	9	20	4	0.2	0.4444444444444444	REAC:R-HSA-391908	REAC	Prostanoid ligand receptors	10790	1720	NA	0	0.16666666666666666	1	9	10781	4	16	5	10765	10790	0.2972985451317327	1	1	-	-	REAC:R-HSA-391908	GO:0050789	-
4	R1	e019_R1	TRUE	3.179122905075278e-13	35	21	8	0.380952380952381	0.22857142857142856	REAC:R-HSA-1296065	REAC	Inwardly rectifying K+ channels	10790	1211	NA	0	0.02040816326530612	1	35	10755	8	13	27	10742	10790	0.2933331119213059	1	2	-	-	REAC:R-HSA-1296065	GO:0006936;GO:0006811	-
4	R1	e019_R1	TRUE	3.864164320364644e-12	47	25	8	0.32	0.1702127659574468	GO:1990573	GO:BP	potassium ion import across plasma membrane	16324	26463	NA	0.02083333333333333	0.04081632653061224	2	47	16277	8	17	39	16260	16324	0.2317953574358597	1	1	GO:1990573	-	-	GO:0006936;GO:0006811	-
5	R1	e019_R1	TRUE	4.102500520200147e-24	18	24	11	0.4583333333333333	0.6111111111111112	REAC:R-HSA-163210	REAC	Formation of ATP by chemiosmotic coupling	10790	898	NA	0	0.02040816326530612	1	18	10772	11	13	7	10759	10790	0.5283397621500766	1	1	-	-	REAC:R-HSA-163210	GO:0006119;GO:0009117	-
5	R1	e019_R1	TRUE	1.2171573286096923e-17	232	21	15	0.7142857142857143	0.06465517241379311	KEGG:04714	KEGG	Thermogenesis	8161	343	NA	0.04166666666666666	0.06122448979591836	3	232	7929	15	6	217	7923	8161	0.2096146921697204	1	1	-	KEGG:04714	-	GO:0006119;GO:0009117	-
5	R1	e019_R1	TRUE	6.889595048507297e-17	66	28	11	0.3928571428571429	0.16666666666666666	GO:0042776	GO:BP	proton motive force-driven mitochondrial ATP synthesis	16324	10938	NA	0.08333333333333333	0.1020408163265306	5	66	16258	11	17	55	16241	16324	0.25398114608620037	1	1	GO:0042776	-	-	GO:0006119;GO:0009117	-
6	R1	e019_R1	TRUE	5.270802926965621e-25	43	19	13	0.6842105263157895	0.3023255813953488	KEGG:03022	KEGG	Basal transcription factors	8161	213	NA	0	0.01724137931034482	1	43	8118	13	6	30	8112	8161	0.4530313689598902	1	1	-	KEGG:03022	-	GO:0009059;GO:0006281;GO:0016070	-
6	R1	e019_R1	TRUE	4.145115023256896e-23	46	25	13	0.52	0.2826086956521739	REAC:R-HSA-73779	REAC	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	10790	1802	NA	0.0175438596491228	0.1206896551724138	4.5	46	10744	13	12	33	10732	10790	0.3814614294792468	1	3	-	-	REAC:R-HSA-73779	GO:0009059;GO:0006281;GO:0016070	-
7	R1	e019_R1	TRUE	1.6998006314301527e-49	43	28	23	0.8214285714285714	0.5348837209302325	KEGG:03022	KEGG	Basal transcription factors	8161	213	NA	0	0.01818181818181818	1	43	8118	23	5	20	8113	8161	0.6614748772569595	1	1	-	KEGG:03022	-	GO:0006508;GO:0016070;GO:0050789;GO:0065003;GO:0036211;GO:0009059	-
7	R1	e019_R1	TRUE	4.581441833350089e-36	30	38	17	0.4473684210526316	0.5666666666666667	GO:0035521	GO:BP	monoubiquitinated histone deubiquitination	16324	9570	NA	0.01851851851851851	0.05454545454545454	2.5	30	16294	17	21	13	16273	16324	0.5024747685200135	1	1	GO:0035521	-	-	GO:0006508;GO:0016070;GO:0050789;GO:0065003;GO:0036211;GO:0009059	-
7	R1	e019_R1	TRUE	3.161826288110209e-31	46	32	17	0.53125	0.3695652173913043	REAC:R-HSA-167162	REAC	RNA Polymerase II HIV Promoter Escape	10790	1795	NA	0.12962962962962962	0.23636363636363636	10.5	46	10744	17	15	29	10729	10790	0.44113191558010006	1	1	-	-	REAC:R-HSA-167162	GO:0006508;GO:0016070;GO:0050789;GO:0065003;GO:0036211;GO:0009059	-
8	R1	e019_R1	TRUE	5.581079007415451e-4	449	11	6	0.5454545454545454	0.01336302895322939	REAC:R-HSA-9012999	REAC	RHO GTPase cycle	10790	1755	NA	0	0.3333333333333333	1	449	10341	6	5	443	10336	10790	0.08059691678035674	1	1	-	-	REAC:R-HSA-9012999	NA	-
9	R1	e019_R1	TRUE	1.178889931268636e-19	23	17	9	0.5294117647058824	0.391304347826087	GO:0042744	GO:BP	hydrogen peroxide catabolic process	16324	10914	NA	0	0.05263157894736842	1	23	16301	9	8	14	16293	16324	0.4544950860556321	1	1	GO:0042744	-	-	GO:0008152;GO:0015669	-
10	R1	e019_R1	TRUE	5.068604332923882e-23	253	24	17	0.7083333333333334	0.06719367588932806	GO:0060070	GO:BP	canonical Wnt signaling pathway	16324	15163	NA	0.01111111111111111	0.02197802197802198	2	253	16071	17	7	236	16064	16324	0.21522182639223827	1	3	GO:0060070	-	-	GO:0032501;GO:0007154;GO:0050896;GO:0050789;GO:0032502	-
10	R1	e019_R1	TRUE	1.8335559794290208e-19	26	22	10	0.4545454545454546	0.38461538461538464	REAC:R-HSA-3238698	REAC	WNT ligand biogenesis and trafficking	10790	2529	NA	0.05555555555555555	0.06593406593406594	6	26	10764	10	12	16	10752	10790	0.41683161805098173	1	1	-	-	REAC:R-HSA-3238698	GO:0032501;GO:0007154;GO:0050896;GO:0050789;GO:0032502	-
10	R1	e019_R1	TRUE	5.673228944278225e-19	63	22	12	0.5454545454545454	0.1904761904761905	KEGG:05217	KEGG	Basal cell carcinoma	8161	461	NA	0.06666666666666667	0.07692307692307693	7	63	8098	12	10	51	8088	8161	0.31943188156108143	2	1	-	KEGG:05217	-	GO:0032501;GO:0007154;GO:0050896;GO:0050789;GO:0032502	-
11	R1	e019_R1	TRUE	7.268046462857466e-17	95	21	11	0.5238095238095238	0.11578947368421053	GO:0007269	GO:BP	neurotransmitter secretion	16324	2866	NA	0.01851851851851851	0.05454545454545454	2.5	95	16229	11	10	84	16219	16324	0.24440835865960717	2	1	GO:0007269	-	-	GO:0007154;GO:0065008;GO:0006836;GO:0046903;GO:0016192	-
12	R1	e019_R1	TRUE	2.941735091575425e-46	24	26	18	0.6923076923076923	0.75	GO:0031145	GO:BP	anaphase-promoting complex-dependent catabolic process	16324	7447	NA	0	0.00980392156862745	1	24	16300	18	8	6	16292	16324	0.7201493313891848	1	1	GO:0031145	-	-	GO:0007049;GO:0006508;GO:0009057;GO:0050789;GO:0036211	-
