module	monet_type	experiment_info	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	rank	P	N	tp	fp	fn	tn	tot_pop_valid	mcc	row_rank_p	row_rank_mcc	top_go	top_kegg	top_reac	goslim_pir	genes
1	R1	e019_R1	TRUE	1.2763498556642266e-20	90	25	13	0.52	0.14444444444444443	GO:0042147	GO:BP	retrograde transport, endosome to Golgi	16324	10562	NA	0.04	0.07692307692307693	2	90	16234	13	12	77	16222	16324	0.2721173238709147	2	1	GO:0042147	-	-	GO:0051641;GO:0016192	-
1	R1	e019_R1	TRUE	6.7508696197216055e-15	250	18	13	0.7222222222222222	0.052	KEGG:04144	KEGG	Endocytosis	8161	275	NA	0.12	0.15384615384615383	4	250	7911	13	5	237	7906	8161	0.18869031891924248	1	1	-	KEGG:04144	-	GO:0051641;GO:0016192	-
2	R1	e019_R1	TRUE	4.490486697529842e-6	57	16	5	0.3125	0.08771929824561403	REAC:R-HSA-3371497	REAC	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	10790	1053	NA	0	0.05	1	57	10733	5	11	52	10722	10790	0.1633204882280268	1	1	-	-	REAC:R-HSA-3371497	GO:0051641;GO:0009057;GO:0016070;GO:0015931;GO:0050789	-
2	R1	e019_R1	TRUE	1.0673402549803523e-5	65	18	5	0.2777777777777778	0.07692307692307693	GO:0006406	GO:BP	mRNA export from nucleus	16324	2217	NA	0.05263157894736842	0.1	2	65	16259	5	13	60	16246	16324	0.14444831596626037	1	2	GO:0006406	-	-	GO:0051641;GO:0009057;GO:0016070;GO:0015931;GO:0050789	-
3	R1	e019_R1	TRUE	1.1650114865691451e-17	122	29	13	0.4482758620689655	0.10655737704918032	GO:0001936	GO:BP	regulation of endothelial cell proliferation	16324	565	NA	0	0.0099009900990099	1	122	16202	13	16	109	16186	16324	0.21591257175602369	1	3	GO:0001936	-	-	GO:0032502;GO:0050789;GO:0040011;GO:0008283	-
3	R1	e019_R1	TRUE	5.026641323110003e-16	8	26	7	0.2692307692307692	0.875	REAC:R-HSA-194313	REAC	VEGF ligand-receptor interactions	10790	2495	NA	0.05	0.06930693069306931	6.5	8	10782	7	19	1	10763	10790	0.48479001624698465	1	1	-	-	REAC:R-HSA-194313	GO:0032502;GO:0050789;GO:0040011;GO:0008283	-
3	R1	e019_R1	TRUE	1.4941371835602662e-10	234	21	11	0.5238095238095238	0.04700854700854701	KEGG:04014	KEGG	Ras signaling pathway	8161	242	NA	0.25	0.25742574257425743	26	234	7927	11	10	223	7917	8161	0.15069660426672707	1	1	-	KEGG:04014	-	GO:0032502;GO:0050789;GO:0040011;GO:0008283	-
4	R1	e019_R1	TRUE	9.333388865927246e-7	77	22	6	0.2727272727272727	0.07792207792207792	GO:0051453	GO:BP	regulation of intracellular pH	16324	14493	NA	0	0.02222222222222222	1	77	16247	6	16	71	16231	16324	0.14369345942049083	1	3	GO:0051453	-	-	GO:0050789;GO:0050896;GO:0065009	-
5	R1	e019_R1	TRUE	2.190377735181657e-12	12	20	6	0.3	0.5	GO:1905907	GO:BP	negative regulation of amyloid fibril formation	16324	26232	NA	0	0.07692307692307693	1	12	16312	6	14	6	16298	16324	0.3867283707797637	1	1	GO:1905907	-	-	GO:0050789;GO:0019538;GO:0016043	-
5	R1	e019_R1	TRUE	4.2327357108113887e-10	28	16	6	0.375	0.21428571428571427	REAC:R-HSA-389957	REAC	Prefoldin mediated transfer of substrate  to CCT/TriC	10790	1698	NA	0.16666666666666666	0.2307692307692308	3	28	10762	6	10	22	10752	10790	0.2820869204012556	1	1	-	-	REAC:R-HSA-389957	GO:0050789;GO:0019538;GO:0016043	-
6	R1	e019_R1	TRUE	2.400118132595371e-23	100	17	13	0.7647058823529411	0.13	GO:0007605	GO:BP	sensory perception of sound	16324	3136	NA	0	0.02702702702702703	1	100	16224	13	4	87	16220	16324	0.31389644142740497	1	3	GO:0007605	-	-	GO:0032502;GO:0050877	-
