experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	goslim_pir	perc_rank	cumelative_dist	monet_type	genes	rank	P	N	tp	fp	fn	tn	tot_pop_valid	mcc
e019_R1	1	TRUE	9.33528436815188e-5	12	13	3	0.23076923076923078	0.25	REAC:R-HSA-1663150	REAC	The activation of arylsulfatases	10790	2363		NA	0	0.3333333333333333	R1	-	1	12	10778	3	10	9	10768	10790	0.23931191613213965
e019_R1	2	TRUE	1.5691177583892905e-15	132	26	13	0.5	0.09848484848484848	KEGG:04142	KEGG	Lysosome	8161	274		GO:0008152	0	0.047619047619047616	R1	-	1	132	8029	13	13	119	8016	8161	0.21683148449748063
e019_R1	2	TRUE	6.934826048264457e-9	11	25	5	0.2	0.45454545454545453	REAC:R-HSA-2206281	REAC	Mucopolysaccharidoses	10790	1412		GO:0008152	0.05	0.09523809523809523	R1	-	2	11	10779	5	20	6	10759	10790	0.3004757674943374
e019_R1	2	TRUE	2.987246901443568e-8	33	25	6	0.24	0.18181818181818182	REAC:R-HSA-5663084	REAC	Diseases of carbohydrate metabolism	10790	725		GO:0008152	0.1	0.14285714285714285	R1	-	3	33	10757	6	19	27	10738	10790	0.20678699282709595
e019_R1	2	TRUE	1.5610791454766362e-7	19	26	5	0.19230769230769232	0.2631578947368421	KEGG:00531	KEGG	Glycosaminoglycan degradation	8161	75		GO:0008152	0.15	0.19047619047619047	R1	-	4	19	8142	5	21	14	8121	8161	0.22285160679465063
e019_R1	2	TRUE	1.6189086944461518e-6	10	25	4	0.16	0.4	REAC:R-HSA-418890	REAC	Role of second messengers in netrin-1 signaling	10790	1988		GO:0008152	0.2	0.23809523809523808	R1	-	5	10	10780	4	21	6	10759	10790	0.25192549043279877
e019_R1	2	TRUE	2.6988140287391912e-5	49	25	5	0.2	0.10204081632653061	REAC:R-HSA-373752	REAC	Netrin-1 signaling	10790	1500		GO:0008152	0.25	0.2857142857142857	R1	-	6	49	10741	5	20	44	10721	10790	0.14009388165816905
e019_R1	3	TRUE	3.4458638120663977e-7	9	20	4	0.2	0.4444444444444444	REAC:R-HSA-391908	REAC	Prostanoid ligand receptors	10790	1720		GO:0050789	0	0.16666666666666666	R1	-	1	9	10781	4	16	5	10765	10790	0.2972985451317327
e019_R1	3	TRUE	3.7065120106149067e-6	15	20	4	0.2	0.26666666666666666	REAC:R-HSA-391903	REAC	Eicosanoid ligand-binding receptors	10790	796		GO:0050789	0.2	0.3333333333333333	R1	-	2	15	10775	4	16	11	10759	10790	0.22970743285056233
e019_R1	4	TRUE	3.179122905075278e-13	35	21	8	0.38095238095238093	0.22857142857142856	REAC:R-HSA-1296065	REAC	Inwardly rectifying K+ channels	10790	1211		GO:0006936;GO:0006811	0	0.02040816326530612	R1	-	1	35	10755	8	13	27	10742	10790	0.2933331119213059
