experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	goslim_pir	perc_rank	cumelative_dist	monet_type	genes	rank	P	N	tp	fp	fn	tn	tot_pop_valid	mcc
e019_R1	4	TRUE	0.008521247737682279	14	6	2	0.3333333333333333	0.14285714285714285	GO:0030810	GO:BP	positive regulation of nucleotide biosynthetic process	16324	7279		GO:0050789	0	1	R1	-	1.5	14	16310	2	4	12	16306	16324	0.2177898612002838
e019_R1	4	TRUE	0.008521247737682279	14	6	2	0.3333333333333333	0.14285714285714285	GO:1900373	GO:BP	positive regulation of purine nucleotide biosynthetic process	16324	21563		GO:0050789	0	1	R1	-	1.5	14	16310	2	4	12	16306	16324	0.2177898612002838
e019_R1	15	TRUE	3.752955658994019e-4	2	10	2	0.2	1	GO:1904616	GO:BP	regulation of actin binding	16324	25118		GO:0065009	0	1	R1	-	1.5	2	16322	2	8	0	16314	16324	0.4471039843229439
e019_R1	15	TRUE	3.752955658994019e-4	2	10	2	0.2	1	GO:1904529	GO:BP	regulation of actin filament binding	16324	25047		GO:0065009	0	1	R1	-	1.5	2	16322	2	8	0	16314	16324	0.4471039843229439
e019_R1	19	TRUE	0.006343376623414696	5	12	2	0.16666666666666666	0.4	GO:0060754	GO:BP	positive regulation of mast cell chemotaxis	16324	15770		GO:0050789	0	0.5	R1	-	1	5	16319	2	10	3	16309	16324	0.25785865013900466
e019_R1	20	TRUE	0.0032296203659120714	32	14	3	0.21428571428571427	0.09375	GO:0098815	GO:BP	modulation of excitatory postsynaptic potential	16324	19959		GO:0050789;GO:0065008	0	0.5	R1	-	1	32	16292	3	11	29	16281	16324	0.14063823449203214
e019_R1	31	TRUE	6.088030741869774e-6	132	36	8	0.2222222222222222	0.06060606060606061	KEGG:04142	KEGG	Lysosome	8161	274		NA	0	0.16666666666666666	R1	-	1	132	8029	8	28	124	8001	8161	0.10872591999790203
e019_R1	31	TRUE	1.261841861896508e-4	135	36	7	0.19444444444444445	0.05185185185185185	KEGG:04210	KEGG	Apoptosis	8161	281		NA	0.2	0.3333333333333333	R1	-	2	135	8026	7	29	128	7997	8161	0.09284278857272225
e019_R1	44	TRUE	2.2443262127014566e-9	46	13	6	0.46153846153846156	0.13043478260869565	REAC:R-HSA-69231	REAC	Cyclin D associated events in G1	10790	399		GO:0065009;GO:0050789	0	0.05263157894736842	R1	-	1.5	46	10744	6	7	40	10737	10790	0.24375860971399144
e019_R1	44	TRUE	2.2443262127014566e-9	46	13	6	0.46153846153846156	0.13043478260869565	REAC:R-HSA-69236	REAC	G1 Phase	10790	946		GO:0065009;GO:0050789	0	0.05263157894736842	R1	-	1.5	46	10744	6	7	40	10737	10790	0.24375860971399144
e019_R1	44	TRUE	2.6452345565666438e-8	81	13	6	0.46153846153846156	0.07407407407407407	GO:0000079	GO:BP	regulation of cyclin-dependent protein serine/threonine kinase activity	16324	30		GO:0065009;GO:0050789	0.05405405405405406	0.07894736842105263	R1	-	3	81	16243	6	7	75	16236	16324	0.1834407581420513
e019_R1	44	TRUE	3.309448841324797e-8	84	13	6	0.46153846153846156	0.07142857142857142	GO:1904029	GO:BP	regulation of cyclin-dependent protein kinase activity	16324	24609		GO:0065009;GO:0050789	0.08108108108108109	0.10526315789473684	R1	-	4	84	16240	6	7	78	16233	16324	0.18007937216635717
e019_R1	44	TRUE	1.1022321563739688e-6	157	11	6	0.5454545454545454	0.03821656050955414	KEGG:04110	KEGG	Cell cycle	8161	259		GO:0065009;GO:0050789	0.10810810810810811	0.13157894736842105	R1	-	5	157	8004	6	5	151	7999	8161	0.1407415022649622
e019_R1	44	TRUE	1.841116845757245e-6	21	13	4	0.3076923076923077	0.19047619047619047	GO:0045736	GO:BP	negative regulation of cyclin-dependent protein serine/threonine kinase activity	16324	12276		GO:0065009;GO:0050789	0.13513513513513514	0.18421052631578946	R1	-	6.5	21	16303	4	9	17	16294	16324	0.24133017134149554
e019_R1	44	TRUE	1.841116845757245e-6	21	13	4	0.3076923076923077	0.19047619047619047	GO:1904030	GO:BP	negative regulation of cyclin-dependent protein kinase activity	16324	24610		GO:0065009;GO:0050789	0.13513513513513514	0.18421052631578946	R1	-	6.5	21	16303	4	9	17	16294	16324	0.24133017134149554
e019_R1	44	TRUE	2.8616803936975668e-6	147	13	6	0.46153846153846156	0.04081632653061224	REAC:R-HSA-453279	REAC	Mitotic G1 phase and G1/S transition	10790	1400		GO:0065009;GO:0050789	0.1891891891891892	0.21052631578947367	R1	-	8	147	10643	6	7	141	10636	10790	0.13419886149391347
e019_R1	44	TRUE	6.2370234274802754e-6	199	13	6	0.46153846153846156	0.03015075376884422	GO:0000082	GO:BP	G1/S transition of mitotic cell cycle	16324	32		GO:0065009;GO:0050789	0.21621621621621623	0.23684210526315788	R1	-	9	199	16125	6	7	193	16118	16324	0.11560169701867687
e019_R1	44	TRUE	1.4093824725495e-5	228	13	6	0.46153846153846156	0.02631578947368421	GO:0044843	GO:BP	cell cycle G1/S phase transition	16324	11877		GO:0065009;GO:0050789	0.24324324324324326	0.2631578947368421	R1	-	10	228	16096	6	7	222	16089	16324	0.10766977116842637
e019_R1	47	TRUE	0.0016236940818004485	51	8	3	0.375	0.058823529411764705	GO:1901016	GO:BP	regulation of potassium ion transmembrane transporter activity	16324	22089		GO:0065009;GO:0050789	0	0.2	R1	-	1	51	16273	3	5	48	16268	16324	0.14755152700372823
e019_R1	47	TRUE	0.0019325958114490608	54	8	3	0.375	0.05555555555555555	GO:2001259	GO:BP	positive regulation of cation channel activity	16324	27735		GO:0065009;GO:0050789	0.25	0.4	R1	-	2	54	16270	3	5	51	16265	16324	0.14333665781596727
