experiment_info	module	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	goslim_pir	perc_rank	cumelative_dist	monet_type	genes	rank	P	N	tp	fp	fn	tn	tot_pop_valid	mcc
e019_R1	1	TRUE	9.33528436815188e-5	12	13	3	0.23076923076923078	0.25	REAC:R-HSA-1663150	REAC	The activation of arylsulfatases	10790	2363		NA	0	0.3333333333333333	R1	-	1	12	10778	3	10	9	10768	10790	0.23931191613213965
e019_R1	2	TRUE	1.5691177583892905e-15	132	26	13	0.5	0.09848484848484848	KEGG:04142	KEGG	Lysosome	8161	274		GO:0008152	0	0.047619047619047616	R1	-	1	132	8029	13	13	119	8016	8161	0.21683148449748063
e019_R1	3	TRUE	3.4458638120663977e-7	9	20	4	0.2	0.4444444444444444	REAC:R-HSA-391908	REAC	Prostanoid ligand receptors	10790	1720		GO:0050789	0	0.16666666666666666	R1	-	1	9	10781	4	16	5	10765	10790	0.2972985451317327
e019_R1	4	TRUE	3.179122905075278e-13	35	21	8	0.38095238095238093	0.22857142857142856	REAC:R-HSA-1296065	REAC	Inwardly rectifying K+ channels	10790	1211		GO:0006936;GO:0006811	0	0.02040816326530612	R1	-	1	35	10755	8	13	27	10742	10790	0.2933331119213059
e019_R1	5	TRUE	4.102500520200147e-24	18	24	11	0.4583333333333333	0.6111111111111112	REAC:R-HSA-163210	REAC	Formation of ATP by chemiosmotic coupling	10790	898		GO:0006119;GO:0009117	0	0.02040816326530612	R1	-	1	18	10772	11	13	7	10759	10790	0.5283397621500766
e019_R1	6	TRUE	5.270802926965621e-25	43	19	13	0.6842105263157895	0.3023255813953488	KEGG:03022	KEGG	Basal transcription factors	8161	213		GO:0009059;GO:0006281;GO:0016070	0	0.017241379310344827	R1	-	1	43	8118	13	6	30	8112	8161	0.4530313689598902
e019_R1	7	TRUE	1.6998006314301527e-49	43	28	23	0.8214285714285714	0.5348837209302325	KEGG:03022	KEGG	Basal transcription factors	8161	213		GO:0006508;GO:0016070;GO:0050789;GO:0065003;GO:0036211;GO:0009059	0	0.01818181818181818	R1	-	1	43	8118	23	5	20	8113	8161	0.6614748772569595
e019_R1	8	TRUE	5.581079007415451e-4	449	11	6	0.5454545454545454	0.013363028953229399	REAC:R-HSA-9012999	REAC	RHO GTPase cycle	10790	1755		NA	0	0.3333333333333333	R1	-	1	449	10341	6	5	443	10336	10790	0.08059691678035674
e019_R1	9	TRUE	1.178889931268636e-19	23	17	9	0.5294117647058824	0.391304347826087	GO:0042744	GO:BP	hydrogen peroxide catabolic process	16324	10914		GO:0008152;GO:0015669	0	0.05263157894736842	R1	-	1	23	16301	9	8	14	16293	16324	0.45449508605563205
e019_R1	10	TRUE	9.37995722677978e-26	170	22	18	0.8181818181818182	0.10588235294117647	KEGG:04310	KEGG	Wnt signaling pathway	8161	293		GO:0032501;GO:0007154;GO:0050896;GO:0050789;GO:0032502	0	0.01098901098901099	R1	-	1	170	7991	18	4	152	7987	8161	0.29026437157621876
