module	monet_type	experiment_info	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	goslim_pir	perc_rank	cumelative_dist	genes	rank	P	N	tp	fp	fn	tn	tot_pop_valid	mcc
1	M1	e019_M1	TRUE	4.549032891844948e-78	158	85	50	0.5882352941176471	0.31645569620253167	GO:0140053	GO:BP	mitochondrial gene expression	16324	20737		GO:0016070;GO:0006412	0	0.02564102564102564	ENSG00000215251;ENSG00000243927;ENSG00000177646;ENSG00000196365;ENSG00000182180;ENSG00000164347;ENSG00000138035;ENSG00000119705;ENSG00000103202;ENSG00000061794;ENSG00000048544;ENSG00000137133;ENSG00000107815;ENSG00000131368;ENSG00000144381;ENSG00000239789;ENSG00000120662;ENSG00000101181;ENSG00000105379;ENSG00000108179;ENSG00000147586;ENSG00000156502;ENSG00000124279;ENSG00000148090;ENSG00000122033;ENSG00000085760;ENSG00000132591;ENSG00000151806;ENSG00000134905;ENSG00000122140;ENSG00000132300;ENSG00000119689;ENSG00000148187;ENSG00000174173;ENSG00000104980;ENSG00000115419;ENSG00000132463;ENSG00000172171;ENSG00000112031;ENSG00000113048;ENSG00000036473;ENSG00000139428;ENSG00000175110;ENSG00000181991;ENSG00000182199;ENSG00000244005;ENSG00000140374;ENSG00000181610;ENSG00000118246;ENSG00000125901;ENSG00000090263;ENSG00000102763;ENSG00000182810;ENSG00000125445;ENSG00000160194;ENSG00000123472;ENSG00000062582;ENSG00000116898;ENSG00000163319;ENSG00000172586;ENSG00000183010;ENSG00000155906;ENSG00000165526;ENSG00000175756;ENSG00000168924;ENSG00000156469;ENSG00000138095;ENSG00000136463;ENSG00000144029;ENSG00000137500;ENSG00000119673;ENSG00000067704;ENSG00000081177;ENSG00000108064;ENSG00000148672;ENSG00000135972;ENSG00000099821;ENSG00000156026;ENSG00000103707;ENSG00000120333;ENSG00000132676;ENSG00000132153;ENSG00000074071;ENSG00000164182;ENSG00000006744;ENSG00000168827;ENSG00000074582;ENSG00000023330;ENSG00000102738;ENSG00000050393	1	158	16166	50	35	108	16131	16324	0.4275355177331374
1	M1	e019_M1	TRUE	2.0711848653137326e-64	130	85	42	0.49411764705882355	0.3230769230769231	GO:0032543	GO:BP	mitochondrial translation	16324	8059		GO:0016070;GO:0006412	0.02631578947368421	0.05128205128205128	ENSG00000215251;ENSG00000243927;ENSG00000177646;ENSG00000196365;ENSG00000182180;ENSG00000164347;ENSG00000138035;ENSG00000119705;ENSG00000103202;ENSG00000061794;ENSG00000048544;ENSG00000137133;ENSG00000107815;ENSG00000131368;ENSG00000144381;ENSG00000239789;ENSG00000120662;ENSG00000101181;ENSG00000105379;ENSG00000108179;ENSG00000147586;ENSG00000156502;ENSG00000124279;ENSG00000148090;ENSG00000122033;ENSG00000085760;ENSG00000132591;ENSG00000151806;ENSG00000134905;ENSG00000122140;ENSG00000132300;ENSG00000119689;ENSG00000148187;ENSG00000174173;ENSG00000104980;ENSG00000115419;ENSG00000132463;ENSG00000172171;ENSG00000112031;ENSG00000113048;ENSG00000036473;ENSG00000139428;ENSG00000175110;ENSG00000181991;ENSG00000182199;ENSG00000244005;ENSG00000140374;ENSG00000181610;ENSG00000118246;ENSG00000125901;ENSG00000090263;ENSG00000102763;ENSG00000182810;ENSG00000125445;ENSG00000160194;ENSG00000123472;ENSG00000062582;ENSG00000116898;ENSG00000163319;ENSG00000172586;ENSG00000183010;ENSG00000155906;ENSG00000165526;ENSG00000175756;ENSG00000168924;ENSG00000156469;ENSG00000138095;ENSG00000136463;ENSG00000144029;ENSG00000137500;ENSG00000119673;ENSG00000067704;ENSG00000081177;ENSG00000108064;ENSG00000148672;ENSG00000135972;ENSG00000099821;ENSG00000156026;ENSG00000103707;ENSG00000120333;ENSG00000132676;ENSG00000132153;ENSG00000074071;ENSG00000164182;ENSG00000006744;ENSG00000168827;ENSG00000074582;ENSG00000023330;ENSG00000102738;ENSG00000050393	2	130	16194	42	43	88	16151	16324	0.3957140313027429
1	M1	e019_M1	TRUE	3.607278316618235e-54	93	68	35	0.5147058823529411	0.3763440860215054	REAC:R-HSA-5368287	REAC	Mitochondrial translation	10790	1394		GO:0016070;GO:0006412	0.05263157894736842	0.07692307692307693	ENSG00000215251;ENSG00000243927;ENSG00000177646;ENSG00000196365;ENSG00000182180;ENSG00000164347;ENSG00000138035;ENSG00000119705;ENSG00000103202;ENSG00000061794;ENSG00000048544;ENSG00000137133;ENSG00000107815;ENSG00000131368;ENSG00000144381;ENSG00000239789;ENSG00000120662;ENSG00000101181;ENSG00000105379;ENSG00000108179;ENSG00000147586;ENSG00000156502;ENSG00000124279;ENSG00000148090;ENSG00000122033;ENSG00000085760;ENSG00000132591;ENSG00000151806;ENSG00000134905;ENSG00000122140;ENSG00000132300;ENSG00000119689;ENSG00000148187;ENSG00000174173;ENSG00000104980;ENSG00000115419;ENSG00000132463;ENSG00000172171;ENSG00000112031;ENSG00000113048;ENSG00000036473;ENSG00000139428;ENSG00000175110;ENSG00000181991;ENSG00000182199;ENSG00000244005;ENSG00000140374;ENSG00000181610;ENSG00000118246;ENSG00000125901;ENSG00000090263;ENSG00000102763;ENSG00000182810;ENSG00000125445;ENSG00000160194;ENSG00000123472;ENSG00000062582;ENSG00000116898;ENSG00000163319;ENSG00000172586;ENSG00000183010;ENSG00000155906;ENSG00000165526;ENSG00000175756;ENSG00000168924;ENSG00000156469;ENSG00000138095;ENSG00000136463;ENSG00000144029;ENSG00000137500;ENSG00000119673;ENSG00000067704;ENSG00000081177;ENSG00000108064;ENSG00000148672;ENSG00000135972;ENSG00000099821;ENSG00000156026;ENSG00000103707;ENSG00000120333;ENSG00000132676;ENSG00000132153;ENSG00000074071;ENSG00000164182;ENSG00000006744;ENSG00000168827;ENSG00000074582;ENSG00000023330;ENSG00000102738;ENSG00000050393	3	93	10697	35	33	58	10664	10790	0.43600405594128755
1	M1	e019_M1	TRUE	2.2758844768094233e-46	87	68	31	0.45588235294117646	0.3563218390804598	REAC:R-HSA-5368286	REAC	Mitochondrial translation initiation	10790	1396		GO:0016070;GO:0006412	0.07894736842105263	0.1282051282051282	ENSG00000215251;ENSG00000243927;ENSG00000177646;ENSG00000196365;ENSG00000182180;ENSG00000164347;ENSG00000138035;ENSG00000119705;ENSG00000103202;ENSG00000061794;ENSG00000048544;ENSG00000137133;ENSG00000107815;ENSG00000131368;ENSG00000144381;ENSG00000239789;ENSG00000120662;ENSG00000101181;ENSG00000105379;ENSG00000108179;ENSG00000147586;ENSG00000156502;ENSG00000124279;ENSG00000148090;ENSG00000122033;ENSG00000085760;ENSG00000132591;ENSG00000151806;ENSG00000134905;ENSG00000122140;ENSG00000132300;ENSG00000119689;ENSG00000148187;ENSG00000174173;ENSG00000104980;ENSG00000115419;ENSG00000132463;ENSG00000172171;ENSG00000112031;ENSG00000113048;ENSG00000036473;ENSG00000139428;ENSG00000175110;ENSG00000181991;ENSG00000182199;ENSG00000244005;ENSG00000140374;ENSG00000181610;ENSG00000118246;ENSG00000125901;ENSG00000090263;ENSG00000102763;ENSG00000182810;ENSG00000125445;ENSG00000160194;ENSG00000123472;ENSG00000062582;ENSG00000116898;ENSG00000163319;ENSG00000172586;ENSG00000183010;ENSG00000155906;ENSG00000165526;ENSG00000175756;ENSG00000168924;ENSG00000156469;ENSG00000138095;ENSG00000136463;ENSG00000144029;ENSG00000137500;ENSG00000119673;ENSG00000067704;ENSG00000081177;ENSG00000108064;ENSG00000148672;ENSG00000135972;ENSG00000099821;ENSG00000156026;ENSG00000103707;ENSG00000120333;ENSG00000132676;ENSG00000132153;ENSG00000074071;ENSG00000164182;ENSG00000006744;ENSG00000168827;ENSG00000074582;ENSG00000023330;ENSG00000102738;ENSG00000050393	4.5	87	10703	31	37	56	10666	10790	0.39877548141054203
1	M1	e019_M1	TRUE	2.2758844768094233e-46	87	68	31	0.45588235294117646	0.3563218390804598	REAC:R-HSA-5419276	REAC	Mitochondrial translation termination	10790	1397		GO:0016070;GO:0006412	0.07894736842105263	0.1282051282051282	ENSG00000215251;ENSG00000243927;ENSG00000177646;ENSG00000196365;ENSG00000182180;ENSG00000164347;ENSG00000138035;ENSG00000119705;ENSG00000103202;ENSG00000061794;ENSG00000048544;ENSG00000137133;ENSG00000107815;ENSG00000131368;ENSG00000144381;ENSG00000239789;ENSG00000120662;ENSG00000101181;ENSG00000105379;ENSG00000108179;ENSG00000147586;ENSG00000156502;ENSG00000124279;ENSG00000148090;ENSG00000122033;ENSG00000085760;ENSG00000132591;ENSG00000151806;ENSG00000134905;ENSG00000122140;ENSG00000132300;ENSG00000119689;ENSG00000148187;ENSG00000174173;ENSG00000104980;ENSG00000115419;ENSG00000132463;ENSG00000172171;ENSG00000112031;ENSG00000113048;ENSG00000036473;ENSG00000139428;ENSG00000175110;ENSG00000181991;ENSG00000182199;ENSG00000244005;ENSG00000140374;ENSG00000181610;ENSG00000118246;ENSG00000125901;ENSG00000090263;ENSG00000102763;ENSG00000182810;ENSG00000125445;ENSG00000160194;ENSG00000123472;ENSG00000062582;ENSG00000116898;ENSG00000163319;ENSG00000172586;ENSG00000183010;ENSG00000155906;ENSG00000165526;ENSG00000175756;ENSG00000168924;ENSG00000156469;ENSG00000138095;ENSG00000136463;ENSG00000144029;ENSG00000137500;ENSG00000119673;ENSG00000067704;ENSG00000081177;ENSG00000108064;ENSG00000148672;ENSG00000135972;ENSG00000099821;ENSG00000156026;ENSG00000103707;ENSG00000120333;ENSG00000132676;ENSG00000132153;ENSG00000074071;ENSG00000164182;ENSG00000006744;ENSG00000168827;ENSG00000074582;ENSG00000023330;ENSG00000102738;ENSG00000050393	4.5	87	10703	31	37	56	10666	10790	0.39877548141054203
1	M1	e019_M1	TRUE	4.919049264952919e-42	87	68	29	0.4264705882352941	0.3333333333333333	REAC:R-HSA-5389840	REAC	Mitochondrial translation elongation	10790	1395		GO:0016070;GO:0006412	0.13157894736842105	0.15384615384615385	ENSG00000215251;ENSG00000243927;ENSG00000177646;ENSG00000196365;ENSG00000182180;ENSG00000164347;ENSG00000138035;ENSG00000119705;ENSG00000103202;ENSG00000061794;ENSG00000048544;ENSG00000137133;ENSG00000107815;ENSG00000131368;ENSG00000144381;ENSG00000239789;ENSG00000120662;ENSG00000101181;ENSG00000105379;ENSG00000108179;ENSG00000147586;ENSG00000156502;ENSG00000124279;ENSG00000148090;ENSG00000122033;ENSG00000085760;ENSG00000132591;ENSG00000151806;ENSG00000134905;ENSG00000122140;ENSG00000132300;ENSG00000119689;ENSG00000148187;ENSG00000174173;ENSG00000104980;ENSG00000115419;ENSG00000132463;ENSG00000172171;ENSG00000112031;ENSG00000113048;ENSG00000036473;ENSG00000139428;ENSG00000175110;ENSG00000181991;ENSG00000182199;ENSG00000244005;ENSG00000140374;ENSG00000181610;ENSG00000118246;ENSG00000125901;ENSG00000090263;ENSG00000102763;ENSG00000182810;ENSG00000125445;ENSG00000160194;ENSG00000123472;ENSG00000062582;ENSG00000116898;ENSG00000163319;ENSG00000172586;ENSG00000183010;ENSG00000155906;ENSG00000165526;ENSG00000175756;ENSG00000168924;ENSG00000156469;ENSG00000138095;ENSG00000136463;ENSG00000144029;ENSG00000137500;ENSG00000119673;ENSG00000067704;ENSG00000081177;ENSG00000108064;ENSG00000148672;ENSG00000135972;ENSG00000099821;ENSG00000156026;ENSG00000103707;ENSG00000120333;ENSG00000132676;ENSG00000132153;ENSG00000074071;ENSG00000164182;ENSG00000006744;ENSG00000168827;ENSG00000074582;ENSG00000023330;ENSG00000102738;ENSG00000050393	6	87	10703	29	39	58	10664	10790	0.37258480628457497
1	M1	e019_M1	TRUE	1.6441419547728926e-40	741	85	49	0.5764705882352941	0.06612685560053981	GO:0043604	GO:BP	amide biosynthetic process	16324	11391		GO:0016070;GO:0006412	0.15789473684210525	0.1794871794871795	ENSG00000215251;ENSG00000243927;ENSG00000177646;ENSG00000196365;ENSG00000182180;ENSG00000164347;ENSG00000138035;ENSG00000119705;ENSG00000103202;ENSG00000061794;ENSG00000048544;ENSG00000137133;ENSG00000107815;ENSG00000131368;ENSG00000144381;ENSG00000239789;ENSG00000120662;ENSG00000101181;ENSG00000105379;ENSG00000108179;ENSG00000147586;ENSG00000156502;ENSG00000124279;ENSG00000148090;ENSG00000122033;ENSG00000085760;ENSG00000132591;ENSG00000151806;ENSG00000134905;ENSG00000122140;ENSG00000132300;ENSG00000119689;ENSG00000148187;ENSG00000174173;ENSG00000104980;ENSG00000115419;ENSG00000132463;ENSG00000172171;ENSG00000112031;ENSG00000113048;ENSG00000036473;ENSG00000139428;ENSG00000175110;ENSG00000181991;ENSG00000182199;ENSG00000244005;ENSG00000140374;ENSG00000181610;ENSG00000118246;ENSG00000125901;ENSG00000090263;ENSG00000102763;ENSG00000182810;ENSG00000125445;ENSG00000160194;ENSG00000123472;ENSG00000062582;ENSG00000116898;ENSG00000163319;ENSG00000172586;ENSG00000183010;ENSG00000155906;ENSG00000165526;ENSG00000175756;ENSG00000168924;ENSG00000156469;ENSG00000138095;ENSG00000136463;ENSG00000144029;ENSG00000137500;ENSG00000119673;ENSG00000067704;ENSG00000081177;ENSG00000108064;ENSG00000148672;ENSG00000135972;ENSG00000099821;ENSG00000156026;ENSG00000103707;ENSG00000120333;ENSG00000132676;ENSG00000132153;ENSG00000074071;ENSG00000164182;ENSG00000006744;ENSG00000168827;ENSG00000074582;ENSG00000023330;ENSG00000102738;ENSG00000050393	7	741	15583	49	36	692	15547	16324	0.18457781867424064
1	M1	e019_M1	TRUE	1.801683967481424e-40	597	85	46	0.5411764705882353	0.07705192629815745	GO:0006412	GO:BP	translation	16324	2221		GO:0016070;GO:0006412	0.18421052631578946	0.20512820512820512	ENSG00000215251;ENSG00000243927;ENSG00000177646;ENSG00000196365;ENSG00000182180;ENSG00000164347;ENSG00000138035;ENSG00000119705;ENSG00000103202;ENSG00000061794;ENSG00000048544;ENSG00000137133;ENSG00000107815;ENSG00000131368;ENSG00000144381;ENSG00000239789;ENSG00000120662;ENSG00000101181;ENSG00000105379;ENSG00000108179;ENSG00000147586;ENSG00000156502;ENSG00000124279;ENSG00000148090;ENSG00000122033;ENSG00000085760;ENSG00000132591;ENSG00000151806;ENSG00000134905;ENSG00000122140;ENSG00000132300;ENSG00000119689;ENSG00000148187;ENSG00000174173;ENSG00000104980;ENSG00000115419;ENSG00000132463;ENSG00000172171;ENSG00000112031;ENSG00000113048;ENSG00000036473;ENSG00000139428;ENSG00000175110;ENSG00000181991;ENSG00000182199;ENSG00000244005;ENSG00000140374;ENSG00000181610;ENSG00000118246;ENSG00000125901;ENSG00000090263;ENSG00000102763;ENSG00000182810;ENSG00000125445;ENSG00000160194;ENSG00000123472;ENSG00000062582;ENSG00000116898;ENSG00000163319;ENSG00000172586;ENSG00000183010;ENSG00000155906;ENSG00000165526;ENSG00000175756;ENSG00000168924;ENSG00000156469;ENSG00000138095;ENSG00000136463;ENSG00000144029;ENSG00000137500;ENSG00000119673;ENSG00000067704;ENSG00000081177;ENSG00000108064;ENSG00000148672;ENSG00000135972;ENSG00000099821;ENSG00000156026;ENSG00000103707;ENSG00000120333;ENSG00000132676;ENSG00000132153;ENSG00000074071;ENSG00000164182;ENSG00000006744;ENSG00000168827;ENSG00000074582;ENSG00000023330;ENSG00000102738;ENSG00000050393	8	597	15727	46	39	551	15688	16324	0.19449008359131598
1	M1	e019_M1	TRUE	9.629504605990726e-40	619	85	46	0.5411764705882353	0.07431340872374798	GO:0043043	GO:BP	peptide biosynthetic process	16324	11074		GO:0016070;GO:0006412	0.21052631578947367	0.23076923076923078	ENSG00000215251;ENSG00000243927;ENSG00000177646;ENSG00000196365;ENSG00000182180;ENSG00000164347;ENSG00000138035;ENSG00000119705;ENSG00000103202;ENSG00000061794;ENSG00000048544;ENSG00000137133;ENSG00000107815;ENSG00000131368;ENSG00000144381;ENSG00000239789;ENSG00000120662;ENSG00000101181;ENSG00000105379;ENSG00000108179;ENSG00000147586;ENSG00000156502;ENSG00000124279;ENSG00000148090;ENSG00000122033;ENSG00000085760;ENSG00000132591;ENSG00000151806;ENSG00000134905;ENSG00000122140;ENSG00000132300;ENSG00000119689;ENSG00000148187;ENSG00000174173;ENSG00000104980;ENSG00000115419;ENSG00000132463;ENSG00000172171;ENSG00000112031;ENSG00000113048;ENSG00000036473;ENSG00000139428;ENSG00000175110;ENSG00000181991;ENSG00000182199;ENSG00000244005;ENSG00000140374;ENSG00000181610;ENSG00000118246;ENSG00000125901;ENSG00000090263;ENSG00000102763;ENSG00000182810;ENSG00000125445;ENSG00000160194;ENSG00000123472;ENSG00000062582;ENSG00000116898;ENSG00000163319;ENSG00000172586;ENSG00000183010;ENSG00000155906;ENSG00000165526;ENSG00000175756;ENSG00000168924;ENSG00000156469;ENSG00000138095;ENSG00000136463;ENSG00000144029;ENSG00000137500;ENSG00000119673;ENSG00000067704;ENSG00000081177;ENSG00000108064;ENSG00000148672;ENSG00000135972;ENSG00000099821;ENSG00000156026;ENSG00000103707;ENSG00000120333;ENSG00000132676;ENSG00000132153;ENSG00000074071;ENSG00000164182;ENSG00000006744;ENSG00000168827;ENSG00000074582;ENSG00000023330;ENSG00000102738;ENSG00000050393	9	619	15705	46	39	573	15666	16324	0.1906258539032172
1	M1	e019_M1	TRUE	4.4280738819475357e-38	292	68	37	0.5441176470588235	0.1267123287671233	REAC:R-HSA-72766	REAC	Translation	10790	2429		GO:0016070;GO:0006412	0.23684210526315788	0.2564102564102564	ENSG00000215251;ENSG00000243927;ENSG00000177646;ENSG00000196365;ENSG00000182180;ENSG00000164347;ENSG00000138035;ENSG00000119705;ENSG00000103202;ENSG00000061794;ENSG00000048544;ENSG00000137133;ENSG00000107815;ENSG00000131368;ENSG00000144381;ENSG00000239789;ENSG00000120662;ENSG00000101181;ENSG00000105379;ENSG00000108179;ENSG00000147586;ENSG00000156502;ENSG00000124279;ENSG00000148090;ENSG00000122033;ENSG00000085760;ENSG00000132591;ENSG00000151806;ENSG00000134905;ENSG00000122140;ENSG00000132300;ENSG00000119689;ENSG00000148187;ENSG00000174173;ENSG00000104980;ENSG00000115419;ENSG00000132463;ENSG00000172171;ENSG00000112031;ENSG00000113048;ENSG00000036473;ENSG00000139428;ENSG00000175110;ENSG00000181991;ENSG00000182199;ENSG00000244005;ENSG00000140374;ENSG00000181610;ENSG00000118246;ENSG00000125901;ENSG00000090263;ENSG00000102763;ENSG00000182810;ENSG00000125445;ENSG00000160194;ENSG00000123472;ENSG00000062582;ENSG00000116898;ENSG00000163319;ENSG00000172586;ENSG00000183010;ENSG00000155906;ENSG00000165526;ENSG00000175756;ENSG00000168924;ENSG00000156469;ENSG00000138095;ENSG00000136463;ENSG00000144029;ENSG00000137500;ENSG00000119673;ENSG00000067704;ENSG00000081177;ENSG00000108064;ENSG00000148672;ENSG00000135972;ENSG00000099821;ENSG00000156026;ENSG00000103707;ENSG00000120333;ENSG00000132676;ENSG00000132153;ENSG00000074071;ENSG00000164182;ENSG00000006744;ENSG00000168827;ENSG00000074582;ENSG00000023330;ENSG00000102738;ENSG00000050393	10	292	10498	37	31	255	10467	10790	0.2537642831475735
