module	monet_type	experiment_info	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	goslim_pir	perc_rank	cumelative_dist	genes	rank	P	N	tp	fp	fn	tn	tot_pop_valid	mcc
1	M1	e019_M1	TRUE	6.456696233072297e-8	249	66	15	0.22727272727272727	0.060240963855421686	KEGG:05132	KEGG	Salmonella infection	8161	422		NA	0	0.06666666666666667	55754;6259;9991;55293;23603;23118;51068;3416;3655;8826;4893;10114;9908;5781;55573;1452;7326;26092;8450;8301;5573;8545;2776;4087;8780;10640;55669;55233;9337;7319;51714;7534;5868;29766;382;8540;51164;1654;1968;56650;8030;5048;25800;51573;5782;6760;23190;55681;55916;9341;3998;10006;1635;25932;1432;387;4179;23473;9425;528;5962;10565;10048;10049;6197;7803;9802;4735;2782;9135;8773;23291;10097;164;10092;7323;102;3836;4149;10678;1810;9589;2665;81537;4074;9522;6856;3688;3799;523;51582;23062;3840;5594;5151;10672;3964	1	249	7912	15	51	234	7861	8161	0.10330106664501404
1	M1	e019_M1	TRUE	8.987906624078096e-6	136	66	10	0.15151515151515152	0.07352941176470588	KEGG:05135	KEGG	Yersinia infection	8161	425		NA	0.07142857142857142	0.13333333333333333	55754;6259;9991;55293;23603;23118;51068;3416;3655;8826;4893;10114;9908;5781;55573;1452;7326;26092;8450;8301;5573;8545;2776;4087;8780;10640;55669;55233;9337;7319;51714;7534;5868;29766;382;8540;51164;1654;1968;56650;8030;5048;25800;51573;5782;6760;23190;55681;55916;9341;3998;10006;1635;25932;1432;387;4179;23473;9425;528;5962;10565;10048;10049;6197;7803;9802;4735;2782;9135;8773;23291;10097;164;10092;7323;102;3836;4149;10678;1810;9589;2665;81537;4074;9522;6856;3688;3799;523;51582;23062;3840;5594;5151;10672;3964	2	136	8025	10	56	126	7969	8161	0.09511906938929396
1	M1	e019_M1	TRUE	3.1200905399663465e-5	196	66	11	0.16666666666666666	0.05612244897959184	KEGG:05130	KEGG	Pathogenic Escherichia coli infection	8161	420		NA	0.14285714285714285	0.2	55754;6259;9991;55293;23603;23118;51068;3416;3655;8826;4893;10114;9908;5781;55573;1452;7326;26092;8450;8301;5573;8545;2776;4087;8780;10640;55669;55233;9337;7319;51714;7534;5868;29766;382;8540;51164;1654;1968;56650;8030;5048;25800;51573;5782;6760;23190;55681;55916;9341;3998;10006;1635;25932;1432;387;4179;23473;9425;528;5962;10565;10048;10049;6197;7803;9802;4735;2782;9135;8773;23291;10097;164;10092;7323;102;3836;4149;10678;1810;9589;2665;81537;4074;9522;6856;3688;3799;523;51582;23062;3840;5594;5151;10672;3964	3	196	7965	11	55	185	7910	8161	0.0841313340643984
1	M1	e019_M1	TRUE	2.9419845616018045e-4	246	66	11	0.16666666666666666	0.044715447154471545	KEGG:05131	KEGG	Shigellosis	8161	421		NA	0.21428571428571427	0.26666666666666666	55754;6259;9991;55293;23603;23118;51068;3416;3655;8826;4893;10114;9908;5781;55573;1452;7326;26092;8450;8301;5573;8545;2776;4087;8780;10640;55669;55233;9337;7319;51714;7534;5868;29766;382;8540;51164;1654;1968;56650;8030;5048;25800;51573;5782;6760;23190;55681;55916;9341;3998;10006;1635;25932;1432;387;4179;23473;9425;528;5962;10565;10048;10049;6197;7803;9802;4735;2782;9135;8773;23291;10097;164;10092;7323;102;3836;4149;10678;1810;9589;2665;81537;4074;9522;6856;3688;3799;523;51582;23062;3840;5594;5151;10672;3964	4	246	7915	11	55	235	7860	8161	0.07209758028045155
2	M1	e019_M1	TRUE	3.978960526699407e-62	193	76	47	0.618421052631579	0.24352331606217617	REAC:R-HSA-913531	REAC	Interferon Signaling	10790	1167		GO:0050896;GO:0044419;GO:0016032;GO:0001816;GO:0050789;GO:0002376	0	0.005235602094240838	9246;4615;54625;6737;5920;5696;9976;7453;103;11274;3434;3135;3627;10379;11118;3134;83666;3428;51191;4600;2643;6672;10964;4938;3133;10561;5721;6892;3105;3106;3437;2633;3433;6773;94240;3137;391020;4940;834;5371;3659;3601;10384;3107;151636;55601;5359;8519;51131;64135;10581;5698;9111;4061;837;55337;3429;54739;57674;3669;24138;3430;80833;129607;3123;9636;10346;3959;3665;6772;6890;80830;23586;4599;64108;2634;10410;8638;684;567;219285;91543;8743;58472;5610;5699;54809;2537;6373;4939;5720;51056;3431;64761	1	193	10597	47	29	146	10568	10790	0.3816102099444179
2	M1	e019_M1	TRUE	1.2169218414154262e-59	71	76	36	0.47368421052631576	0.5070422535211268	REAC:R-HSA-909733	REAC	Interferon alpha/beta signaling	10790	1168		GO:0050896;GO:0044419;GO:0016032;GO:0001816;GO:0050789;GO:0002376	0.005263157894736842	0.010471204188481676	9246;4615;54625;6737;5920;5696;9976;7453;103;11274;3434;3135;3627;10379;11118;3134;83666;3428;51191;4600;2643;6672;10964;4938;3133;10561;5721;6892;3105;3106;3437;2633;3433;6773;94240;3137;391020;4940;834;5371;3659;3601;10384;3107;151636;55601;5359;8519;51131;64135;10581;5698;9111;4061;837;55337;3429;54739;57674;3669;24138;3430;80833;129607;3123;9636;10346;3959;3665;6772;6890;80830;23586;4599;64108;2634;10410;8638;684;567;219285;91543;8743;58472;5610;5699;54809;2537;6373;4939;5720;51056;3431;64761	2	71	10719	36	40	35	10679	10790	0.4865861430329119
2	M1	e019_M1	TRUE	6.808079462547726e-49	223	87	40	0.45977011494252873	0.17937219730941703	GO:0140546	GO:BP	defense response to symbiont	16324	20911		GO:0050896;GO:0044419;GO:0016032;GO:0001816;GO:0050789;GO:0002376	0.010526315789473684	0.020942408376963352	9246;4615;54625;6737;5920;5696;9976;7453;103;11274;3434;3135;3627;10379;11118;3134;83666;3428;51191;4600;2643;6672;10964;4938;3133;10561;5721;6892;3105;3106;3437;2633;3433;6773;94240;3137;391020;4940;834;5371;3659;3601;10384;3107;151636;55601;5359;8519;51131;64135;10581;5698;9111;4061;837;55337;3429;54739;57674;3669;24138;3430;80833;129607;3123;9636;10346;3959;3665;6772;6890;80830;23586;4599;64108;2634;10410;8638;684;567;219285;91543;8743;58472;5610;5699;54809;2537;6373;4939;5720;51056;3431;64761	3.5	223	16101	40	47	183	16054	16324	0.2813168115545123
2	M1	e019_M1	TRUE	6.808079462547726e-49	223	87	40	0.45977011494252873	0.17937219730941703	GO:0051607	GO:BP	defense response to virus	16324	14611		GO:0050896;GO:0044419;GO:0016032;GO:0001816;GO:0050789;GO:0002376	0.010526315789473684	0.020942408376963352	9246;4615;54625;6737;5920;5696;9976;7453;103;11274;3434;3135;3627;10379;11118;3134;83666;3428;51191;4600;2643;6672;10964;4938;3133;10561;5721;6892;3105;3106;3437;2633;3433;6773;94240;3137;391020;4940;834;5371;3659;3601;10384;3107;151636;55601;5359;8519;51131;64135;10581;5698;9111;4061;837;55337;3429;54739;57674;3669;24138;3430;80833;129607;3123;9636;10346;3959;3665;6772;6890;80830;23586;4599;64108;2634;10410;8638;684;567;219285;91543;8743;58472;5610;5699;54809;2537;6373;4939;5720;51056;3431;64761	3.5	223	16101	40	47	183	16054	16324	0.2813168115545123
2	M1	e019_M1	TRUE	1.5942794459161983e-48	330	87	44	0.5057471264367817	0.13333333333333333	GO:0009615	GO:BP	response to virus	16324	3618		GO:0050896;GO:0044419;GO:0016032;GO:0001816;GO:0050789;GO:0002376	0.021052631578947368	0.02617801047120419	9246;4615;54625;6737;5920;5696;9976;7453;103;11274;3434;3135;3627;10379;11118;3134;83666;3428;51191;4600;2643;6672;10964;4938;3133;10561;5721;6892;3105;3106;3437;2633;3433;6773;94240;3137;391020;4940;834;5371;3659;3601;10384;3107;151636;55601;5359;8519;51131;64135;10581;5698;9111;4061;837;55337;3429;54739;57674;3669;24138;3430;80833;129607;3123;9636;10346;3959;3665;6772;6890;80830;23586;4599;64108;2634;10410;8638;684;567;219285;91543;8743;58472;5610;5699;54809;2537;6373;4939;5720;51056;3431;64761	5	330	15994	44	43	286	15951	16324	0.25253129514057354
2	M1	e019_M1	TRUE	2.346781818793755e-34	734	87	45	0.5172413793103449	0.06130790190735695	GO:0045087	GO:BP	innate immune response	16324	11960		GO:0050896;GO:0044419;GO:0016032;GO:0001816;GO:0050789;GO:0002376	0.02631578947368421	0.031413612565445025	9246;4615;54625;6737;5920;5696;9976;7453;103;11274;3434;3135;3627;10379;11118;3134;83666;3428;51191;4600;2643;6672;10964;4938;3133;10561;5721;6892;3105;3106;3437;2633;3433;6773;94240;3137;391020;4940;834;5371;3659;3601;10384;3107;151636;55601;5359;8519;51131;64135;10581;5698;9111;4061;837;55337;3429;54739;57674;3669;24138;3430;80833;129607;3123;9636;10346;3959;3665;6772;6890;80830;23586;4599;64108;2634;10410;8638;684;567;219285;91543;8743;58472;5610;5699;54809;2537;6373;4939;5720;51056;3431;64761	6	734	15590	45	42	689	15548	16324	0.16682415834312886
