module	monet_type	experiment_info	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	goslim_pir	perc_rank	cumelative_dist	genes	rank	P	N	tp	fp	fn	tn	tot_pop_valid	mcc
1	R1	e019_R1	TRUE	9.33528436815188e-5	12	13	3	0.23076923076923078	0.25	REAC:R-HSA-1663150	REAC	The activation of arylsulfatases	10790	2363		NA	0	0.3333333333333333	ENSG00000129103;ENSG00000106392;ENSG00000185615;ENSG00000079150;ENSG00000120942;ENSG00000167123;ENSG00000079459;ENSG00000171861;ENSG00000117862;ENSG00000065057;ENSG00000149380;ENSG00000023318;ENSG00000131730;ENSG00000162433;ENSG00000001630;ENSG00000141337;ENSG00000144455	1	12	10778	3	10	9	10768	10790	0.23931191613213965
2	R1	e019_R1	TRUE	1.5691177583892905e-15	132	26	13	0.5	0.09848484848484848	KEGG:04142	KEGG	Lysosome	8161	274		GO:0008152	0	0.047619047619047616	ENSG00000144935;ENSG00000143387;ENSG00000107779;ENSG00000135047;ENSG00000100299;ENSG00000112149;ENSG00000010404;ENSG00000103811;ENSG00000138741;ENSG00000116031;ENSG00000170373;ENSG00000175938;ENSG00000110013;ENSG00000157869;ENSG00000136943;ENSG00000198742;ENSG00000133107;ENSG00000101441;ENSG00000109861;ENSG00000072315;ENSG00000169919;ENSG00000221983;ENSG00000204217;ENSG00000141012;ENSG00000108784;ENSG00000138744;ENSG00000181523;ENSG00000137976;ENSG00000109323;ENSG00000276045;ENSG00000168878;ENSG00000174136	1	132	8029	13	13	119	8016	8161	0.21683148449748063
2	R1	e019_R1	TRUE	6.934826048264457e-9	11	25	5	0.2	0.45454545454545453	REAC:R-HSA-2206281	REAC	Mucopolysaccharidoses	10790	1412		GO:0008152	0.05	0.09523809523809523	ENSG00000144935;ENSG00000143387;ENSG00000107779;ENSG00000135047;ENSG00000100299;ENSG00000112149;ENSG00000010404;ENSG00000103811;ENSG00000138741;ENSG00000116031;ENSG00000170373;ENSG00000175938;ENSG00000110013;ENSG00000157869;ENSG00000136943;ENSG00000198742;ENSG00000133107;ENSG00000101441;ENSG00000109861;ENSG00000072315;ENSG00000169919;ENSG00000221983;ENSG00000204217;ENSG00000141012;ENSG00000108784;ENSG00000138744;ENSG00000181523;ENSG00000137976;ENSG00000109323;ENSG00000276045;ENSG00000168878;ENSG00000174136	2	11	10779	5	20	6	10759	10790	0.3004757674943374
2	R1	e019_R1	TRUE	2.987246901443568e-8	33	25	6	0.24	0.18181818181818182	REAC:R-HSA-5663084	REAC	Diseases of carbohydrate metabolism	10790	725		GO:0008152	0.1	0.14285714285714285	ENSG00000144935;ENSG00000143387;ENSG00000107779;ENSG00000135047;ENSG00000100299;ENSG00000112149;ENSG00000010404;ENSG00000103811;ENSG00000138741;ENSG00000116031;ENSG00000170373;ENSG00000175938;ENSG00000110013;ENSG00000157869;ENSG00000136943;ENSG00000198742;ENSG00000133107;ENSG00000101441;ENSG00000109861;ENSG00000072315;ENSG00000169919;ENSG00000221983;ENSG00000204217;ENSG00000141012;ENSG00000108784;ENSG00000138744;ENSG00000181523;ENSG00000137976;ENSG00000109323;ENSG00000276045;ENSG00000168878;ENSG00000174136	3	33	10757	6	19	27	10738	10790	0.20678699282709595
2	R1	e019_R1	TRUE	1.5610791454766362e-7	19	26	5	0.19230769230769232	0.2631578947368421	KEGG:00531	KEGG	Glycosaminoglycan degradation	8161	75		GO:0008152	0.15	0.19047619047619047	ENSG00000144935;ENSG00000143387;ENSG00000107779;ENSG00000135047;ENSG00000100299;ENSG00000112149;ENSG00000010404;ENSG00000103811;ENSG00000138741;ENSG00000116031;ENSG00000170373;ENSG00000175938;ENSG00000110013;ENSG00000157869;ENSG00000136943;ENSG00000198742;ENSG00000133107;ENSG00000101441;ENSG00000109861;ENSG00000072315;ENSG00000169919;ENSG00000221983;ENSG00000204217;ENSG00000141012;ENSG00000108784;ENSG00000138744;ENSG00000181523;ENSG00000137976;ENSG00000109323;ENSG00000276045;ENSG00000168878;ENSG00000174136	4	19	8142	5	21	14	8121	8161	0.22285160679465063
2	R1	e019_R1	TRUE	1.6189086944461518e-6	10	25	4	0.16	0.4	REAC:R-HSA-418890	REAC	Role of second messengers in netrin-1 signaling	10790	1988		GO:0008152	0.2	0.23809523809523808	ENSG00000144935;ENSG00000143387;ENSG00000107779;ENSG00000135047;ENSG00000100299;ENSG00000112149;ENSG00000010404;ENSG00000103811;ENSG00000138741;ENSG00000116031;ENSG00000170373;ENSG00000175938;ENSG00000110013;ENSG00000157869;ENSG00000136943;ENSG00000198742;ENSG00000133107;ENSG00000101441;ENSG00000109861;ENSG00000072315;ENSG00000169919;ENSG00000221983;ENSG00000204217;ENSG00000141012;ENSG00000108784;ENSG00000138744;ENSG00000181523;ENSG00000137976;ENSG00000109323;ENSG00000276045;ENSG00000168878;ENSG00000174136	5	10	10780	4	21	6	10759	10790	0.25192549043279877
2	R1	e019_R1	TRUE	2.6988140287391912e-5	49	25	5	0.2	0.10204081632653061	REAC:R-HSA-373752	REAC	Netrin-1 signaling	10790	1500		GO:0008152	0.25	0.2857142857142857	ENSG00000144935;ENSG00000143387;ENSG00000107779;ENSG00000135047;ENSG00000100299;ENSG00000112149;ENSG00000010404;ENSG00000103811;ENSG00000138741;ENSG00000116031;ENSG00000170373;ENSG00000175938;ENSG00000110013;ENSG00000157869;ENSG00000136943;ENSG00000198742;ENSG00000133107;ENSG00000101441;ENSG00000109861;ENSG00000072315;ENSG00000169919;ENSG00000221983;ENSG00000204217;ENSG00000141012;ENSG00000108784;ENSG00000138744;ENSG00000181523;ENSG00000137976;ENSG00000109323;ENSG00000276045;ENSG00000168878;ENSG00000174136	6	49	10741	5	20	44	10721	10790	0.14009388165816905
3	R1	e019_R1	TRUE	3.4458638120663977e-7	9	20	4	0.2	0.4444444444444444	REAC:R-HSA-391908	REAC	Prostanoid ligand receptors	10790	1720		GO:0050789	0	0.16666666666666666	ENSG00000058668;ENSG00000136802;ENSG00000107317;ENSG00000125398;ENSG00000121989;ENSG00000037280;ENSG00000144891;ENSG00000167601;ENSG00000092445;ENSG00000101558;ENSG00000050628;ENSG00000122420;ENSG00000214160;ENSG00000147804;ENSG00000075673;ENSG00000167889;ENSG00000125384;ENSG00000042445;ENSG00000160951;ENSG00000076351;ENSG00000182621;ENSG00000150630	1	9	10781	4	16	5	10765	10790	0.2972985451317327
3	R1	e019_R1	TRUE	3.7065120106149067e-6	15	20	4	0.2	0.26666666666666666	REAC:R-HSA-391903	REAC	Eicosanoid ligand-binding receptors	10790	796		GO:0050789	0.2	0.3333333333333333	ENSG00000058668;ENSG00000136802;ENSG00000107317;ENSG00000125398;ENSG00000121989;ENSG00000037280;ENSG00000144891;ENSG00000167601;ENSG00000092445;ENSG00000101558;ENSG00000050628;ENSG00000122420;ENSG00000214160;ENSG00000147804;ENSG00000075673;ENSG00000167889;ENSG00000125384;ENSG00000042445;ENSG00000160951;ENSG00000076351;ENSG00000182621;ENSG00000150630	2	15	10775	4	16	11	10759	10790	0.22970743285056233
4	R1	e019_R1	TRUE	3.179122905075278e-13	35	21	8	0.38095238095238093	0.22857142857142856	REAC:R-HSA-1296065	REAC	Inwardly rectifying K+ channels	10790	1211		GO:0006936;GO:0006811	0	0.02040816326530612	ENSG00000069431;ENSG00000149311;ENSG00000008196;ENSG00000087510;ENSG00000153822;ENSG00000115641;ENSG00000137203;ENSG00000215375;ENSG00000159176;ENSG00000133026;ENSG00000111245;ENSG00000121361;ENSG00000123700;ENSG00000068796;ENSG00000134318;ENSG00000084112;ENSG00000103671;ENSG00000092054;ENSG00000160808;ENSG00000103460;ENSG00000177807;ENSG00000006071;ENSG00000124275;ENSG00000187486;ENSG00000157551	1	35	10755	8	13	27	10742	10790	0.2933331119213059
