module	monet_type	experiment_info	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	goslim_pir	perc_rank	cumelative_dist	genes	rank	P	N	tp	fp	fn	tn	tot_pop_valid	mcc
4	R1	e019_R1	TRUE	0.008521247737682279	14	6	2	0.3333333333333333	0.14285714285714285	GO:0030810	GO:BP	positive regulation of nucleotide biosynthetic process	16324	7279		GO:0050789	0	1	3;323;711;872;880;934;935;936;1148;1149;1721;1915;2024;2162;2163;2457;2462;2474;2978;3565	1.5	14	16310	2	4	12	16306	16324	0.2177898612002838
4	R1	e019_R1	TRUE	0.008521247737682279	14	6	2	0.3333333333333333	0.14285714285714285	GO:1900373	GO:BP	positive regulation of purine nucleotide biosynthetic process	16324	21563		GO:0050789	0	1	3;323;711;872;880;934;935;936;1148;1149;1721;1915;2024;2162;2163;2457;2462;2474;2978;3565	1.5	14	16310	2	4	12	16306	16324	0.2177898612002838
15	R1	e019_R1	TRUE	3.752955658994019e-4	2	10	2	0.2	1	GO:1904616	GO:BP	regulation of actin binding	16324	25118		GO:0065009	0	1	25;352;809;810;1091;1211;1286;1400;1731;2299;2434;2785;2826;3067;6874	1.5	2	16322	2	8	0	16314	16324	0.4471039843229439
15	R1	e019_R1	TRUE	3.752955658994019e-4	2	10	2	0.2	1	GO:1904529	GO:BP	regulation of actin filament binding	16324	25047		GO:0065009	0	1	25;352;809;810;1091;1211;1286;1400;1731;2299;2434;2785;2826;3067;6874	1.5	2	16322	2	8	0	16314	16324	0.4471039843229439
19	R1	e019_R1	TRUE	0.006343376623414696	5	12	2	0.16666666666666666	0.4	GO:0060754	GO:BP	positive regulation of mast cell chemotaxis	16324	15770		GO:0050789	0	0.5	29;137;163;414;564;1072;1114;1503;2574;3730;4495;4947;4952;5228;5856;6453;7423	1	5	16319	2	10	3	16309	16324	0.25785865013900466
20	R1	e019_R1	TRUE	0.0032296203659120714	32	14	3	0.21428571428571427	0.09375	GO:0098815	GO:BP	modulation of excitatory postsynaptic potential	16324	19959		GO:0050789;GO:0065008	0	0.5	30;397;565;1558;1796;1843;2726;3486;3667;4488;4708;4798;5079;5485;5590;6543;6547;6803	1	32	16292	3	11	29	16281	16324	0.14063823449203214
31	R1	e019_R1	TRUE	6.088030741869774e-6	132	36	8	0.2222222222222222	0.06060606060606061	KEGG:04142	KEGG	Lysosome	8161	274		NA	0	0.16666666666666666	47;65;69;161;168;169;179;236;467;468;469;470;471;473;474;475;1012;1095;1105;1367;1398;1501;1502;1504;1505;1506;1507;1508;1510;1511;1512;1513;1514;1516;1518;1521;1522;1525;1527;1528;1529;1531;1567;1758;2176;2268;2269;2272;2279;2310;2576;2577;2929;3162;3215;3231;3233;3236;3462;3546;3637;3650;3656;3677;3712;3747;3765;3908;3986;4015;4653;4698;4799;4802;4828;5076;5818;6060;6579	1	132	8029	8	28	124	8001	8161	0.10872591999790203
31	R1	e019_R1	TRUE	1.261841861896508e-4	135	36	7	0.19444444444444445	0.05185185185185185	KEGG:04210	KEGG	Apoptosis	8161	281		NA	0.2	0.3333333333333333	47;65;69;161;168;169;179;236;467;468;469;470;471;473;474;475;1012;1095;1105;1367;1398;1501;1502;1504;1505;1506;1507;1508;1510;1511;1512;1513;1514;1516;1518;1521;1522;1525;1527;1528;1529;1531;1567;1758;2176;2268;2269;2272;2279;2310;2576;2577;2929;3162;3215;3231;3233;3236;3462;3546;3637;3650;3656;3677;3712;3747;3765;3908;3986;4015;4653;4698;4799;4802;4828;5076;5818;6060;6579	2	135	8026	7	29	128	7997	8161	0.09284278857272225
44	R1	e019_R1	TRUE	2.2443262127014566e-9	46	13	6	0.46153846153846156	0.13043478260869565	REAC:R-HSA-69231	REAC	Cyclin D associated events in G1	10790	399		GO:0065009;GO:0050789	0	0.05263157894736842	74;241;349;532;1022;1023;1024;1025;1026;1027;1028;1029;1032;1104;1305;2165;2902;3648	1.5	46	10744	6	7	40	10737	10790	0.24375860971399144
44	R1	e019_R1	TRUE	2.2443262127014566e-9	46	13	6	0.46153846153846156	0.13043478260869565	REAC:R-HSA-69236	REAC	G1 Phase	10790	946		GO:0065009;GO:0050789	0	0.05263157894736842	74;241;349;532;1022;1023;1024;1025;1026;1027;1028;1029;1032;1104;1305;2165;2902;3648	1.5	46	10744	6	7	40	10737	10790	0.24375860971399144
44	R1	e019_R1	TRUE	2.6452345565666438e-8	81	13	6	0.46153846153846156	0.07407407407407407	GO:0000079	GO:BP	regulation of cyclin-dependent protein serine/threonine kinase activity	16324	30		GO:0065009;GO:0050789	0.05405405405405406	0.07894736842105263	74;241;349;532;1022;1023;1024;1025;1026;1027;1028;1029;1032;1104;1305;2165;2902;3648	3	81	16243	6	7	75	16236	16324	0.1834407581420513
