module	monet_type	experiment_info	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	rank	P	N	tp	fp	fn	tn	tot_pop_valid	mcc	row_rank_p	row_rank_mcc	top_go	top_kegg	top_reac	goslim_pir	genes
1	M1	e019_M1	TRUE	6.456696233072297e-8	249	66	15	0.2272727272727273	0.06024096385542168	KEGG:05132	KEGG	Salmonella infection	8161	422	NA	0	0.06666666666666667	1	249	7912	15	51	234	7861	8161	0.10330106664501404	1	1	-	KEGG:05132	-	NA	55754;6259;9991;55293;23603;23118;51068;3416;3655;8826;4893;10114;9908;5781;55573;1452;7326;26092;8450;8301;5573;8545;2776;4087;8780;10640;55669;55233;9337;7319;51714;7534;5868;29766;382;8540;51164;1654;1968;56650;8030;5048;25800;51573;5782;6760;23190;55681;55916;9341;3998;10006;1635;25932;1432;387;4179;23473;9425;528;5962;10565;10048;10049;6197;7803;9802;4735;2782;9135;8773;23291;10097;164;10092;7323;102;3836;4149;10678;1810;9589;2665;81537;4074;9522;6856;3688;3799;523;51582;23062;3840;5594;5151;10672;3964
2	M1	e019_M1	TRUE	1.2169218414154262e-59	71	76	36	0.47368421052631576	0.5070422535211268	REAC:R-HSA-909733	REAC	Interferon alpha/beta signaling	10790	1168	NA	0.00526315789473684	0.01047120418848167	2	71	10719	36	40	35	10679	10790	0.4865861430329119	2	1	-	-	REAC:R-HSA-909733	GO:0050896;GO:0044419;GO:0016032;GO:0001816;GO:0050789;GO:0002376	9246;4615;54625;6737;5920;5696;9976;7453;103;11274;3434;3135;3627;10379;11118;3134;83666;3428;51191;4600;2643;6672;10964;4938;3133;10561;5721;6892;3105;3106;3437;2633;3433;6773;94240;3137;391020;4940;834;5371;3659;3601;10384;3107;151636;55601;5359;8519;51131;64135;10581;5698;9111;4061;837;55337;3429;54739;57674;3669;24138;3430;80833;129607;3123;9636;10346;3959;3665;6772;6890;80830;23586;4599;64108;2634;10410;8638;684;567;219285;91543;8743;58472;5610;5699;54809;2537;6373;4939;5720;51056;3431;64761
2	M1	e019_M1	TRUE	6.808079462547726e-49	223	87	40	0.45977011494252873	0.17937219730941703	GO:0140546	GO:BP	defense response to symbiont	16324	20911	NA	0.01052631578947368	0.02094240837696335	3.5	223	16101	40	47	183	16054	16324	0.2813168115545123	1	1	GO:0140546	-	-	GO:0050896;GO:0044419;GO:0016032;GO:0001816;GO:0050789;GO:0002376	9246;4615;54625;6737;5920;5696;9976;7453;103;11274;3434;3135;3627;10379;11118;3134;83666;3428;51191;4600;2643;6672;10964;4938;3133;10561;5721;6892;3105;3106;3437;2633;3433;6773;94240;3137;391020;4940;834;5371;3659;3601;10384;3107;151636;55601;5359;8519;51131;64135;10581;5698;9111;4061;837;55337;3429;54739;57674;3669;24138;3430;80833;129607;3123;9636;10346;3959;3665;6772;6890;80830;23586;4599;64108;2634;10410;8638;684;567;219285;91543;8743;58472;5610;5699;54809;2537;6373;4939;5720;51056;3431;64761
2	M1	e019_M1	TRUE	7.776284403774889e-20	198	56	22	0.3928571428571429	0.1111111111111111	KEGG:05169	KEGG	Epstein-Barr virus infection	8161	443	NA	0.1	0.10471204188481675	20	198	7963	22	34	176	7929	8161	0.19913144802974633	1	1	-	KEGG:05169	-	GO:0050896;GO:0044419;GO:0016032;GO:0001816;GO:0050789;GO:0002376	9246;4615;54625;6737;5920;5696;9976;7453;103;11274;3434;3135;3627;10379;11118;3134;83666;3428;51191;4600;2643;6672;10964;4938;3133;10561;5721;6892;3105;3106;3437;2633;3433;6773;94240;3137;391020;4940;834;5371;3659;3601;10384;3107;151636;55601;5359;8519;51131;64135;10581;5698;9111;4061;837;55337;3429;54739;57674;3669;24138;3430;80833;129607;3123;9636;10346;3959;3665;6772;6890;80830;23586;4599;64108;2634;10410;8638;684;567;219285;91543;8743;58472;5610;5699;54809;2537;6373;4939;5720;51056;3431;64761
3	M1	e019_M1	TRUE	2.16974909166913e-8	32	45	7	0.15555555555555556	0.21875	KEGG:00640	KEGG	Propanoate metabolism	8161	109	NA	0	0.125	1	32	8129	7	38	25	8091	8161	0.18066873135097905	1	1	-	KEGG:00640	-	NA	4594;23256;7485;23530;81689;55745;5825;900;10559;51138;9443;5867;25972;10477;2339;829;51510;9039;10099;25821;1738;2110;5110;26128;51727;6767;9604;594;11345;9694;10463;1429;51567;9562;27430;10857;5824;440026;23219;2631;1781;4338;128;10558;6342;56947;10175;55860;34;8723;60592;8803;23479;10768;25898;114932;9354;9581;8801;5887;178;10484;7257;51125;9419;10424;26275;10638;8799;10447;3188;23741;8050;79886;23588;64400;55884;157567;54951;83941;79624;221154;51382;80762;11034;8504;9403;55862;9166;7251;65084;10671;9412;10438
3	M1	e019_M1	TRUE	7.753235478286834e-5	37	90	6	0.06666666666666667	0.16216216216216217	GO:0007031	GO:BP	peroxisome organization	16324	2695	NA	0.14285714285714285	0.25	2	37	16287	6	84	31	16203	16324	0.100832368300274	1	1	GO:0007031	-	-	NA	4594;23256;7485;23530;81689;55745;5825;900;10559;51138;9443;5867;25972;10477;2339;829;51510;9039;10099;25821;1738;2110;5110;26128;51727;6767;9604;594;11345;9694;10463;1429;51567;9562;27430;10857;5824;440026;23219;2631;1781;4338;128;10558;6342;56947;10175;55860;34;8723;60592;8803;23479;10768;25898;114932;9354;9581;8801;5887;178;10484;7257;51125;9419;10424;26275;10638;8799;10447;3188;23741;8050;79886;23588;64400;55884;157567;54951;83941;79624;221154;51382;80762;11034;8504;9403;55862;9166;7251;65084;10671;9412;10438
4	M1	e019_M1	TRUE	1.482072289301719e-26	757	79	38	0.4810126582278481	0.05019815059445178	GO:0045321	GO:BP	leukocyte activation	16324	12051	NA	0	0.0040650406504065	1	757	15567	38	41	719	15526	16324	0.14413145951427844	1	10	GO:0045321	-	-	GO:0050896;GO:0016192;GO:0001775;GO:0044419;GO:0007155;GO:0050789;GO:0002376;GO:0008283	6503;241;4067;64092;3122;10875;4688;3310;3937;1436;5777;397;9450;5880;11151;7805;3575;474344;2123;962;199;1043;3109;4542;9535;7305;1512;1536;6039;3055;6850;1794;3113;942;445347;3119;6404;64231;963;1230;3587;3059;3936;1890;2124;5341;3689;5788;1236;2533;4689;4046;2207;3932;9473;22918;50856;9938;3108;7852;4125;7409;2213;51338;11010;4332;7940;864;6352;7133;3115;23643;972;1439;5175;958;2268;330;3683;9103;9595;11031;54440;953;1520;597;10437
4	M1	e019_M1	TRUE	1.2393464214015008e-11	56	60	11	0.18333333333333332	0.19642857142857145	KEGG:05416	KEGG	Viral myocarditis	8161	486	NA	0.1510204081632653	0.15447154471544716	38	56	8105	11	49	45	8056	8161	0.18397277818300187	1	2	-	KEGG:05416	-	GO:0050896;GO:0016192;GO:0001775;GO:0044419;GO:0007155;GO:0050789;GO:0002376;GO:0008283	6503;241;4067;64092;3122;10875;4688;3310;3937;1436;5777;397;9450;5880;11151;7805;3575;474344;2123;962;199;1043;3109;4542;9535;7305;1512;1536;6039;3055;6850;1794;3113;942;445347;3119;6404;64231;963;1230;3587;3059;3936;1890;2124;5341;3689;5788;1236;2533;4689;4046;2207;3932;9473;22918;50856;9938;3108;7852;4125;7409;2213;51338;11010;4332;7940;864;6352;7133;3115;23643;972;1439;5175;958;2268;330;3683;9103;9595;11031;54440;953;1520;597;10437
4	M1	e019_M1	TRUE	2.4413132233737212e-11	476	68	22	0.3235294117647059	0.04621848739495798	REAC:R-HSA-6798695	REAC	Neutrophil degranulation	10790	1511	NA	0.15918367346938775	0.16260162601626016	40	476	10314	22	46	454	10268	10790	0.10836022165656624	1	1	-	-	REAC:R-HSA-6798695	GO:0050896;GO:0016192;GO:0001775;GO:0044419;GO:0007155;GO:0050789;GO:0002376;GO:0008283	6503;241;4067;64092;3122;10875;4688;3310;3937;1436;5777;397;9450;5880;11151;7805;3575;474344;2123;962;199;1043;3109;4542;9535;7305;1512;1536;6039;3055;6850;1794;3113;942;445347;3119;6404;64231;963;1230;3587;3059;3936;1890;2124;5341;3689;5788;1236;2533;4689;4046;2207;3932;9473;22918;50856;9938;3108;7852;4125;7409;2213;51338;11010;4332;7940;864;6352;7133;3115;23643;972;1439;5175;958;2268;330;3683;9103;9595;11031;54440;953;1520;597;10437
5	M1	e019_M1	TRUE	2.942580236825154e-47	813	82	54	0.6585365853658537	0.06642066420664207	GO:0000278	GO:BP	mitotic cell cycle	16324	80	NA	0	0.00529100529100529	1	813	15511	54	28	759	15483	16324	0.19882690823360472	1	5	GO:0000278	-	-	GO:0006260;GO:0051276;GO:0000280;GO:0007059;GO:0007049;GO:0050789	10733;9735;5983;580;9134;79733;56992;83879;55215;64785;9837;9055;81930;79682;25788;51053;9768;9787;11130;90417;64151;4001;6491;55839;55706;55165;3070;29028;1854;3832;3925;4751;55010;26271;1894;29899;2146;3148;675;1111;54443;51514;151246;11169;1062;5427;9833;6119;29127;55055;54908;7153;259266;10926;990;1063;83540;4175;10403;79075;8317;54892;7272;11339;7112;1164;1719;7443;23594;79801;699;9319;6240;57405;10592;9493;672;23310;2237;3838;5557;55388;4085;5888;5985;3161
5	M1	e019_M1	TRUE	1.666805631900151e-23	289	71	28	0.39436619718309857	0.09688581314878893	REAC:R-HSA-69620	REAC	Cell Cycle Checkpoints	10790	309	NA	0.06914893617021277	0.07407407407407407	14	289	10501	28	43	261	10458	10790	0.1852949708986263	1	1	-	-	REAC:R-HSA-69620	GO:0006260;GO:0051276;GO:0000280;GO:0007059;GO:0007049;GO:0050789	10733;9735;5983;580;9134;79733;56992;83879;55215;64785;9837;9055;81930;79682;25788;51053;9768;9787;11130;90417;64151;4001;6491;55839;55706;55165;3070;29028;1854;3832;3925;4751;55010;26271;1894;29899;2146;3148;675;1111;54443;51514;151246;11169;1062;5427;9833;6119;29127;55055;54908;7153;259266;10926;990;1063;83540;4175;10403;79075;8317;54892;7272;11339;7112;1164;1719;7443;23594;79801;699;9319;6240;57405;10592;9493;672;23310;2237;3838;5557;55388;4085;5888;5985;3161
6	M1	e019_M1	TRUE	0.00370544824493515	27	56	4	0.07142857142857142	0.14814814814814814	REAC:R-HSA-8863795	REAC	Downregulation of ERBB2 signaling	10790	746	NA	0	0.5	1	27	10763	4	52	23	10711	10790	0.09964850547918216	1	1	-	-	REAC:R-HSA-8863795	NA	10427;1998;50618;23469;51585;6093;9444;5412;11183;5980;7337;152006;23607;1407;5530;2908;25852;57826;9101;51320;648;1386;23369;10274;29978;490;6651;2060;6249;5771;51366;23411;23063;8899;8065;394;22828;9821;51430;9859;2332;9655;5903;26009;23515;2803;9107;221037;1147;55288;29761;9698;4154;80204;9202;23142;6477;23111;55914;6670;8036;5495;3298;8491;23394;6938;253943;22862;54778;23200;54665;167227;27107;10000;64844;4089;1027;23122;9748
7	M1	e019_M1	TRUE	2.804666790693581e-9	46	40	8	0.2	0.17391304347826086	KEGG:03050	KEGG	Proteasome	8161	216	NA	0	0.0057471264367816	1	46	8115	8	32	38	8083	8161	0.1822048814771222	1	1	-	KEGG:03050	-	GO:0044085;GO:0006396;GO:0043412;GO:0006412;GO:0065003	10286;5687;9631;6950;3843;56647;7347;55699;5901;10987;6905;8624;10606;79833;7334;9521;6637;11222;7295;8872;8883;10128;5700;5701;8443;27101;10923;3376;28969;5685;1965;10969;5686;3015;51377;79017;6635;5464;4869;6636;2739;2926;9255;10576;8533;51002;6634;65008;79053;4528;55759;28985;158;3336;9352;22948;60488;5683;10213;8894;10440;52;51637;6880;51096;5684;2958;51182;5001;10575;1653;28977;28998;8487;29088;7411
7	M1	e019_M1	TRUE	1.5183908693939195e-7	597	72	18	0.25	0.03015075376884422	GO:0006412	GO:BP	translation	16324	2221	NA	0.01156069364161849	0.01724137931034482	3	597	15727	18	54	579	15673	16324	0.07567995737124367	1	2	GO:0006412	-	-	GO:0044085;GO:0006396;GO:0043412;GO:0006412;GO:0065003	10286;5687;9631;6950;3843;56647;7347;55699;5901;10987;6905;8624;10606;79833;7334;9521;6637;11222;7295;8872;8883;10128;5700;5701;8443;27101;10923;3376;28969;5685;1965;10969;5686;3015;51377;79017;6635;5464;4869;6636;2739;2926;9255;10576;8533;51002;6634;65008;79053;4528;55759;28985;158;3336;9352;22948;60488;5683;10213;8894;10440;52;51637;6880;51096;5684;2958;51182;5001;10575;1653;28977;28998;8487;29088;7411
7	M1	e019_M1	TRUE	2.2263872468258067e-7	49	67	8	0.11940298507462686	0.16326530612244897	REAC:R-HSA-1236978	REAC	Cross-presentation of soluble exogenous antigens (endosomes)	10790	395	NA	0.02890173410404624	0.03448275862068965	6	49	10741	8	59	41	10682	10790	0.1350379069035246	4	1	-	-	REAC:R-HSA-1236978	GO:0044085;GO:0006396;GO:0043412;GO:0006412;GO:0065003	10286;5687;9631;6950;3843;56647;7347;55699;5901;10987;6905;8624;10606;79833;7334;9521;6637;11222;7295;8872;8883;10128;5700;5701;8443;27101;10923;3376;28969;5685;1965;10969;5686;3015;51377;79017;6635;5464;4869;6636;2739;2926;9255;10576;8533;51002;6634;65008;79053;4528;55759;28985;158;3336;9352;22948;60488;5683;10213;8894;10440;52;51637;6880;51096;5684;2958;51182;5001;10575;1653;28977;28998;8487;29088;7411
8	M1	e019_M1	TRUE	8.550296716742831e-12	110	60	13	0.21666666666666667	0.11818181818181818	REAC:R-HSA-6785807	REAC	Interleukin-4 and Interleukin-13 signaling	10790	1192	NA	0	0.00854700854700854	1	110	10680	13	47	97	10633	10790	0.15370092916947348	1	1	-	-	REAC:R-HSA-6785807	GO:0050896;GO:0050789;GO:0065009	467;5606;8870;10135;1647;1847;6446;2354;22822;4616;6303;5054;10397;10221;80149;2919;6648;133;5209;23645;1604;3491;9516;5743;3554;602;3727;1026;7538;6515;1390;3383;7071;8553;3576;694;10957;7050;7128;3949;678;51278;7832;9592;2353;2355;604;4929;5329;7422;5997;1848;4170;4783;1052;5292;1958;7130;9314;3726;9766;5366;1843;4792;1839;2114;84981;3569;2669;1316;23764;3725;5328;3553;64332;2920
8	M1	e019_M1	TRUE	6.514434700023854e-11	91	57	12	0.21052631578947367	0.13186813186813187	KEGG:04657	KEGG	IL-17 signaling pathway	8161	329	NA	0.02586206896551724	0.03418803418803419	4	91	8070	12	45	79	8025	8161	0.15923770070865334	2	1	-	KEGG:04657	-	GO:0050896;GO:0050789;GO:0065009	467;5606;8870;10135;1647;1847;6446;2354;22822;4616;6303;5054;10397;10221;80149;2919;6648;133;5209;23645;1604;3491;9516;5743;3554;602;3727;1026;7538;6515;1390;3383;7071;8553;3576;694;10957;7050;7128;3949;678;51278;7832;9592;2353;2355;604;4929;5329;7422;5997;1848;4170;4783;1052;5292;1958;7130;9314;3726;9766;5366;1843;4792;1839;2114;84981;3569;2669;1316;23764;3725;5328;3553;64332;2920
8	M1	e019_M1	TRUE	5.972033164364258e-8	46	74	8	0.10810810810810811	0.17391304347826086	GO:0038066	GO:BP	p38MAPK cascade	16324	10232	NA	0.06896551724137931	0.07692307692307693	9	46	16278	8	66	38	16212	16324	0.13403683297504015	3	1	GO:0038066	-	-	GO:0050896;GO:0050789;GO:0065009	467;5606;8870;10135;1647;1847;6446;2354;22822;4616;6303;5054;10397;10221;80149;2919;6648;133;5209;23645;1604;3491;9516;5743;3554;602;3727;1026;7538;6515;1390;3383;7071;8553;3576;694;10957;7050;7128;3949;678;51278;7832;9592;2353;2355;604;4929;5329;7422;5997;1848;4170;4783;1052;5292;1958;7130;9314;3726;9766;5366;1843;4792;1839;2114;84981;3569;2669;1316;23764;3725;5328;3553;64332;2920
9	M1	e019_M1	TRUE	1.137318593599339e-12	395	74	20	0.2702702702702703	0.05063291139240506	GO:0022613	GO:BP	ribonucleoprotein complex biogenesis	16324	6982	NA	0	0.03571428571428571	1	395	15929	20	54	375	15875	16324	0.10806536304717936	1	1	GO:0022613	-	-	GO:0042254;GO:0006396	55651;3276;26155;7866;54998;2193;3692;57819;5425;10514;7284;6182;10105;10084;64223;22827;5496;8260;64118;11047;51073;23481;7064;10061;11331;23246;56915;10452;6183;23203;8192;191;2873;51042;3704;51690;55658;23640;54606;10280;25804;4809;5434;54555;54663;54512;10726;55621;10856;65993;5709;92856;9136;26517;2288;7407;617;5245;10572;6150;6723;10131;10469;10607;3265;9040;1978;8815;80308;353;26121;51116;10195;57418;23170;5499
