module	monet_type	experiment_info	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	rank	P	N	tp	fp	fn	tn	tot_pop_valid	mcc	row_rank_p	row_rank_mcc	top_go	top_kegg	top_reac	goslim_pir	genes
1	M1	e019_M1	TRUE	4.862466031122777e-41	63	86	26	0.3023255813953488	0.4126984126984127	GO:0097006	GO:BP	regulation of plasma lipoprotein particle levels	16324	19473	NA	0	0.00471698113207547	1	63	16261	26	60	37	16201	16324	0.3503167056598904	1	1	GO:0097006	-	-	GO:0032501;GO:0006807;GO:0050789;GO:0065003;GO:0044255;GO:0006793;GO:0006869	ENSP00000263816;ENSP00000315130;ENSP00000264039;ENSP00000284981;ENSP00000381282;ENSP00000261693;ENSP00000332353;ENSP00000454071;ENSP00000371532;ENSP00000303634;ENSP00000374135;ENSP00000392423;ENSP00000221466;ENSP00000236850;ENSP00000295897;ENSP00000356563;ENSP00000376458;ENSP00000252486;ENSP00000418663;ENSP00000233242;ENSP00000303208;ENSP00000348170;ENSP00000266991;ENSP00000237014;ENSP00000297261;ENSP00000295731;ENSP00000386357;ENSP00000375836;ENSP00000230036;ENSP00000200676;ENSP00000321334;ENSP00000317674;ENSP00000384906;ENSP00000222381;ENSP00000227667;ENSP00000309757;ENSP00000441828;ENSP00000365081;ENSP00000262101;ENSP00000445002;ENSP00000439012;ENSP00000278222;ENSP00000466775;ENSP00000381250;ENSP00000356969;ENSP00000480821;ENSP00000264005;ENSP00000457539;ENSP00000465356;ENSP00000387654;ENSP00000417138;ENSP00000468236;ENSP00000436126;ENSP00000274793;ENSP00000350425;ENSP00000316779;ENSP00000205948;ENSP00000296350;ENSP00000421922;ENSP00000298743;ENSP00000361266;ENSP00000352071;ENSP00000233575;ENSP00000225275;ENSP00000366267;ENSP00000421725;ENSP00000363868;ENSP00000429969;ENSP00000295834;ENSP00000373808;ENSP00000346537;ENSP00000460236;ENSP00000349298;ENSP00000355110;ENSP00000345179;ENSP00000363458;ENSP00000367064;ENSP00000360522;ENSP00000292377;ENSP00000366246;ENSP00000377836;ENSP00000359864;ENSP00000342850;ENSP00000399421;ENSP00000471277;ENSP00000420939;ENSP00000263094;ENSP00000299155;ENSP00000441726;ENSP00000470478;ENSP00000252490;ENSP00000257248;ENSP00000480053;ENSP00000267889;ENSP00000294484;ENSP00000284476;ENSP00000296575
1	M1	e019_M1	TRUE	9.298126206435895e-39	71	78	27	0.34615384615384615	0.38028169014084506	REAC:R-HSA-174824	REAC	Plasma lipoprotein assembly, remodeling, and clearance	10790	1666	NA	0.00473933649289099	0.00943396226415094	2	71	10719	27	51	44	10668	10790	0.35839436652249834	1	1	-	-	REAC:R-HSA-174824	GO:0032501;GO:0006807;GO:0050789;GO:0065003;GO:0044255;GO:0006793;GO:0006869	ENSP00000263816;ENSP00000315130;ENSP00000264039;ENSP00000284981;ENSP00000381282;ENSP00000261693;ENSP00000332353;ENSP00000454071;ENSP00000371532;ENSP00000303634;ENSP00000374135;ENSP00000392423;ENSP00000221466;ENSP00000236850;ENSP00000295897;ENSP00000356563;ENSP00000376458;ENSP00000252486;ENSP00000418663;ENSP00000233242;ENSP00000303208;ENSP00000348170;ENSP00000266991;ENSP00000237014;ENSP00000297261;ENSP00000295731;ENSP00000386357;ENSP00000375836;ENSP00000230036;ENSP00000200676;ENSP00000321334;ENSP00000317674;ENSP00000384906;ENSP00000222381;ENSP00000227667;ENSP00000309757;ENSP00000441828;ENSP00000365081;ENSP00000262101;ENSP00000445002;ENSP00000439012;ENSP00000278222;ENSP00000466775;ENSP00000381250;ENSP00000356969;ENSP00000480821;ENSP00000264005;ENSP00000457539;ENSP00000465356;ENSP00000387654;ENSP00000417138;ENSP00000468236;ENSP00000436126;ENSP00000274793;ENSP00000350425;ENSP00000316779;ENSP00000205948;ENSP00000296350;ENSP00000421922;ENSP00000298743;ENSP00000361266;ENSP00000352071;ENSP00000233575;ENSP00000225275;ENSP00000366267;ENSP00000421725;ENSP00000363868;ENSP00000429969;ENSP00000295834;ENSP00000373808;ENSP00000346537;ENSP00000460236;ENSP00000349298;ENSP00000355110;ENSP00000345179;ENSP00000363458;ENSP00000367064;ENSP00000360522;ENSP00000292377;ENSP00000366246;ENSP00000377836;ENSP00000359864;ENSP00000342850;ENSP00000399421;ENSP00000471277;ENSP00000420939;ENSP00000263094;ENSP00000299155;ENSP00000441726;ENSP00000470478;ENSP00000252490;ENSP00000257248;ENSP00000480053;ENSP00000267889;ENSP00000294484;ENSP00000284476;ENSP00000296575
1	M1	e019_M1	TRUE	6.360992528709139e-30	51	56	20	0.35714285714285715	0.392156862745098	KEGG:04979	KEGG	Cholesterol metabolism	8161	403	NA	0.01895734597156398	0.02358490566037736	5	51	8110	20	36	31	8074	8161	0.3701185415648447	1	1	-	KEGG:04979	-	GO:0032501;GO:0006807;GO:0050789;GO:0065003;GO:0044255;GO:0006793;GO:0006869	ENSP00000263816;ENSP00000315130;ENSP00000264039;ENSP00000284981;ENSP00000381282;ENSP00000261693;ENSP00000332353;ENSP00000454071;ENSP00000371532;ENSP00000303634;ENSP00000374135;ENSP00000392423;ENSP00000221466;ENSP00000236850;ENSP00000295897;ENSP00000356563;ENSP00000376458;ENSP00000252486;ENSP00000418663;ENSP00000233242;ENSP00000303208;ENSP00000348170;ENSP00000266991;ENSP00000237014;ENSP00000297261;ENSP00000295731;ENSP00000386357;ENSP00000375836;ENSP00000230036;ENSP00000200676;ENSP00000321334;ENSP00000317674;ENSP00000384906;ENSP00000222381;ENSP00000227667;ENSP00000309757;ENSP00000441828;ENSP00000365081;ENSP00000262101;ENSP00000445002;ENSP00000439012;ENSP00000278222;ENSP00000466775;ENSP00000381250;ENSP00000356969;ENSP00000480821;ENSP00000264005;ENSP00000457539;ENSP00000465356;ENSP00000387654;ENSP00000417138;ENSP00000468236;ENSP00000436126;ENSP00000274793;ENSP00000350425;ENSP00000316779;ENSP00000205948;ENSP00000296350;ENSP00000421922;ENSP00000298743;ENSP00000361266;ENSP00000352071;ENSP00000233575;ENSP00000225275;ENSP00000366267;ENSP00000421725;ENSP00000363868;ENSP00000429969;ENSP00000295834;ENSP00000373808;ENSP00000346537;ENSP00000460236;ENSP00000349298;ENSP00000355110;ENSP00000345179;ENSP00000363458;ENSP00000367064;ENSP00000360522;ENSP00000292377;ENSP00000366246;ENSP00000377836;ENSP00000359864;ENSP00000342850;ENSP00000399421;ENSP00000471277;ENSP00000420939;ENSP00000263094;ENSP00000299155;ENSP00000441726;ENSP00000470478;ENSP00000252490;ENSP00000257248;ENSP00000480053;ENSP00000267889;ENSP00000294484;ENSP00000284476;ENSP00000296575
2	M1	e019_M1	TRUE	1.2300364567236826e-203	87	92	86	0.9347826086956522	0.9885057471264368	REAC:R-HSA-5368286	REAC	Mitochondrial translation initiation	10790	1396	NA	0.08333333333333333	0.15384615384615383	2	87	10703	86	6	1	10697	10790	0.9609482827840626	2	1	-	-	REAC:R-HSA-5368286	GO:0006412	ENSP00000225969;ENSP00000259873;ENSP00000461930;ENSP00000419370;ENSP00000295491;ENSP00000369682;ENSP00000258105;ENSP00000357823;ENSP00000300151;ENSP00000301585;ENSP00000362036;ENSP00000306548;ENSP00000478035;ENSP00000177742;ENSP00000361206;ENSP00000342676;ENSP00000449884;ENSP00000308275;ENSP00000263629;ENSP00000245539;ENSP00000382250;ENSP00000272418;ENSP00000380466;ENSP00000373404;ENSP00000296102;ENSP00000333837;ENSP00000223324;ENSP00000276585;ENSP00000362208;ENSP00000253099;ENSP00000360498;ENSP00000361923;ENSP00000053468;ENSP00000258455;ENSP00000417602;ENSP00000341082;ENSP00000377486;ENSP00000256441;ENSP00000376732;ENSP00000256404;ENSP00000081029;ENSP00000323065;ENSP00000229238;ENSP00000310726;ENSP00000431040;ENSP00000317376;ENSP00000285298;ENSP00000216254;ENSP00000403614;ENSP00000288937;ENSP00000339844;ENSP00000352706;ENSP00000258383;ENSP00000253686;ENSP00000418008;ENSP00000264995;ENSP00000419038;ENSP00000446252;ENSP00000333401;ENSP00000343867;ENSP00000384952;ENSP00000354580;ENSP00000308717;ENSP00000331849;ENSP00000290208;ENSP00000363999;ENSP00000315397;ENSP00000354525;ENSP00000320184;ENSP00000356001;ENSP00000315017;ENSP00000279242;ENSP00000424328;ENSP00000484903;ENSP00000347277;ENSP00000261313;ENSP00000357320;ENSP00000426941;ENSP00000252602;ENSP00000318158;ENSP00000483491;ENSP00000354086;ENSP00000370508;ENSP00000199706;ENSP00000338057;ENSP00000360850;ENSP00000254928;ENSP00000254630;ENSP00000361084;ENSP00000308897;ENSP00000338389;ENSP00000420714;ENSP00000390331;ENSP00000423399;ENSP00000305682;ENSP00000260102;ENSP00000312311
3	M1	e019_M1	TRUE	5.470994104551574e-38	32	52	20	0.38461538461538464	0.625	REAC:R-HSA-418990	REAC	Adherens junctions interactions	10790	117	NA	0.01204819277108433	0.0238095238095238	2	32	10758	20	32	12	10726	10790	0.48841113335938496	1	1	-	-	REAC:R-HSA-418990	GO:0022607;GO:0050877;GO:0051606;GO:0007155	ENSP00000005226;ENSP00000261769;ENSP00000373487;ENSP00000257192;ENSP00000305941;ENSP00000363068;ENSP00000386331;ENSP00000415090;ENSP00000424565;ENSP00000299441;ENSP00000384582;ENSP00000410083;ENSP00000381768;ENSP00000308772;ENSP00000485514;ENSP00000205890;ENSP00000351118;ENSP00000377862;ENSP00000426632;ENSP00000480489;ENSP00000480279;ENSP00000354623;ENSP00000362186;ENSP00000325954;ENSP00000264012;ENSP00000027335;ENSP00000371897;ENSP00000369129;ENSP00000384638;ENSP00000367433;ENSP00000484928;ENSP00000314153;ENSP00000269141;ENSP00000070846;ENSP00000262717;ENSP00000377508;ENSP00000371689;ENSP00000442954;ENSP00000462701;ENSP00000231021;ENSP00000380517;ENSP00000304669;ENSP00000382004;ENSP00000381058;ENSP00000246080;ENSP00000349477;ENSP00000331678;ENSP00000425093;ENSP00000437790;ENSP00000344115;ENSP00000378400;ENSP00000268613;ENSP00000374409;ENSP00000265071;ENSP00000262150;ENSP00000261590;ENSP00000389714;ENSP00000263207;ENSP00000289746;ENSP00000264463;ENSP00000307134;ENSP00000339390;ENSP00000268603;ENSP00000280904;ENSP00000352785;ENSP00000353608;ENSP00000397157;ENSP00000257198;ENSP00000357789;ENSP00000257189;ENSP00000439182;ENSP00000406229;ENSP00000432586;ENSP00000281092;ENSP00000263946;ENSP00000403067;ENSP00000267984;ENSP00000258930;ENSP00000269878;ENSP00000367096;ENSP00000267859;ENSP00000324775;ENSP00000410216;ENSP00000365198;ENSP00000262366;ENSP00000297784;ENSP00000299752;ENSP00000264360;ENSP00000367177;ENSP00000362125;ENSP00000287585;ENSP00000393128;ENSP00000353346;ENSP00000329158;ENSP00000351732;ENSP00000400223
3	M1	e019_M1	TRUE	5.5910164581568635e-31	38	88	19	0.2159090909090909	0.5	GO:0016339	GO:BP	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	16324	5340	NA	0.03614457831325301	0.04761904761904761	4	38	16286	19	69	19	16217	16324	0.3262815154415846	3	1	GO:0016339	-	-	GO:0022607;GO:0050877;GO:0051606;GO:0007155	ENSP00000005226;ENSP00000261769;ENSP00000373487;ENSP00000257192;ENSP00000305941;ENSP00000363068;ENSP00000386331;ENSP00000415090;ENSP00000424565;ENSP00000299441;ENSP00000384582;ENSP00000410083;ENSP00000381768;ENSP00000308772;ENSP00000485514;ENSP00000205890;ENSP00000351118;ENSP00000377862;ENSP00000426632;ENSP00000480489;ENSP00000480279;ENSP00000354623;ENSP00000362186;ENSP00000325954;ENSP00000264012;ENSP00000027335;ENSP00000371897;ENSP00000369129;ENSP00000384638;ENSP00000367433;ENSP00000484928;ENSP00000314153;ENSP00000269141;ENSP00000070846;ENSP00000262717;ENSP00000377508;ENSP00000371689;ENSP00000442954;ENSP00000462701;ENSP00000231021;ENSP00000380517;ENSP00000304669;ENSP00000382004;ENSP00000381058;ENSP00000246080;ENSP00000349477;ENSP00000331678;ENSP00000425093;ENSP00000437790;ENSP00000344115;ENSP00000378400;ENSP00000268613;ENSP00000374409;ENSP00000265071;ENSP00000262150;ENSP00000261590;ENSP00000389714;ENSP00000263207;ENSP00000289746;ENSP00000264463;ENSP00000307134;ENSP00000339390;ENSP00000268603;ENSP00000280904;ENSP00000352785;ENSP00000353608;ENSP00000397157;ENSP00000257198;ENSP00000357789;ENSP00000257189;ENSP00000439182;ENSP00000406229;ENSP00000432586;ENSP00000281092;ENSP00000263946;ENSP00000403067;ENSP00000267984;ENSP00000258930;ENSP00000269878;ENSP00000367096;ENSP00000267859;ENSP00000324775;ENSP00000410216;ENSP00000365198;ENSP00000262366;ENSP00000297784;ENSP00000299752;ENSP00000264360;ENSP00000367177;ENSP00000362125;ENSP00000287585;ENSP00000393128;ENSP00000353346;ENSP00000329158;ENSP00000351732;ENSP00000400223
3	M1	e019_M1	TRUE	9.215445978605929e-11	77	27	9	0.3333333333333333	0.11688311688311688	KEGG:05412	KEGG	Arrhythmogenic right ventricular cardiomyopathy	8161	483	NA	0.21686746987951808	0.2261904761904762	19	77	8084	9	18	68	8066	8161	0.1930292910567623	1	1	-	KEGG:05412	-	GO:0022607;GO:0050877;GO:0051606;GO:0007155	ENSP00000005226;ENSP00000261769;ENSP00000373487;ENSP00000257192;ENSP00000305941;ENSP00000363068;ENSP00000386331;ENSP00000415090;ENSP00000424565;ENSP00000299441;ENSP00000384582;ENSP00000410083;ENSP00000381768;ENSP00000308772;ENSP00000485514;ENSP00000205890;ENSP00000351118;ENSP00000377862;ENSP00000426632;ENSP00000480489;ENSP00000480279;ENSP00000354623;ENSP00000362186;ENSP00000325954;ENSP00000264012;ENSP00000027335;ENSP00000371897;ENSP00000369129;ENSP00000384638;ENSP00000367433;ENSP00000484928;ENSP00000314153;ENSP00000269141;ENSP00000070846;ENSP00000262717;ENSP00000377508;ENSP00000371689;ENSP00000442954;ENSP00000462701;ENSP00000231021;ENSP00000380517;ENSP00000304669;ENSP00000382004;ENSP00000381058;ENSP00000246080;ENSP00000349477;ENSP00000331678;ENSP00000425093;ENSP00000437790;ENSP00000344115;ENSP00000378400;ENSP00000268613;ENSP00000374409;ENSP00000265071;ENSP00000262150;ENSP00000261590;ENSP00000389714;ENSP00000263207;ENSP00000289746;ENSP00000264463;ENSP00000307134;ENSP00000339390;ENSP00000268603;ENSP00000280904;ENSP00000352785;ENSP00000353608;ENSP00000397157;ENSP00000257198;ENSP00000357789;ENSP00000257189;ENSP00000439182;ENSP00000406229;ENSP00000432586;ENSP00000281092;ENSP00000263946;ENSP00000403067;ENSP00000267984;ENSP00000258930;ENSP00000269878;ENSP00000367096;ENSP00000267859;ENSP00000324775;ENSP00000410216;ENSP00000365198;ENSP00000262366;ENSP00000297784;ENSP00000299752;ENSP00000264360;ENSP00000367177;ENSP00000362125;ENSP00000287585;ENSP00000393128;ENSP00000353346;ENSP00000329158;ENSP00000351732;ENSP00000400223
4	M1	e019_M1	TRUE	3.588202123321884e-38	250	86	35	0.4069767441860465	0.14	GO:0007389	GO:BP	pattern specification process	16324	2960	NA	0	0.0196078431372549	1	250	16074	35	51	215	16023	16324	0.23210732712779025	1	2	GO:0007389	-	-	GO:0032501;GO:0032502	ENSP00000321239;ENSP00000006015;ENSP00000251203;ENSP00000362588;ENSP00000272369;ENSP00000364190;ENSP00000405890;ENSP00000240328;ENSP00000257566;ENSP00000040584;ENSP00000234198;ENSP00000222598;ENSP00000372170;ENSP00000343246;ENSP00000370253;ENSP00000370256;ENSP00000364524;ENSP00000243103;ENSP00000343619;ENSP00000371875;ENSP00000327758;ENSP00000342828;ENSP00000320089;ENSP00000376322;ENSP00000309439;ENSP00000239151;ENSP00000328928;ENSP00000222718;ENSP00000239165;ENSP00000386498;ENSP00000283921;ENSP00000331741;ENSP00000309913;ENSP00000371846;ENSP00000453307;ENSP00000298282;ENSP00000360552;ENSP00000420009;ENSP00000326604;ENSP00000399808;ENSP00000295206;ENSP00000297375;ENSP00000428480;ENSP00000297537;ENSP00000239243;ENSP00000249501;ENSP00000222726;ENSP00000353151;ENSP00000302836;ENSP00000453793;ENSP00000352565;ENSP00000222728;ENSP00000249499;ENSP00000243108;ENSP00000476742;ENSP00000309336;ENSP00000242159;ENSP00000302548;ENSP00000258829;ENSP00000222753;ENSP00000484411;ENSP00000243056;ENSP00000370421;ENSP00000328598;ENSP00000307321;ENSP00000347684;ENSP00000231121;ENSP00000340660;ENSP00000355245;ENSP00000239144;ENSP00000331791;ENSP00000363254;ENSP00000354478;ENSP00000240306;ENSP00000389870;ENSP00000240335;ENSP00000446680;ENSP00000358677;ENSP00000315949;ENSP00000249504;ENSP00000290295;ENSP00000417207;ENSP00000482393;ENSP00000385586;ENSP00000421799;ENSP00000302251;ENSP00000345147;ENSP00000372056;ENSP00000304331;ENSP00000252971;ENSP00000319118;ENSP00000443292;ENSP00000369251;ENSP00000324701;ENSP00000273153
4	M1	e019_M1	TRUE	7.647483952316522e-17	120	20	12	0.6	0.1	REAC:R-HSA-5619507	REAC	Activation of HOX genes during differentiation	10790	80	NA	0.22	0.2549019607843137	12.5	120	10670	12	8	108	10662	10790	0.24198114308261431	1	1	-	-	REAC:R-HSA-5619507	GO:0032501;GO:0032502	ENSP00000321239;ENSP00000006015;ENSP00000251203;ENSP00000362588;ENSP00000272369;ENSP00000364190;ENSP00000405890;ENSP00000240328;ENSP00000257566;ENSP00000040584;ENSP00000234198;ENSP00000222598;ENSP00000372170;ENSP00000343246;ENSP00000370253;ENSP00000370256;ENSP00000364524;ENSP00000243103;ENSP00000343619;ENSP00000371875;ENSP00000327758;ENSP00000342828;ENSP00000320089;ENSP00000376322;ENSP00000309439;ENSP00000239151;ENSP00000328928;ENSP00000222718;ENSP00000239165;ENSP00000386498;ENSP00000283921;ENSP00000331741;ENSP00000309913;ENSP00000371846;ENSP00000453307;ENSP00000298282;ENSP00000360552;ENSP00000420009;ENSP00000326604;ENSP00000399808;ENSP00000295206;ENSP00000297375;ENSP00000428480;ENSP00000297537;ENSP00000239243;ENSP00000249501;ENSP00000222726;ENSP00000353151;ENSP00000302836;ENSP00000453793;ENSP00000352565;ENSP00000222728;ENSP00000249499;ENSP00000243108;ENSP00000476742;ENSP00000309336;ENSP00000242159;ENSP00000302548;ENSP00000258829;ENSP00000222753;ENSP00000484411;ENSP00000243056;ENSP00000370421;ENSP00000328598;ENSP00000307321;ENSP00000347684;ENSP00000231121;ENSP00000340660;ENSP00000355245;ENSP00000239144;ENSP00000331791;ENSP00000363254;ENSP00000354478;ENSP00000240306;ENSP00000389870;ENSP00000240335;ENSP00000446680;ENSP00000358677;ENSP00000315949;ENSP00000249504;ENSP00000290295;ENSP00000417207;ENSP00000482393;ENSP00000385586;ENSP00000421799;ENSP00000302251;ENSP00000345147;ENSP00000372056;ENSP00000304331;ENSP00000252971;ENSP00000319118;ENSP00000443292;ENSP00000369251;ENSP00000324701;ENSP00000273153
5	M1	e019_M1	TRUE	2.2987063267622118e-120	166	75	71	0.9466666666666668	0.427710843373494	KEGG:04630	KEGG	JAK-STAT signaling pathway	8161	326	NA	0	0.00321543408360128	1	166	7995	71	4	95	7991	8161	0.6319863923034144	1	1	-	KEGG:04630	-	GO:0050789;GO:0001775;GO:0044419;GO:0032502;GO:0008283;GO:0006793;GO:0036211;GO:0002376;GO:0050896	ENSP00000343204;ENSP00000354394;ENSP00000262345;ENSP00000369554;ENSP00000327824;ENSP00000343957;ENSP00000303231;ENSP00000338010;ENSP00000314976;ENSP00000229135;ENSP00000385675;ENSP00000260665;ENSP00000470788;ENSP00000300134;ENSP00000357470;ENSP00000412237;ENSP00000249075;ENSP00000356713;ENSP00000431885;ENSP00000296161;ENSP00000264563;ENSP00000311857;ENSP00000215794;ENSP00000215781;ENSP00000415900;ENSP00000279804;ENSP00000274276;ENSP00000263409;ENSP00000370698;ENSP00000276927;ENSP00000270139;ENSP00000315768;ENSP00000375795;ENSP00000369581;ENSP00000396068;ENSP00000450565;ENSP00000221847;ENSP00000368265;ENSP00000263379;ENSP00000376134;ENSP00000349365;ENSP00000264497;ENSP00000304915;ENSP00000329991;ENSP00000380073;ENSP00000290200;ENSP00000231228;ENSP00000227752;ENSP00000442424;ENSP00000409000;ENSP00000270800;ENSP00000376188;ENSP00000274520;ENSP00000228534;ENSP00000321345;ENSP00000418194;ENSP00000353512;ENSP00000229134;ENSP00000290219;ENSP00000245222;ENSP00000360730;ENSP00000328133;ENSP00000239347;ENSP00000244174;ENSP00000369574;ENSP00000355370;ENSP00000309338;ENSP00000411940;ENSP00000356065;ENSP00000343000;ENSP00000296980;ENSP00000369571;ENSP00000369564;ENSP00000369578;ENSP00000412897;ENSP00000369553;ENSP00000369558;ENSP00000369566;ENSP00000366234;ENSP00000480467;ENSP00000379458;ENSP00000388223;ENSP00000333639;ENSP00000484479
