module	monet_type	experiment_info	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	rank	P	N	tp	fp	fn	tn	tot_pop_valid	mcc	row_rank_p	row_rank_mcc	top_go	top_kegg	top_reac	goslim_pir	genes
1	R1	e019_R1	TRUE	9.33528436815188e-5	12	13	3	0.2307692307692308	0.25	REAC:R-HSA-1663150	REAC	The activation of arylsulfatases	10790	2363	NA	0	0.3333333333333333	1	12	10778	3	10	9	10768	10790	0.23931191613213965	1	1	-	-	REAC:R-HSA-1663150	NA	ENSG00000129103;ENSG00000106392;ENSG00000185615;ENSG00000079150;ENSG00000120942;ENSG00000167123;ENSG00000079459;ENSG00000171861;ENSG00000117862;ENSG00000065057;ENSG00000149380;ENSG00000023318;ENSG00000131730;ENSG00000162433;ENSG00000001630;ENSG00000141337;ENSG00000144455
2	R1	e019_R1	TRUE	6.934826048264457e-9	11	25	5	0.2	0.4545454545454546	REAC:R-HSA-2206281	REAC	Mucopolysaccharidoses	10790	1412	NA	0.05	0.09523809523809525	2	11	10779	5	20	6	10759	10790	0.3004757674943374	1	1	-	-	REAC:R-HSA-2206281	GO:0008152	ENSG00000144935;ENSG00000143387;ENSG00000107779;ENSG00000135047;ENSG00000100299;ENSG00000112149;ENSG00000010404;ENSG00000103811;ENSG00000138741;ENSG00000116031;ENSG00000170373;ENSG00000175938;ENSG00000110013;ENSG00000157869;ENSG00000136943;ENSG00000198742;ENSG00000133107;ENSG00000101441;ENSG00000109861;ENSG00000072315;ENSG00000169919;ENSG00000221983;ENSG00000204217;ENSG00000141012;ENSG00000108784;ENSG00000138744;ENSG00000181523;ENSG00000137976;ENSG00000109323;ENSG00000276045;ENSG00000168878;ENSG00000174136
2	R1	e019_R1	TRUE	1.5610791454766362e-7	19	26	5	0.19230769230769232	0.2631578947368421	KEGG:00531	KEGG	Glycosaminoglycan degradation	8161	75	NA	0.15	0.1904761904761905	4	19	8142	5	21	14	8121	8161	0.22285160679465063	2	1	-	KEGG:00531	-	GO:0008152	ENSG00000144935;ENSG00000143387;ENSG00000107779;ENSG00000135047;ENSG00000100299;ENSG00000112149;ENSG00000010404;ENSG00000103811;ENSG00000138741;ENSG00000116031;ENSG00000170373;ENSG00000175938;ENSG00000110013;ENSG00000157869;ENSG00000136943;ENSG00000198742;ENSG00000133107;ENSG00000101441;ENSG00000109861;ENSG00000072315;ENSG00000169919;ENSG00000221983;ENSG00000204217;ENSG00000141012;ENSG00000108784;ENSG00000138744;ENSG00000181523;ENSG00000137976;ENSG00000109323;ENSG00000276045;ENSG00000168878;ENSG00000174136
3	R1	e019_R1	TRUE	3.4458638120663977e-7	9	20	4	0.2	0.4444444444444444	REAC:R-HSA-391908	REAC	Prostanoid ligand receptors	10790	1720	NA	0	0.16666666666666666	1	9	10781	4	16	5	10765	10790	0.2972985451317327	1	1	-	-	REAC:R-HSA-391908	GO:0050789	ENSG00000058668;ENSG00000136802;ENSG00000107317;ENSG00000125398;ENSG00000121989;ENSG00000037280;ENSG00000144891;ENSG00000167601;ENSG00000092445;ENSG00000101558;ENSG00000050628;ENSG00000122420;ENSG00000214160;ENSG00000147804;ENSG00000075673;ENSG00000167889;ENSG00000125384;ENSG00000042445;ENSG00000160951;ENSG00000076351;ENSG00000182621;ENSG00000150630
4	R1	e019_R1	TRUE	3.179122905075278e-13	35	21	8	0.380952380952381	0.22857142857142856	REAC:R-HSA-1296065	REAC	Inwardly rectifying K+ channels	10790	1211	NA	0	0.02040816326530612	1	35	10755	8	13	27	10742	10790	0.2933331119213059	1	2	-	-	REAC:R-HSA-1296065	GO:0006936;GO:0006811	ENSG00000069431;ENSG00000149311;ENSG00000008196;ENSG00000087510;ENSG00000153822;ENSG00000115641;ENSG00000137203;ENSG00000215375;ENSG00000159176;ENSG00000133026;ENSG00000111245;ENSG00000121361;ENSG00000123700;ENSG00000068796;ENSG00000134318;ENSG00000084112;ENSG00000103671;ENSG00000092054;ENSG00000160808;ENSG00000103460;ENSG00000177807;ENSG00000006071;ENSG00000124275;ENSG00000187486;ENSG00000157551
4	R1	e019_R1	TRUE	3.864164320364644e-12	47	25	8	0.32	0.1702127659574468	GO:1990573	GO:BP	potassium ion import across plasma membrane	16324	26463	NA	0.02083333333333333	0.04081632653061224	2	47	16277	8	17	39	16260	16324	0.2317953574358597	1	1	GO:1990573	-	-	GO:0006936;GO:0006811	ENSG00000069431;ENSG00000149311;ENSG00000008196;ENSG00000087510;ENSG00000153822;ENSG00000115641;ENSG00000137203;ENSG00000215375;ENSG00000159176;ENSG00000133026;ENSG00000111245;ENSG00000121361;ENSG00000123700;ENSG00000068796;ENSG00000134318;ENSG00000084112;ENSG00000103671;ENSG00000092054;ENSG00000160808;ENSG00000103460;ENSG00000177807;ENSG00000006071;ENSG00000124275;ENSG00000187486;ENSG00000157551
5	R1	e019_R1	TRUE	4.102500520200147e-24	18	24	11	0.4583333333333333	0.6111111111111112	REAC:R-HSA-163210	REAC	Formation of ATP by chemiosmotic coupling	10790	898	NA	0	0.02040816326530612	1	18	10772	11	13	7	10759	10790	0.5283397621500766	1	1	-	-	REAC:R-HSA-163210	GO:0006119;GO:0009117	ENSG00000084754;ENSG00000105971;ENSG00000116459;ENSG00000128596;ENSG00000099624;ENSG00000167283;ENSG00000115353;ENSG00000167863;ENSG00000165629;ENSG00000100335;ENSG00000124172;ENSG00000081791;ENSG00000110955;ENSG00000169020;ENSG00000110536;ENSG00000241837;ENSG00000154723;ENSG00000241468;ENSG00000178537;ENSG00000123130;ENSG00000157184;ENSG00000008311;ENSG00000155008;ENSG00000101247;ENSG00000143653;ENSG00000131459;ENSG00000169313;ENSG00000224877
5	R1	e019_R1	TRUE	1.2171573286096923e-17	232	21	15	0.7142857142857143	0.06465517241379311	KEGG:04714	KEGG	Thermogenesis	8161	343	NA	0.04166666666666666	0.06122448979591836	3	232	7929	15	6	217	7923	8161	0.2096146921697204	1	1	-	KEGG:04714	-	GO:0006119;GO:0009117	ENSG00000084754;ENSG00000105971;ENSG00000116459;ENSG00000128596;ENSG00000099624;ENSG00000167283;ENSG00000115353;ENSG00000167863;ENSG00000165629;ENSG00000100335;ENSG00000124172;ENSG00000081791;ENSG00000110955;ENSG00000169020;ENSG00000110536;ENSG00000241837;ENSG00000154723;ENSG00000241468;ENSG00000178537;ENSG00000123130;ENSG00000157184;ENSG00000008311;ENSG00000155008;ENSG00000101247;ENSG00000143653;ENSG00000131459;ENSG00000169313;ENSG00000224877
5	R1	e019_R1	TRUE	6.889595048507297e-17	66	28	11	0.3928571428571429	0.16666666666666666	GO:0042776	GO:BP	proton motive force-driven mitochondrial ATP synthesis	16324	10938	NA	0.08333333333333333	0.1020408163265306	5	66	16258	11	17	55	16241	16324	0.25398114608620037	1	1	GO:0042776	-	-	GO:0006119;GO:0009117	ENSG00000084754;ENSG00000105971;ENSG00000116459;ENSG00000128596;ENSG00000099624;ENSG00000167283;ENSG00000115353;ENSG00000167863;ENSG00000165629;ENSG00000100335;ENSG00000124172;ENSG00000081791;ENSG00000110955;ENSG00000169020;ENSG00000110536;ENSG00000241837;ENSG00000154723;ENSG00000241468;ENSG00000178537;ENSG00000123130;ENSG00000157184;ENSG00000008311;ENSG00000155008;ENSG00000101247;ENSG00000143653;ENSG00000131459;ENSG00000169313;ENSG00000224877
6	R1	e019_R1	TRUE	5.270802926965621e-25	43	19	13	0.6842105263157895	0.3023255813953488	KEGG:03022	KEGG	Basal transcription factors	8161	213	NA	0	0.01724137931034482	1	43	8118	13	6	30	8112	8161	0.4530313689598902	1	1	-	KEGG:03022	-	GO:0009059;GO:0006281;GO:0016070	ENSG00000153767;ENSG00000125651;ENSG00000002016;ENSG00000134058;ENSG00000078725;ENSG00000110768;ENSG00000134480;ENSG00000104884;ENSG00000137947;ENSG00000134899;ENSG00000049167;ENSG00000163161;ENSG00000108010;ENSG00000188342;ENSG00000155229;ENSG00000020426;ENSG00000144021;ENSG00000168386;ENSG00000154767;ENSG00000090615;ENSG00000171681;ENSG00000090889;ENSG00000111358;ENSG00000272047;ENSG00000225830;ENSG00000197265;ENSG00000174177
