module	monet_type	experiment_info	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	rank	P	N	tp	fp	fn	tn	tot_pop_valid	mcc	row_rank_p	row_rank_mcc	top_go	top_kegg	top_reac	goslim_pir	genes
1	R1	e019_R1	TRUE	1.2763498556642266e-20	90	25	13	0.52	0.14444444444444443	GO:0042147	GO:BP	retrograde transport, endosome to Golgi	16324	10562	NA	0.04	0.07692307692307693	2	90	16234	13	12	77	16222	16324	0.2721173238709147	2	1	GO:0042147	-	-	GO:0051641;GO:0016192	ENSP00000000412;ENSP00000221957;ENSP00000230085;ENSP00000236671;ENSP00000260818;ENSP00000261889;ENSP00000281187;ENSP00000299138;ENSP00000310620;ENSP00000311399;ENSP00000311962;ENSP00000341344;ENSP00000349437;ENSP00000355217;ENSP00000357836;ENSP00000359540;ENSP00000362480;ENSP00000366998;ENSP00000368831;ENSP00000402935;ENSP00000438040;ENSP00000438085;ENSP00000445408;ENSP00000480853;ENSP00000481314
1	R1	e019_R1	TRUE	6.7508696197216055e-15	250	18	13	0.7222222222222222	0.052	KEGG:04144	KEGG	Endocytosis	8161	275	NA	0.12	0.15384615384615383	4	250	7911	13	5	237	7906	8161	0.18869031891924248	1	1	-	KEGG:04144	-	GO:0051641;GO:0016192	ENSP00000000412;ENSP00000221957;ENSP00000230085;ENSP00000236671;ENSP00000260818;ENSP00000261889;ENSP00000281187;ENSP00000299138;ENSP00000310620;ENSP00000311399;ENSP00000311962;ENSP00000341344;ENSP00000349437;ENSP00000355217;ENSP00000357836;ENSP00000359540;ENSP00000362480;ENSP00000366998;ENSP00000368831;ENSP00000402935;ENSP00000438040;ENSP00000438085;ENSP00000445408;ENSP00000480853;ENSP00000481314
2	R1	e019_R1	TRUE	4.490486697529842e-6	57	16	5	0.3125	0.08771929824561403	REAC:R-HSA-3371497	REAC	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	10790	1053	NA	0	0.05	1	57	10733	5	11	52	10722	10790	0.1633204882280268	1	1	-	-	REAC:R-HSA-3371497	GO:0051641;GO:0009057;GO:0016070;GO:0015931;GO:0050789	ENSP00000001008;ENSP00000225577;ENSP00000231509;ENSP00000262719;ENSP00000263073;ENSP00000297494;ENSP00000321320;ENSP00000350815;ENSP00000355261;ENSP00000360329;ENSP00000362674;ENSP00000394051;ENSP00000397927;ENSP00000425133;ENSP00000444810;ENSP00000470034;ENSP00000470142;ENSP00000482075
2	R1	e019_R1	TRUE	1.0673402549803523e-5	65	18	5	0.2777777777777778	0.07692307692307693	GO:0006406	GO:BP	mRNA export from nucleus	16324	2217	NA	0.05263157894736842	0.1	2	65	16259	5	13	60	16246	16324	0.14444831596626037	1	2	GO:0006406	-	-	GO:0051641;GO:0009057;GO:0016070;GO:0015931;GO:0050789	ENSP00000001008;ENSP00000225577;ENSP00000231509;ENSP00000262719;ENSP00000263073;ENSP00000297494;ENSP00000321320;ENSP00000350815;ENSP00000355261;ENSP00000360329;ENSP00000362674;ENSP00000394051;ENSP00000397927;ENSP00000425133;ENSP00000444810;ENSP00000470034;ENSP00000470142;ENSP00000482075
3	R1	e019_R1	TRUE	1.1650114865691452e-17	122	29	13	0.4482758620689655	0.10655737704918032	GO:0001936	GO:BP	regulation of endothelial cell proliferation	16324	565	NA	0	0.0099009900990099	1	122	16202	13	16	109	16186	16324	0.21591257175602369	1	3	GO:0001936	-	-	GO:0032502;GO:0050789;GO:0040011;GO:0008283	ENSP00000002829;ENSP00000053867;ENSP00000216286;ENSP00000261937;ENSP00000263923;ENSP00000264036;ENSP00000264554;ENSP00000269886;ENSP00000282397;ENSP00000297904;ENSP00000311127;ENSP00000314897;ENSP00000320092;ENSP00000349022;ENSP00000352208;ENSP00000353582;ENSP00000358045;ENSP00000358696;ENSP00000361554;ENSP00000363827;ENSP00000366936;ENSP00000369375;ENSP00000369981;ENSP00000371347;ENSP00000371936;ENSP00000373905;ENSP00000442736;ENSP00000451040;ENSP00000478570;ENSP00000480043
3	R1	e019_R1	TRUE	5.026641323110003e-16	8	26	7	0.2692307692307692	0.875	REAC:R-HSA-194313	REAC	VEGF ligand-receptor interactions	10790	2495	NA	0.05	0.06930693069306931	6.5	8	10782	7	19	1	10763	10790	0.48479001624698465	1	1	-	-	REAC:R-HSA-194313	GO:0032502;GO:0050789;GO:0040011;GO:0008283	ENSP00000002829;ENSP00000053867;ENSP00000216286;ENSP00000261937;ENSP00000263923;ENSP00000264036;ENSP00000264554;ENSP00000269886;ENSP00000282397;ENSP00000297904;ENSP00000311127;ENSP00000314897;ENSP00000320092;ENSP00000349022;ENSP00000352208;ENSP00000353582;ENSP00000358045;ENSP00000358696;ENSP00000361554;ENSP00000363827;ENSP00000366936;ENSP00000369375;ENSP00000369981;ENSP00000371347;ENSP00000371936;ENSP00000373905;ENSP00000442736;ENSP00000451040;ENSP00000478570;ENSP00000480043
3	R1	e019_R1	TRUE	1.4941371835602662e-10	234	21	11	0.5238095238095238	0.04700854700854701	KEGG:04014	KEGG	Ras signaling pathway	8161	242	NA	0.25	0.25742574257425743	26	234	7927	11	10	223	7917	8161	0.15069660426672707	1	1	-	KEGG:04014	-	GO:0032502;GO:0050789;GO:0040011;GO:0008283	ENSP00000002829;ENSP00000053867;ENSP00000216286;ENSP00000261937;ENSP00000263923;ENSP00000264036;ENSP00000264554;ENSP00000269886;ENSP00000282397;ENSP00000297904;ENSP00000311127;ENSP00000314897;ENSP00000320092;ENSP00000349022;ENSP00000352208;ENSP00000353582;ENSP00000358045;ENSP00000358696;ENSP00000361554;ENSP00000363827;ENSP00000366936;ENSP00000369375;ENSP00000369981;ENSP00000371347;ENSP00000371936;ENSP00000373905;ENSP00000442736;ENSP00000451040;ENSP00000478570;ENSP00000480043
4	R1	e019_R1	TRUE	9.333388865927246e-7	77	22	6	0.2727272727272727	0.07792207792207792	GO:0051453	GO:BP	regulation of intracellular pH	16324	14493	NA	0	0.02222222222222222	1	77	16247	6	16	71	16231	16324	0.14369345942049083	1	3	GO:0051453	-	-	GO:0050789;GO:0050896;GO:0065009	ENSP00000003084;ENSP00000261693;ENSP00000262613;ENSP00000263980;ENSP00000264938;ENSP00000289361;ENSP00000300113;ENSP00000301607;ENSP00000335632;ENSP00000340510;ENSP00000345873;ENSP00000348751;ENSP00000353408;ENSP00000356042;ENSP00000357484;ENSP00000364235;ENSP00000365198;ENSP00000366797;ENSP00000367817;ENSP00000378920;ENSP00000384136;ENSP00000384996;ENSP00000394485;ENSP00000408005
5	R1	e019_R1	TRUE	2.190377735181657e-12	12	20	6	0.3	0.5	GO:1905907	GO:BP	negative regulation of amyloid fibril formation	16324	26232	NA	0	0.07692307692307693	1	12	16312	6	14	6	16298	16324	0.3867283707797637	1	1	GO:1905907	-	-	GO:0050789;GO:0019538;GO:0016043	ENSP00000003302;ENSP00000244573;ENSP00000261813;ENSP00000264709;ENSP00000271715;ENSP00000286428;ENSP00000295746;ENSP00000325618;ENSP00000330074;ENSP00000350869;ENSP00000351490;ENSP00000355245;ENSP00000356234;ENSP00000356989;ENSP00000359357;ENSP00000360473;ENSP00000364885;ENSP00000370109;ENSP00000372170;ENSP00000378563;ENSP00000383986;ENSP00000447942;ENSP00000479618
5	R1	e019_R1	TRUE	4.2327357108113887e-10	28	16	6	0.375	0.21428571428571427	REAC:R-HSA-389957	REAC	Prefoldin mediated transfer of substrate  to CCT/TriC	10790	1698	NA	0.16666666666666666	0.2307692307692308	3	28	10762	6	10	22	10752	10790	0.2820869204012556	1	1	-	-	REAC:R-HSA-389957	GO:0050789;GO:0019538;GO:0016043	ENSP00000003302;ENSP00000244573;ENSP00000261813;ENSP00000264709;ENSP00000271715;ENSP00000286428;ENSP00000295746;ENSP00000325618;ENSP00000330074;ENSP00000350869;ENSP00000351490;ENSP00000355245;ENSP00000356234;ENSP00000356989;ENSP00000359357;ENSP00000360473;ENSP00000364885;ENSP00000370109;ENSP00000372170;ENSP00000378563;ENSP00000383986;ENSP00000447942;ENSP00000479618
