module	monet_type	experiment_info	function_summary	term_id_GO_BP	term_id_KEGG	term_id_REAC	goslim_pir	genes
4	R1	e019_R1	positive regulation of nucleotide biosynthetic process	GO:0030810	NA	NA	GO:0050789	3;323;711;872;880;934;935;936;1148;1149;1721;1915;2024;2162;2163;2457;2462;2474;2978;3565
15	R1	e019_R1	regulation of actin binding	GO:1904616	NA	NA	GO:0065009	25;352;809;810;1091;1211;1286;1400;1731;2299;2434;2785;2826;3067;6874
19	R1	e019_R1	positive regulation of mast cell chemotaxis	GO:0060754	NA	NA	GO:0050789	29;137;163;414;564;1072;1114;1503;2574;3730;4495;4947;4952;5228;5856;6453;7423
20	R1	e019_R1	modulation of excitatory postsynaptic potential	GO:0098815	NA	NA	GO:0050789;GO:0065008	30;397;565;1558;1796;1843;2726;3486;3667;4488;4708;4798;5079;5485;5590;6543;6547;6803
31	R1	e019_R1	Lysosome	NA	KEGG:04142	NA	NA	47;65;69;161;168;169;179;236;467;468;469;470;471;473;474;475;1012;1095;1105;1367;1398;1501;1502;1504;1505;1506;1507;1508;1510;1511;1512;1513;1514;1516;1518;1521;1522;1525;1527;1528;1529;1531;1567;1758;2176;2268;2269;2272;2279;2310;2576;2577;2929;3162;3215;3231;3233;3236;3462;3546;3637;3650;3656;3677;3712;3747;3765;3908;3986;4015;4653;4698;4799;4802;4828;5076;5818;6060;6579
44	R1	e019_R1	negative regulation of cyclin-dependent protein serine/threonine kinase activity / Cell cycle / Cyclin D associated events in G1	GO:0045736	KEGG:04110	REAC:R-HSA-69231	GO:0065009;GO:0050789	74;241;349;532;1022;1023;1024;1025;1026;1027;1028;1029;1032;1104;1305;2165;2902;3648
47	R1	e019_R1	regulation of potassium ion transmembrane transporter activity	GO:1901016	NA	NA	GO:0065009;GO:0050789	88;89;287;288;641;701;743;1322;2144;4078;5029;5903
57	R1	e019_R1	Cushing syndrome / RAF activation	NA	KEGG:04934	REAC:R-HSA-5673000	NA	115;126;148;441;462;634;636;673;816;817;818;1052;1228;1229;1538;1596;2199;2631;2665;2679;2720;3133;3251;3613;4441;4461
63	R1	e019_R1	negative regulation of cell differentiation	GO:0045596	NA	NA	GO:0050789	124;627;2505;2542;2546;2547;2653;2664;3250;3256;5167;5728;5764;5809;5819
64	R1	e019_R1	ethanol oxidation / Tyrosine metabolism / Ethanol oxidation	GO:0006069	KEGG:00350	REAC:R-HSA-71384	GO:0006066;GO:0006091	125;127;130;275;425;1630;1736;1966;1985;3475;3477;3485;3685
75	R1	e019_R1	desensitization of G protein-coupled receptor signaling pathway	GO:0002029	NA	NA	GO:0050789	156;157;906;938;1694;3411;3666;4765;5408;5692
77	R1	e019_R1	antigen processing and presentation of lipid antigen via MHC class Ib	GO:0048003	NA	NA	GO:0002376	160;544;912;913;1770;2066;3880;4040;4736;4967;6038;7275
90	R1	e019_R1	negative regulation of oxidative stress-induced cell death	GO:1903202	NA	NA	GO:0050789	200;207;346;652;993;1419;2031;2164;3586;4780;4913
98	R1	e019_R1	fasciculation of motor neuron axon / EPHA-mediated growth cone collapse	GO:0097156	NA	REAC:R-HSA-3928663	GO:0008037;GO:0016043	221;305;1489;2029;2042;2043;2044;2615;3813;4414;5014;5093;5202;5264;5478;5727;5736;5783;6140
100	R1	e019_R1	Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects	NA	NA	REAC:R-HSA-9632693	NA	227;237;535;1019;1020;1021;1033;1036;1120;1884;1885;1886;1905;1906;1991;2318;2385;2386;2387;2880;4203;5471;6173;6514
101	R1	e019_R1	Nucleotide excision repair	NA	KEGG:03420	NA	NA	229;663;664;665;774;1265;1484;1536;1679;2046;2047;2049;2050;2052;2053;2054;2055;2056;2057;2058;2059;2060;2061;2062;2063;2065;2067;2069;2070;2071;2072;2073;2074;2075;2076;2077;2078;2079;2080;2081;2082;2083;2084;2085;2086;2087;2092;2093;2094;2095;2098;2104;2105;2106;2107;2108;2110;2112;2113;2114;2115;2116;2117;2118;2119;2120;2121;2122;2124;2125;2126;2127;2497;2537;2538;3039;3151;3626;4016;4389;4512;5325;7091;7366;7477
106	R1	e019_R1	Collecting duct acid secretion / Insulin receptor recycling	NA	KEGG:04966	REAC:R-HSA-77387	NA	253;322;368;525;527;528;1868;2590;3750;4328;5743
111	R1	e019_R1	Digestion of dietary carbohydrate	NA	NA	REAC:R-HSA-189085	NA	277;280;501;777;1180;2397;2701;2828;3121;3252;3349;3924;3932;4764;5063;5074;6021;6112
122	R1	e019_R1	Postsynaptic nicotinic acetylcholine receptors	NA	NA	REAC:R-HSA-622327	GO:0050896	324;326;440;1138;1139;1142;1144;1207;1209;1344;2461;3122;3197;3603;3939;4482;5032
126	R1	e019_R1	regulation of lipid localization	GO:1905952	NA	NA	GO:0050789	335;438;821;1001;1102;2180;2182;2222;2587;2963;3569;4118;5111;5280
152	R1	e019_R1	Taurine and hypotaurine metabolism	NA	KEGG:00430	NA	GO:0008152	459;595;801;863;1368;2241;2686;2687;4611;4950;5193;6220;6279;6922
154	R1	e019_R1	CYP2E1 reactions	NA	NA	REAC:R-HSA-211999	NA	465;693;1552;1553;1555;1556;2010;2011;2012;2032;2473;3030;3132;3264;3556;3602;3945;4145
174	R1	e019_R1	Glycine, serine and threonine metabolism	NA	KEGG:00260	NA	NA	583;635;1363;1757;2263;2696;2847;3383;3385;3707;4129;4419;4480;4841;6834
184	R1	e019_R1	glutamate receptor signaling pathway	GO:0007215	NA	NA	GO:0050789	684;1678;2891;2895;2897;2899;3104;3152;3343;3622;3660;3681;4679;4792;5134;5267;6150;7101
190	R1	e019_R1	one-carbon metabolic process / Nitrogen metabolism / FGFR1b ligand binding and activation	GO:0006730	KEGG:00910	REAC:R-HSA-190370	NA	758;759;760;761;769;770;943;2245;2246;2247;2248;2399;2404;2756;3206;3257;3865;7511
199	R1	e019_R1	MET activates PTK2 signaling	NA	NA	REAC:R-HSA-8874081	NA	855;1278;1493;3082;4393
208	R1	e019_R1	dopamine receptor signaling pathway / Chagas disease / Adenylate cyclase inhibitory pathway	GO:0007212	KEGG:05142	REAC:R-HSA-170670	GO:0050896;GO:0050789	973;977;2769;2770;2771;2772;2773;2774;2775;2776;6813
227	R1	e019_R1	response to peptide hormone	GO:0043434	NA	NA	GO:0050896	1284;1793;1795;2549;2620;3580;3630;3674;4243;5116;5443;5580;6063;6418;6582;6844;7154
