module	monet_type	experiment_info	function_summary	term_id_GO_BP	term_id_KEGG	term_id_REAC	goslim_pir	genes
1	R1	e019_R1	retrograde transport, endosome to Golgi / Endocytosis	GO:0042147	KEGG:04144	NA	GO:0051641;GO:0016192	ENSP00000000412;ENSP00000221957;ENSP00000230085;ENSP00000236671;ENSP00000260818;ENSP00000261889;ENSP00000281187;ENSP00000299138;ENSP00000310620;ENSP00000311399;ENSP00000311962;ENSP00000341344;ENSP00000349437;ENSP00000355217;ENSP00000357836;ENSP00000359540;ENSP00000362480;ENSP00000366998;ENSP00000368831;ENSP00000402935;ENSP00000438040;ENSP00000438085;ENSP00000445408;ENSP00000480853;ENSP00000481314
2	R1	e019_R1	mRNA export from nucleus / HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	GO:0006406	NA	REAC:R-HSA-3371497	GO:0051641;GO:0009057;GO:0016070;GO:0015931;GO:0050789	ENSP00000001008;ENSP00000225577;ENSP00000231509;ENSP00000262719;ENSP00000263073;ENSP00000297494;ENSP00000321320;ENSP00000350815;ENSP00000355261;ENSP00000360329;ENSP00000362674;ENSP00000394051;ENSP00000397927;ENSP00000425133;ENSP00000444810;ENSP00000470034;ENSP00000470142;ENSP00000482075
3	R1	e019_R1	regulation of endothelial cell proliferation / Ras signaling pathway / VEGF ligand-receptor interactions	GO:0001936	KEGG:04014	REAC:R-HSA-194313	GO:0032502;GO:0050789;GO:0040011;GO:0008283	ENSP00000002829;ENSP00000053867;ENSP00000216286;ENSP00000261937;ENSP00000263923;ENSP00000264036;ENSP00000264554;ENSP00000269886;ENSP00000282397;ENSP00000297904;ENSP00000311127;ENSP00000314897;ENSP00000320092;ENSP00000349022;ENSP00000352208;ENSP00000353582;ENSP00000358045;ENSP00000358696;ENSP00000361554;ENSP00000363827;ENSP00000366936;ENSP00000369375;ENSP00000369981;ENSP00000371347;ENSP00000371936;ENSP00000373905;ENSP00000442736;ENSP00000451040;ENSP00000478570;ENSP00000480043
4	R1	e019_R1	regulation of intracellular pH	GO:0051453	NA	NA	GO:0050789;GO:0050896;GO:0065009	ENSP00000003084;ENSP00000261693;ENSP00000262613;ENSP00000263980;ENSP00000264938;ENSP00000289361;ENSP00000300113;ENSP00000301607;ENSP00000335632;ENSP00000340510;ENSP00000345873;ENSP00000348751;ENSP00000353408;ENSP00000356042;ENSP00000357484;ENSP00000364235;ENSP00000365198;ENSP00000366797;ENSP00000367817;ENSP00000378920;ENSP00000384136;ENSP00000384996;ENSP00000394485;ENSP00000408005
5	R1	e019_R1	negative regulation of amyloid fibril formation / Prefoldin mediated transfer of substrate  to CCT/TriC	GO:1905907	NA	REAC:R-HSA-389957	GO:0050789;GO:0019538;GO:0016043	ENSP00000003302;ENSP00000244573;ENSP00000261813;ENSP00000264709;ENSP00000271715;ENSP00000286428;ENSP00000295746;ENSP00000325618;ENSP00000330074;ENSP00000350869;ENSP00000351490;ENSP00000355245;ENSP00000356234;ENSP00000356989;ENSP00000359357;ENSP00000360473;ENSP00000364885;ENSP00000370109;ENSP00000372170;ENSP00000378563;ENSP00000383986;ENSP00000447942;ENSP00000479618
6	R1	e019_R1	sensory perception of sound / Sensory processing of sound by outer hair cells of the cochlea	GO:0007605	NA	REAC:R-HSA-9662361	GO:0032502;GO:0050877	ENSP00000005226;ENSP00000205890;ENSP00000225525;ENSP00000297784;ENSP00000305941;ENSP00000308772;ENSP00000324775;ENSP00000330633;ENSP00000353346;ENSP00000354623;ENSP00000363068;ENSP00000381768;ENSP00000384582;ENSP00000386331;ENSP00000393128;ENSP00000410083;ENSP00000415090;ENSP00000480279;ENSP00000480489
7	R1	e019_R1	vesicle tethering involved in exocytosis / VxPx cargo-targeting to cilium	GO:0090522	NA	REAC:R-HSA-5620916	GO:0046903;GO:0061024;GO:0051640;GO:0016192;GO:0022406	ENSP00000005257;ENSP00000019317;ENSP00000216106;ENSP00000219782;ENSP00000230449;ENSP00000238738;ENSP00000253861;ENSP00000260762;ENSP00000272427;ENSP00000272519;ENSP00000307208;ENSP00000320117;ENSP00000325674;ENSP00000333920;ENSP00000334100;ENSP00000341219;ENSP00000349824;ENSP00000353458;ENSP00000355605;ENSP00000360162;ENSP00000369409;ENSP00000370695;ENSP00000387498;ENSP00000400713;ENSP00000425587;ENSP00000446880;ENSP00000448598;ENSP00000452634;ENSP00000484855
8	R1	e019_R1	actin filament-based process / Yersinia infection / RHO GTPases Activate WASPs and WAVEs	GO:0030029	KEGG:05135	REAC:R-HSA-5663213	GO:0006996	ENSP00000005260;ENSP00000219596;ENSP00000223023;ENSP00000228825;ENSP00000242140;ENSP00000248594;ENSP00000252071;ENSP00000256001;ENSP00000262942;ENSP00000263238;ENSP00000263246;ENSP00000294129;ENSP00000294742;ENSP00000295685;ENSP00000320924;ENSP00000345361;ENSP00000365891;ENSP00000367220;ENSP00000376024;ENSP00000380427;ENSP00000388169;ENSP00000389631;ENSP00000394496;ENSP00000413625;ENSP00000440945;ENSP00000452746;ENSP00000484060
9	R1	e019_R1	regulation of monoatomic ion transmembrane transporter activity / Arrhythmogenic right ventricular cardiomyopathy / Presynaptic depolarization and calcium channel opening	GO:0032412	KEGG:05412	REAC:R-HSA-112308	GO:0006811;GO:0015031;GO:0016192;GO:0007154;GO:0050789;GO:0065009	ENSP00000005284;ENSP00000219197;ENSP00000226021;ENSP00000252729;ENSP00000262138;ENSP00000264833;ENSP00000266376;ENSP00000270458;ENSP00000272133;ENSP00000282020;ENSP00000282499;ENSP00000288139;ENSP00000296526;ENSP00000300105;ENSP00000301050;ENSP00000310003;ENSP00000320025;ENSP00000327509;ENSP00000329200;ENSP00000349320;ENSP00000355192;ENSP00000365441;ENSP00000372169;ENSP00000375647;ENSP00000377840;ENSP00000397351;ENSP00000418081;ENSP00000419101;ENSP00000428994;ENSP00000438949;ENSP00000454014;ENSP00000481554
10	R1	e019_R1	Wnt signaling pathway, planar cell polarity pathway / Basal cell carcinoma / PCP/CE pathway	GO:0060071	KEGG:05217	REAC:R-HSA-4086400	GO:0032502;GO:0050789;GO:0007154	ENSP00000005340;ENSP00000262457;ENSP00000264634;ENSP00000285018;ENSP00000286201;ENSP00000290167;ENSP00000296849;ENSP00000316054;ENSP00000323901;ENSP00000325526;ENSP00000330523;ENSP00000337439;ENSP00000337443;ENSP00000351605;ENSP00000354607;ENSP00000364860;ENSP00000368169;ENSP00000378557;ENSP00000379228
