"initial_alias","converted_alias","name","description","namespace"
"ENSP00000263816","None","None","None",""
"ENSP00000315130","CLU","CLU","clusterin [Source:HGNC Symbol;Acc:HGNC:2095]","ENSP"
"ENSP00000264039","GPC1","GPC1","glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]","ENSP"
"ENSP00000284981","APP","APP","amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]","ENSP"
"ENSP00000381282","SELENOS","SELENOS","selenoprotein S [Source:HGNC Symbol;Acc:HGNC:30396]","ENSP"
"ENSP00000261693","SCARB1","SCARB1","scavenger receptor class B member 1 [Source:HGNC Symbol;Acc:HGNC:1664]","ENSP"
"ENSP00000332353","PTCH1","PTCH1","patched 1 [Source:HGNC Symbol;Acc:HGNC:9585]","ENSP"
"ENSP00000454071","LDLR","LDLR","low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]","ENSP"
"ENSP00000371532","VLDLR","VLDLR","very low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:12698]","ENSP"
"ENSP00000303634","LRP8","LRP8","LDL receptor related protein 8 [Source:HGNC Symbol;Acc:HGNC:6700]","ENSP"
"ENSP00000374135","LRP1B","LRP1B","LDL receptor related protein 1B [Source:HGNC Symbol;Acc:HGNC:6693]","ENSP"
"ENSP00000392423","RELN","RELN","reelin [Source:HGNC Symbol;Acc:HGNC:9957]","ENSP"
"ENSP00000221466","FCGRT","FCGRT","Fc gamma receptor and transporter [Source:HGNC Symbol;Acc:HGNC:3621]","ENSP"
"ENSP00000236850","APOA1","APOA1","apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]","ENSP"
"ENSP00000295897","ALB","ALB","albumin [Source:HGNC Symbol;Acc:HGNC:399]","ENSP"
"ENSP00000356563","PEX3","PEX3","peroxisomal biogenesis factor 3 [Source:HGNC Symbol;Acc:HGNC:8858]","ENSP"
"ENSP00000376458","CDON","CDON","cell adhesion associated, oncogene regulated [Source:HGNC Symbol;Acc:HGNC:17104]","ENSP"
"ENSP00000252486","APOE","APOE","apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]","ENSP"
"ENSP00000418663","BOC","BOC","BOC cell adhesion associated, oncogene regulated [Source:HGNC Symbol;Acc:HGNC:17173]","ENSP"
"ENSP00000233242","APOB","APOB","apolipoprotein B [Source:HGNC Symbol;Acc:HGNC:603]","ENSP"
