module	monet_type	experiment_info	function_summary	term_id_GO_BP	term_id_REAC	term_id_KEGG	goslim_pir	genes
1	M1	e019_M1	regulation of plasma lipoprotein particle levels / Cholesterol metabolism / Plasma lipoprotein assembly, remodeling, and clearance	GO:0097006	REAC:R-HSA-174824	KEGG:04979	GO:0032501;GO:0006807;GO:0050789;GO:0065003;GO:0044255;GO:0006793;GO:0006869	ENSP00000263816;ENSP00000315130;ENSP00000264039;ENSP00000284981;ENSP00000381282;ENSP00000261693;ENSP00000332353;ENSP00000454071;ENSP00000371532;ENSP00000303634;ENSP00000374135;ENSP00000392423;ENSP00000221466;ENSP00000236850;ENSP00000295897;ENSP00000356563;ENSP00000376458;ENSP00000252486;ENSP00000418663;ENSP00000233242;ENSP00000303208;ENSP00000348170;ENSP00000266991;ENSP00000237014;ENSP00000297261;ENSP00000295731;ENSP00000386357;ENSP00000375836;ENSP00000230036;ENSP00000200676;ENSP00000321334;ENSP00000317674;ENSP00000384906;ENSP00000222381;ENSP00000227667;ENSP00000309757;ENSP00000441828;ENSP00000365081;ENSP00000262101;ENSP00000445002;ENSP00000439012;ENSP00000278222;ENSP00000466775;ENSP00000381250;ENSP00000356969;ENSP00000480821;ENSP00000264005;ENSP00000457539;ENSP00000465356;ENSP00000387654;ENSP00000417138;ENSP00000468236;ENSP00000436126;ENSP00000274793;ENSP00000350425;ENSP00000316779;ENSP00000205948;ENSP00000296350;ENSP00000421922;ENSP00000298743;ENSP00000361266;ENSP00000352071;ENSP00000233575;ENSP00000225275;ENSP00000366267;ENSP00000421725;ENSP00000363868;ENSP00000429969;ENSP00000295834;ENSP00000373808;ENSP00000346537;ENSP00000460236;ENSP00000349298;ENSP00000355110;ENSP00000345179;ENSP00000363458;ENSP00000367064;ENSP00000360522;ENSP00000292377;ENSP00000366246;ENSP00000377836;ENSP00000359864;ENSP00000342850;ENSP00000399421;ENSP00000471277;ENSP00000420939;ENSP00000263094;ENSP00000299155;ENSP00000441726;ENSP00000470478;ENSP00000252490;ENSP00000257248;ENSP00000480053;ENSP00000267889;ENSP00000294484;ENSP00000284476;ENSP00000296575
2	M1	e019_M1	Mitochondrial translation initiation	NA	REAC:R-HSA-5368286	NA	GO:0006412	ENSP00000225969;ENSP00000259873;ENSP00000461930;ENSP00000419370;ENSP00000295491;ENSP00000369682;ENSP00000258105;ENSP00000357823;ENSP00000300151;ENSP00000301585;ENSP00000362036;ENSP00000306548;ENSP00000478035;ENSP00000177742;ENSP00000361206;ENSP00000342676;ENSP00000449884;ENSP00000308275;ENSP00000263629;ENSP00000245539;ENSP00000382250;ENSP00000272418;ENSP00000380466;ENSP00000373404;ENSP00000296102;ENSP00000333837;ENSP00000223324;ENSP00000276585;ENSP00000362208;ENSP00000253099;ENSP00000360498;ENSP00000361923;ENSP00000053468;ENSP00000258455;ENSP00000417602;ENSP00000341082;ENSP00000377486;ENSP00000256441;ENSP00000376732;ENSP00000256404;ENSP00000081029;ENSP00000323065;ENSP00000229238;ENSP00000310726;ENSP00000431040;ENSP00000317376;ENSP00000285298;ENSP00000216254;ENSP00000403614;ENSP00000288937;ENSP00000339844;ENSP00000352706;ENSP00000258383;ENSP00000253686;ENSP00000418008;ENSP00000264995;ENSP00000419038;ENSP00000446252;ENSP00000333401;ENSP00000343867;ENSP00000384952;ENSP00000354580;ENSP00000308717;ENSP00000331849;ENSP00000290208;ENSP00000363999;ENSP00000315397;ENSP00000354525;ENSP00000320184;ENSP00000356001;ENSP00000315017;ENSP00000279242;ENSP00000424328;ENSP00000484903;ENSP00000347277;ENSP00000261313;ENSP00000357320;ENSP00000426941;ENSP00000252602;ENSP00000318158;ENSP00000483491;ENSP00000354086;ENSP00000370508;ENSP00000199706;ENSP00000338057;ENSP00000360850;ENSP00000254928;ENSP00000254630;ENSP00000361084;ENSP00000308897;ENSP00000338389;ENSP00000420714;ENSP00000390331;ENSP00000423399;ENSP00000305682;ENSP00000260102;ENSP00000312311
3	M1	e019_M1	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules / Arrhythmogenic right ventricular cardiomyopathy / Adherens junctions interactions	GO:0016339	REAC:R-HSA-418990	KEGG:05412	GO:0022607;GO:0050877;GO:0051606;GO:0007155	ENSP00000005226;ENSP00000261769;ENSP00000373487;ENSP00000257192;ENSP00000305941;ENSP00000363068;ENSP00000386331;ENSP00000415090;ENSP00000424565;ENSP00000299441;ENSP00000384582;ENSP00000410083;ENSP00000381768;ENSP00000308772;ENSP00000485514;ENSP00000205890;ENSP00000351118;ENSP00000377862;ENSP00000426632;ENSP00000480489;ENSP00000480279;ENSP00000354623;ENSP00000362186;ENSP00000325954;ENSP00000264012;ENSP00000027335;ENSP00000371897;ENSP00000369129;ENSP00000384638;ENSP00000367433;ENSP00000484928;ENSP00000314153;ENSP00000269141;ENSP00000070846;ENSP00000262717;ENSP00000377508;ENSP00000371689;ENSP00000442954;ENSP00000462701;ENSP00000231021;ENSP00000380517;ENSP00000304669;ENSP00000382004;ENSP00000381058;ENSP00000246080;ENSP00000349477;ENSP00000331678;ENSP00000425093;ENSP00000437790;ENSP00000344115;ENSP00000378400;ENSP00000268613;ENSP00000374409;ENSP00000265071;ENSP00000262150;ENSP00000261590;ENSP00000389714;ENSP00000263207;ENSP00000289746;ENSP00000264463;ENSP00000307134;ENSP00000339390;ENSP00000268603;ENSP00000280904;ENSP00000352785;ENSP00000353608;ENSP00000397157;ENSP00000257198;ENSP00000357789;ENSP00000257189;ENSP00000439182;ENSP00000406229;ENSP00000432586;ENSP00000281092;ENSP00000263946;ENSP00000403067;ENSP00000267984;ENSP00000258930;ENSP00000269878;ENSP00000367096;ENSP00000267859;ENSP00000324775;ENSP00000410216;ENSP00000365198;ENSP00000262366;ENSP00000297784;ENSP00000299752;ENSP00000264360;ENSP00000367177;ENSP00000362125;ENSP00000287585;ENSP00000393128;ENSP00000353346;ENSP00000329158;ENSP00000351732;ENSP00000400223
4	M1	e019_M1	pattern specification process / Activation of HOX genes during differentiation	GO:0007389	REAC:R-HSA-5619507	NA	GO:0032501;GO:0032502	ENSP00000321239;ENSP00000006015;ENSP00000251203;ENSP00000362588;ENSP00000272369;ENSP00000364190;ENSP00000405890;ENSP00000240328;ENSP00000257566;ENSP00000040584;ENSP00000234198;ENSP00000222598;ENSP00000372170;ENSP00000343246;ENSP00000370253;ENSP00000370256;ENSP00000364524;ENSP00000243103;ENSP00000343619;ENSP00000371875;ENSP00000327758;ENSP00000342828;ENSP00000320089;ENSP00000376322;ENSP00000309439;ENSP00000239151;ENSP00000328928;ENSP00000222718;ENSP00000239165;ENSP00000386498;ENSP00000283921;ENSP00000331741;ENSP00000309913;ENSP00000371846;ENSP00000453307;ENSP00000298282;ENSP00000360552;ENSP00000420009;ENSP00000326604;ENSP00000399808;ENSP00000295206;ENSP00000297375;ENSP00000428480;ENSP00000297537;ENSP00000239243;ENSP00000249501;ENSP00000222726;ENSP00000353151;ENSP00000302836;ENSP00000453793;ENSP00000352565;ENSP00000222728;ENSP00000249499;ENSP00000243108;ENSP00000476742;ENSP00000309336;ENSP00000242159;ENSP00000302548;ENSP00000258829;ENSP00000222753;ENSP00000484411;ENSP00000243056;ENSP00000370421;ENSP00000328598;ENSP00000307321;ENSP00000347684;ENSP00000231121;ENSP00000340660;ENSP00000355245;ENSP00000239144;ENSP00000331791;ENSP00000363254;ENSP00000354478;ENSP00000240306;ENSP00000389870;ENSP00000240335;ENSP00000446680;ENSP00000358677;ENSP00000315949;ENSP00000249504;ENSP00000290295;ENSP00000417207;ENSP00000482393;ENSP00000385586;ENSP00000421799;ENSP00000302251;ENSP00000345147;ENSP00000372056;ENSP00000304331;ENSP00000252971;ENSP00000319118;ENSP00000443292;ENSP00000369251;ENSP00000324701;ENSP00000273153
5	M1	e019_M1	receptor signaling pathway via JAK-STAT / JAK-STAT signaling pathway / Regulation of IFNA/IFNB signaling	GO:0007259	REAC:R-HSA-912694	KEGG:04630	GO:0050789;GO:0001775;GO:0044419;GO:0032502;GO:0008283;GO:0006793;GO:0036211;GO:0002376;GO:0050896	ENSP00000343204;ENSP00000354394;ENSP00000262345;ENSP00000369554;ENSP00000327824;ENSP00000343957;ENSP00000303231;ENSP00000338010;ENSP00000314976;ENSP00000229135;ENSP00000385675;ENSP00000260665;ENSP00000470788;ENSP00000300134;ENSP00000357470;ENSP00000412237;ENSP00000249075;ENSP00000356713;ENSP00000431885;ENSP00000296161;ENSP00000264563;ENSP00000311857;ENSP00000215794;ENSP00000215781;ENSP00000415900;ENSP00000279804;ENSP00000274276;ENSP00000263409;ENSP00000370698;ENSP00000276927;ENSP00000270139;ENSP00000315768;ENSP00000375795;ENSP00000369581;ENSP00000396068;ENSP00000450565;ENSP00000221847;ENSP00000368265;ENSP00000263379;ENSP00000376134;ENSP00000349365;ENSP00000264497;ENSP00000304915;ENSP00000329991;ENSP00000380073;ENSP00000290200;ENSP00000231228;ENSP00000227752;ENSP00000442424;ENSP00000409000;ENSP00000270800;ENSP00000376188;ENSP00000274520;ENSP00000228534;ENSP00000321345;ENSP00000418194;ENSP00000353512;ENSP00000229134;ENSP00000290219;ENSP00000245222;ENSP00000360730;ENSP00000328133;ENSP00000239347;ENSP00000244174;ENSP00000369574;ENSP00000355370;ENSP00000309338;ENSP00000411940;ENSP00000356065;ENSP00000343000;ENSP00000296980;ENSP00000369571;ENSP00000369564;ENSP00000369578;ENSP00000412897;ENSP00000369553;ENSP00000369558;ENSP00000369566;ENSP00000366234;ENSP00000480467;ENSP00000379458;ENSP00000388223;ENSP00000333639;ENSP00000484479
6	M1	e019_M1	presynaptic endocytosis / Lysosome / trans-Golgi Network Vesicle Budding	GO:0140238	REAC:R-HSA-199992	KEGG:04142	GO:0016192;GO:0048753;GO:0065003;GO:0051640	ENSP00000250244;ENSP00000483453;ENSP00000441158;ENSP00000409667;ENSP00000360798;ENSP00000417573;ENSP00000242285;ENSP00000314499;ENSP00000450114;ENSP00000384869;ENSP00000341737;ENSP00000371085;ENSP00000377015;ENSP00000225719;ENSP00000292807;ENSP00000473001;ENSP00000303522;ENSP00000391942;ENSP00000347244;ENSP00000434142;ENSP00000325369;ENSP00000360076;ENSP00000349437;ENSP00000451300;ENSP00000281142;ENSP00000393313;ENSP00000367343;ENSP00000327694;ENSP00000351926;ENSP00000216366;ENSP00000338777;ENSP00000377148;ENSP00000363229;ENSP00000399745;ENSP00000393776;ENSP00000353224;ENSP00000350199;ENSP00000345055;ENSP00000268933;ENSP00000388996;ENSP00000410862;ENSP00000379891;ENSP00000255194;ENSP00000349781;ENSP00000313391;ENSP00000348602;ENSP00000373905;ENSP00000263270;ENSP00000312442;ENSP00000358582;ENSP00000482835;ENSP00000419422;ENSP00000238855;ENSP00000481750;ENSP00000440984;ENSP00000370719;ENSP00000261842;ENSP00000297562;ENSP00000336666;ENSP00000320543;ENSP00000349824;ENSP00000392065;ENSP00000428787;ENSP00000386456;ENSP00000362014;ENSP00000347416;ENSP00000406209;ENSP00000400459;ENSP00000261558;ENSP00000356705;ENSP00000352603;ENSP00000444957;ENSP00000302108;ENSP00000479606;ENSP00000317431;ENSP00000379256;ENSP00000454303;ENSP00000253083;ENSP00000369981;ENSP00000429824;ENSP00000429309;ENSP00000309415;ENSP00000334836;ENSP00000347408
7	M1	e019_M1	autophagosome organization / Autophagy - other / Macroautophagy	GO:1905037	REAC:R-HSA-1632852	KEGG:04136	GO:0007033;GO:0022607;GO:0006914;GO:0007005;GO:0022411	ENSP00000362751;ENSP00000348565;ENSP00000370891;ENSP00000297477;ENSP00000295888;ENSP00000266458;ENSP00000306866;ENSP00000375872;ENSP00000363970;ENSP00000283290;ENSP00000037243;ENSP00000426103;ENSP00000288828;ENSP00000309432;ENSP00000025008;ENSP00000329507;ENSP00000425107;ENSP00000411250;ENSP00000386710;ENSP00000363389;ENSP00000450524;ENSP00000349785;ENSP00000348848;ENSP00000326340;ENSP00000432412;ENSP00000268607;ENSP00000324560;ENSP00000400312;ENSP00000365536;ENSP00000403400;ENSP00000398523;ENSP00000378914;ENSP00000358072;ENSP00000338990;ENSP00000320563;ENSP00000368797;ENSP00000389913;ENSP00000376269;ENSP00000344215;ENSP00000354340;ENSP00000368799;ENSP00000296582;ENSP00000365962;ENSP00000404923;ENSP00000479580;ENSP00000367284;ENSP00000313050;ENSP00000244051;ENSP00000352510;ENSP00000384259;ENSP00000311318;ENSP00000216121;ENSP00000355210;ENSP00000361306;ENSP00000387535;ENSP00000370003;ENSP00000351990;ENSP00000262139;ENSP00000357625;ENSP00000296137;ENSP00000304642;ENSP00000457788;ENSP00000363943;ENSP00000322159;ENSP00000478474;ENSP00000386538;ENSP00000395249;ENSP00000210187;ENSP00000463188;ENSP00000262291;ENSP00000319482;ENSP00000366475;ENSP00000481721;ENSP00000300584;ENSP00000282185;ENSP00000428220;ENSP00000300231;ENSP00000234831;ENSP00000337688;ENSP00000353010;ENSP00000287025;ENSP00000295213;ENSP00000297459
8	M1	e019_M1	chloride transport / Nicotine addiction / Neurotransmitter receptors and postsynaptic signal transmission	GO:0006821	REAC:R-HSA-112314	KEGG:05033	GO:0065008;GO:0006811;GO:0007154	ENSP00000003084;ENSP00000265593;ENSP00000419378;ENSP00000386029;ENSP00000479113;ENSP00000347454;ENSP00000264428;ENSP00000358460;ENSP00000339867;ENSP00000412673;ENSP00000335592;ENSP00000356102;ENSP00000411593;ENSP00000258796;ENSP00000438863;ENSP00000286808;ENSP00000349456;ENSP00000399709;ENSP00000409544;ENSP00000364935;ENSP00000234701;ENSP00000410732;ENSP00000448310;ENSP00000421828;ENSP00000359353;ENSP00000359337;ENSP00000409126;ENSP00000295452;ENSP00000430100;ENSP00000264318;ENSP00000308725;ENSP00000469332;ENSP00000365714;ENSP00000295454;ENSP00000481321;ENSP00000274547;ENSP00000218075;ENSP00000290332;ENSP00000367848;ENSP00000332771;ENSP00000274545;ENSP00000269346;ENSP00000332413;ENSP00000185206;ENSP00000348453;ENSP00000363500;ENSP00000393097;ENSP00000274093;ENSP00000378920;ENSP00000364831;ENSP00000361281;ENSP00000383295;ENSP00000480998;ENSP00000315602;ENSP00000276410;ENSP00000385026;ENSP00000359285;ENSP00000261177;ENSP00000301258;ENSP00000417901;ENSP00000290401;ENSP00000374145;ENSP00000387100;ENSP00000253401;ENSP00000258385;ENSP00000312663;ENSP00000437554;ENSP00000299565;ENSP00000246515;ENSP00000299847;ENSP00000261751;ENSP00000407546;ENSP00000360312;ENSP00000298251;ENSP00000304290;ENSP00000250699;ENSP00000289957;ENSP00000293780;ENSP00000357461;ENSP00000334463;ENSP00000479586;ENSP00000361700
9	M1	e019_M1	protein ubiquitination / Neddylation	GO:0016567	REAC:R-HSA-8951664	NA	GO:0009057;GO:0050789;GO:0036211;GO:0006508	ENSP00000359385;ENSP00000383044;ENSP00000424198;ENSP00000343273;ENSP00000343930;ENSP00000264414;ENSP00000437464;ENSP00000356230;ENSP00000252744;ENSP00000369217;ENSP00000381693;ENSP00000352614;ENSP00000254323;ENSP00000420659;ENSP00000379434;ENSP00000215739;ENSP00000171111;ENSP00000370671;ENSP00000264933;ENSP00000476795;ENSP00000226225;ENSP00000377001;ENSP00000287777;ENSP00000455785;ENSP00000286070;ENSP00000443191;ENSP00000351933;ENSP00000331682;ENSP00000228495;ENSP00000312397;ENSP00000301738;ENSP00000336800;ENSP00000362409;ENSP00000395012;ENSP00000401878;ENSP00000280098;ENSP00000385096;ENSP00000312814;ENSP00000479101;ENSP00000362807;ENSP00000273963;ENSP00000332791;ENSP00000366886;ENSP00000284669;ENSP00000209884;ENSP00000362146;ENSP00000378295;ENSP00000379739;ENSP00000300976;ENSP00000251166;ENSP00000356468;ENSP00000358365;ENSP00000327145;ENSP00000291900;ENSP00000360583;ENSP00000294353;ENSP00000232744;ENSP00000423897;ENSP00000275532;ENSP00000321388;ENSP00000347188;ENSP00000314608;ENSP00000376337;ENSP00000301633;ENSP00000359356;ENSP00000302898;ENSP00000376419;ENSP00000415106;ENSP00000221200;ENSP00000475750;ENSP00000418751;ENSP00000339340;ENSP00000239926;ENSP00000352272;ENSP00000302586;ENSP00000384545;ENSP00000328352;ENSP00000321475;ENSP00000352314;ENSP00000448955
10	M1	e019_M1	rRNA processing / Ribosome biogenesis in eukaryotes / rRNA processing in the nucleus and cytosol	GO:0006364	REAC:R-HSA-8868773	KEGG:03008	GO:0009057;GO:0050789;GO:0042254;GO:0006396	ENSP00000479504;ENSP00000383949;ENSP00000221801;ENSP00000407067;ENSP00000344393;ENSP00000423067;ENSP00000366135;ENSP00000398597;ENSP00000355471;ENSP00000259239;ENSP00000262365;ENSP00000261637;ENSP00000361433;ENSP00000359939;ENSP00000291576;ENSP00000352182;ENSP00000199320;ENSP00000454746;ENSP00000323046;ENSP00000470560;ENSP00000264279;ENSP00000311135;ENSP00000244496;ENSP00000254803;ENSP00000315476;ENSP00000297579;ENSP00000482107;ENSP00000327179;ENSP00000257829;ENSP00000350698;ENSP00000384302;ENSP00000321711;ENSP00000371345;ENSP00000297990;ENSP00000419005;ENSP00000244230;ENSP00000308179;ENSP00000374354;ENSP00000261708;ENSP00000221233;ENSP00000260563;ENSP00000405068;ENSP00000314193;ENSP00000363746;ENSP00000362105;ENSP00000460871;ENSP00000398502;ENSP00000358812;ENSP00000321449;ENSP00000454836;ENSP00000477848;ENSP00000253247;ENSP00000265564;ENSP00000328854;ENSP00000411010;ENSP00000247003;ENSP00000229214;ENSP00000377944;ENSP00000386134;ENSP00000428619;ENSP00000263657;ENSP00000232888;ENSP00000371169;ENSP00000368984;ENSP00000308332;ENSP00000326981;ENSP00000230640;ENSP00000478982;ENSP00000230340;ENSP00000225298;ENSP00000348107;ENSP00000473383;ENSP00000366997;ENSP00000296792;ENSP00000363642;ENSP00000370589;ENSP00000355541;ENSP00000339095;ENSP00000485630;ENSP00000371101
