"initial_alias","converted_alias","name","description","namespace"
"ENSG00000215251","FASTKD5","FASTKD5","FAST kinase domains 5 [Source:HGNC Symbol;Acc:HGNC:25790]","ARRAYEXPRESS,ENSG"
"ENSG00000243927","MRPS6","MRPS6","mitochondrial ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:14051]","ARRAYEXPRESS,ENSG"
"ENSG00000177646","ACAD9","ACAD9","acyl-CoA dehydrogenase family member 9 [Source:HGNC Symbol;Acc:HGNC:21497]","ARRAYEXPRESS,ENSG"
"ENSG00000196365","LONP1","LONP1","lon peptidase 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:9479]","ARRAYEXPRESS,ENSG"
"ENSG00000182180","MRPS16","MRPS16","mitochondrial ribosomal protein S16 [Source:HGNC Symbol;Acc:HGNC:14048]","ARRAYEXPRESS,ENSG"
"ENSG00000164347","GFM2","GFM2","GTP dependent ribosome recycling factor mitochondrial 2 [Source:HGNC Symbol;Acc:HGNC:29682]","ARRAYEXPRESS,ENSG"
"ENSG00000138035","PNPT1","PNPT1","polyribonucleotide nucleotidyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23166]","ARRAYEXPRESS,ENSG"
"ENSG00000119705","SLIRP","SLIRP","SRA stem-loop interacting RNA binding protein [Source:HGNC Symbol;Acc:HGNC:20495]","ARRAYEXPRESS,ENSG"
"ENSG00000103202","NME4","NME4","NME/NM23 nucleoside diphosphate kinase 4 [Source:HGNC Symbol;Acc:HGNC:7852]","ARRAYEXPRESS,ENSG"
"ENSG00000061794","MRPS35","MRPS35","mitochondrial ribosomal protein S35 [Source:HGNC Symbol;Acc:HGNC:16635]","ARRAYEXPRESS,ENSG"
"ENSG00000048544","MRPS10","MRPS10","mitochondrial ribosomal protein S10 [Source:HGNC Symbol;Acc:HGNC:14502]","ARRAYEXPRESS,ENSG"
"ENSG00000137133","HINT2","HINT2","histidine triad nucleotide binding protein 2 [Source:HGNC Symbol;Acc:HGNC:18344]","ARRAYEXPRESS,ENSG"
"ENSG00000107815","TWNK","TWNK","twinkle mtDNA helicase [Source:HGNC Symbol;Acc:HGNC:1160]","ARRAYEXPRESS,ENSG"
"ENSG00000131368","MRPS25","MRPS25","mitochondrial ribosomal protein S25 [Source:HGNC Symbol;Acc:HGNC:14511]","ARRAYEXPRESS,ENSG"
"ENSG00000144381","HSPD1","HSPD1","heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]","ARRAYEXPRESS,ENSG"
"ENSG00000239789","MRPS17","MRPS17","mitochondrial ribosomal protein S17 [Source:HGNC Symbol;Acc:HGNC:14047]","ARRAYEXPRESS,ENSG"
"ENSG00000120662","MTRF1","MTRF1","mitochondrial translation release factor 1 [Source:HGNC Symbol;Acc:HGNC:7469]","ARRAYEXPRESS,ENSG"
"ENSG00000101181","MTG2","MTG2","mitochondrial ribosome associated GTPase 2 [Source:HGNC Symbol;Acc:HGNC:16239]","ARRAYEXPRESS,ENSG"
"ENSG00000105379","ETFB","ETFB","electron transfer flavoprotein subunit beta [Source:HGNC Symbol;Acc:HGNC:3482]","ARRAYEXPRESS,ENSG"
"ENSG00000108179","PPIF","PPIF","peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]","ARRAYEXPRESS,ENSG"
"ENSG00000147586","MRPS28","MRPS28","mitochondrial ribosomal protein S28 [Source:HGNC Symbol;Acc:HGNC:14513]","ARRAYEXPRESS,ENSG"
"ENSG00000156502","SUPV3L1","SUPV3L1","Suv3 like RNA helicase [Source:HGNC Symbol;Acc:HGNC:11471]","ARRAYEXPRESS,ENSG"
"ENSG00000124279","FASTKD3","FASTKD3","FAST kinase domains 3 [Source:HGNC Symbol;Acc:HGNC:28758]","ARRAYEXPRESS,ENSG"
"ENSG00000148090","AUH","AUH","AU RNA binding methylglutaconyl-CoA hydratase [Source:HGNC Symbol;Acc:HGNC:890]","ARRAYEXPRESS,ENSG"
"ENSG00000122033","MTIF3","MTIF3","mitochondrial translational initiation factor 3 [Source:HGNC Symbol;Acc:HGNC:29788]","ARRAYEXPRESS,ENSG"
"ENSG00000085760","MTIF2","MTIF2","mitochondrial translational initiation factor 2 [Source:HGNC Symbol;Acc:HGNC:7441]","ARRAYEXPRESS,ENSG"
"ENSG00000132591","ERAL1","ERAL1","Era like 12S mitochondrial rRNA chaperone 1 [Source:HGNC Symbol;Acc:HGNC:3424]","ARRAYEXPRESS,ENSG"
"ENSG00000151806","GUF1","GUF1","GTP binding elongation factor GUF1 [Source:HGNC Symbol;Acc:HGNC:25799]","ARRAYEXPRESS,ENSG"
"ENSG00000134905","CARS2","CARS2","cysteinyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:25695]","ARRAYEXPRESS,ENSG"
"ENSG00000122140","MRPS2","MRPS2","mitochondrial ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:14495]","ARRAYEXPRESS,ENSG"
"ENSG00000132300","PTCD3","PTCD3","pentatricopeptide repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:24717]","ARRAYEXPRESS,ENSG"
"ENSG00000119689","DLST","DLST","dihydrolipoamide S-succinyltransferase [Source:HGNC Symbol;Acc:HGNC:2911]","ARRAYEXPRESS,ENSG"
"ENSG00000148187","MRRF","MRRF","mitochondrial ribosome recycling factor [Source:HGNC Symbol;Acc:HGNC:7234]","ARRAYEXPRESS,ENSG"
