module	monet_type	experiment_info	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents	perc_rank	cumelative_dist	rank	P	N	tp	fp	fn	tn	tot_pop_valid	mcc	row_rank_p	row_rank_mcc	top_go	top_kegg	top_reac	goslim_pir	genes
1	M1	e019_M1	TRUE	4.549032891844948e-78	158	85	50	0.5882352941176471	0.31645569620253167	GO:0140053	GO:BP	mitochondrial gene expression	16324	20737	NA	0	0.02564102564102564	1	158	16166	50	35	108	16131	16324	0.4275355177331374	1	1	GO:0140053	-	-	GO:0016070;GO:0006412	ENSG00000215251;ENSG00000243927;ENSG00000177646;ENSG00000196365;ENSG00000182180;ENSG00000164347;ENSG00000138035;ENSG00000119705;ENSG00000103202;ENSG00000061794;ENSG00000048544;ENSG00000137133;ENSG00000107815;ENSG00000131368;ENSG00000144381;ENSG00000239789;ENSG00000120662;ENSG00000101181;ENSG00000105379;ENSG00000108179;ENSG00000147586;ENSG00000156502;ENSG00000124279;ENSG00000148090;ENSG00000122033;ENSG00000085760;ENSG00000132591;ENSG00000151806;ENSG00000134905;ENSG00000122140;ENSG00000132300;ENSG00000119689;ENSG00000148187;ENSG00000174173;ENSG00000104980;ENSG00000115419;ENSG00000132463;ENSG00000172171;ENSG00000112031;ENSG00000113048;ENSG00000036473;ENSG00000139428;ENSG00000175110;ENSG00000181991;ENSG00000182199;ENSG00000244005;ENSG00000140374;ENSG00000181610;ENSG00000118246;ENSG00000125901;ENSG00000090263;ENSG00000102763;ENSG00000182810;ENSG00000125445;ENSG00000160194;ENSG00000123472;ENSG00000062582;ENSG00000116898;ENSG00000163319;ENSG00000172586;ENSG00000183010;ENSG00000155906;ENSG00000165526;ENSG00000175756;ENSG00000168924;ENSG00000156469;ENSG00000138095;ENSG00000136463;ENSG00000144029;ENSG00000137500;ENSG00000119673;ENSG00000067704;ENSG00000081177;ENSG00000108064;ENSG00000148672;ENSG00000135972;ENSG00000099821;ENSG00000156026;ENSG00000103707;ENSG00000120333;ENSG00000132676;ENSG00000132153;ENSG00000074071;ENSG00000164182;ENSG00000006744;ENSG00000168827;ENSG00000074582;ENSG00000023330;ENSG00000102738;ENSG00000050393
1	M1	e019_M1	TRUE	3.6072783166182347e-54	93	68	35	0.5147058823529411	0.3763440860215054	REAC:R-HSA-5368287	REAC	Mitochondrial translation	10790	1394	NA	0.05263157894736842	0.07692307692307693	3	93	10697	35	33	58	10664	10790	0.4360040559412875	1	1	-	-	REAC:R-HSA-5368287	GO:0016070;GO:0006412	ENSG00000215251;ENSG00000243927;ENSG00000177646;ENSG00000196365;ENSG00000182180;ENSG00000164347;ENSG00000138035;ENSG00000119705;ENSG00000103202;ENSG00000061794;ENSG00000048544;ENSG00000137133;ENSG00000107815;ENSG00000131368;ENSG00000144381;ENSG00000239789;ENSG00000120662;ENSG00000101181;ENSG00000105379;ENSG00000108179;ENSG00000147586;ENSG00000156502;ENSG00000124279;ENSG00000148090;ENSG00000122033;ENSG00000085760;ENSG00000132591;ENSG00000151806;ENSG00000134905;ENSG00000122140;ENSG00000132300;ENSG00000119689;ENSG00000148187;ENSG00000174173;ENSG00000104980;ENSG00000115419;ENSG00000132463;ENSG00000172171;ENSG00000112031;ENSG00000113048;ENSG00000036473;ENSG00000139428;ENSG00000175110;ENSG00000181991;ENSG00000182199;ENSG00000244005;ENSG00000140374;ENSG00000181610;ENSG00000118246;ENSG00000125901;ENSG00000090263;ENSG00000102763;ENSG00000182810;ENSG00000125445;ENSG00000160194;ENSG00000123472;ENSG00000062582;ENSG00000116898;ENSG00000163319;ENSG00000172586;ENSG00000183010;ENSG00000155906;ENSG00000165526;ENSG00000175756;ENSG00000168924;ENSG00000156469;ENSG00000138095;ENSG00000136463;ENSG00000144029;ENSG00000137500;ENSG00000119673;ENSG00000067704;ENSG00000081177;ENSG00000108064;ENSG00000148672;ENSG00000135972;ENSG00000099821;ENSG00000156026;ENSG00000103707;ENSG00000120333;ENSG00000132676;ENSG00000132153;ENSG00000074071;ENSG00000164182;ENSG00000006744;ENSG00000168827;ENSG00000074582;ENSG00000023330;ENSG00000102738;ENSG00000050393
3	M1	e019_M1	TRUE	9.77873360944531e-7	90	79	9	0.1139240506329114	0.1	GO:0007200	GO:BP	phospholipase C-activating G protein-coupled receptor signaling pathway	16324	2823	NA	0.1	0.18181818181818185	2	90	16234	9	70	81	16164	16324	0.10209826952345216	2	1	GO:0007200	-	-	GO:0050789	ENSG00000004809;ENSG00000197296;ENSG00000108639;ENSG00000198018;ENSG00000111897;ENSG00000171860;ENSG00000023041;ENSG00000172954;ENSG00000085998;ENSG00000143570;ENSG00000151617;ENSG00000147246;ENSG00000158850;ENSG00000184857;ENSG00000185900;ENSG00000184992;ENSG00000157837;ENSG00000058668;ENSG00000144891;ENSG00000109929;ENSG00000125648;ENSG00000144567;ENSG00000168785;ENSG00000170412;ENSG00000196187;ENSG00000165678;ENSG00000146411;ENSG00000115353;ENSG00000163933;ENSG00000105983;ENSG00000149742;ENSG00000150625;ENSG00000134817;ENSG00000203737;ENSG00000163624;ENSG00000124532;ENSG00000126010;ENSG00000117479;ENSG00000159063;ENSG00000102195;ENSG00000106018;ENSG00000005206;ENSG00000198792;ENSG00000067842;ENSG00000169313;ENSG00000139133;ENSG00000197901;ENSG00000167191;ENSG00000163870;ENSG00000111684;ENSG00000066455;ENSG00000164180;ENSG00000175106;ENSG00000075673;ENSG00000100196;ENSG00000197977;ENSG00000171049;ENSG00000157111;ENSG00000003989;ENSG00000137207;ENSG00000139679;ENSG00000198121;ENSG00000168077;ENSG00000157600;ENSG00000054793;ENSG00000119787;ENSG00000050426;ENSG00000172292;ENSG00000155659;ENSG00000196715;ENSG00000123146;ENSG00000127080;ENSG00000111666;ENSG00000160216;ENSG00000114812;ENSG00000176894;ENSG00000198743;ENSG00000099282;ENSG00000197563;ENSG00000164187;ENSG00000164073;ENSG00000174749;ENSG00000069493;ENSG00000157087;ENSG00000206527;ENSG00000139624;ENSG00000197150
3	M1	e019_M1	TRUE	1.984393480913734e-6	366	43	13	0.3023255813953488	0.03551912568306011	KEGG:04080	KEGG	Neuroactive ligand-receptor interaction	8161	258	NA	0.2	0.2727272727272727	3	366	7795	13	30	353	7765	8161	0.09054090611199234	1	1	-	KEGG:04080	-	GO:0050789	ENSG00000004809;ENSG00000197296;ENSG00000108639;ENSG00000198018;ENSG00000111897;ENSG00000171860;ENSG00000023041;ENSG00000172954;ENSG00000085998;ENSG00000143570;ENSG00000151617;ENSG00000147246;ENSG00000158850;ENSG00000184857;ENSG00000185900;ENSG00000184992;ENSG00000157837;ENSG00000058668;ENSG00000144891;ENSG00000109929;ENSG00000125648;ENSG00000144567;ENSG00000168785;ENSG00000170412;ENSG00000196187;ENSG00000165678;ENSG00000146411;ENSG00000115353;ENSG00000163933;ENSG00000105983;ENSG00000149742;ENSG00000150625;ENSG00000134817;ENSG00000203737;ENSG00000163624;ENSG00000124532;ENSG00000126010;ENSG00000117479;ENSG00000159063;ENSG00000102195;ENSG00000106018;ENSG00000005206;ENSG00000198792;ENSG00000067842;ENSG00000169313;ENSG00000139133;ENSG00000197901;ENSG00000167191;ENSG00000163870;ENSG00000111684;ENSG00000066455;ENSG00000164180;ENSG00000175106;ENSG00000075673;ENSG00000100196;ENSG00000197977;ENSG00000171049;ENSG00000157111;ENSG00000003989;ENSG00000137207;ENSG00000139679;ENSG00000198121;ENSG00000168077;ENSG00000157600;ENSG00000054793;ENSG00000119787;ENSG00000050426;ENSG00000172292;ENSG00000155659;ENSG00000196715;ENSG00000123146;ENSG00000127080;ENSG00000111666;ENSG00000160216;ENSG00000114812;ENSG00000176894;ENSG00000198743;ENSG00000099282;ENSG00000197563;ENSG00000164187;ENSG00000164073;ENSG00000174749;ENSG00000069493;ENSG00000157087;ENSG00000206527;ENSG00000139624;ENSG00000197150
4	M1	e019_M1	TRUE	5.094037019826741e-82	294	84	59	0.7023809523809523	0.2006802721088435	GO:0007178	GO:BP	transmembrane receptor protein serine/threonine kinase signaling pathway	16324	2803	NA	0	0.00520833333333333	1	294	16030	59	25	235	16005	16324	0.3701043360454439	1	5	GO:0007178	-	-	GO:0032502;GO:0032501;GO:0006793;GO:0050896;GO:0050789;GO:0036211	ENSG00000170365;ENSG00000106799;ENSG00000122641;ENSG00000163083;ENSG00000135409;ENSG00000241186;ENSG00000115170;ENSG00000139567;ENSG00000121989;ENSG00000113658;ENSG00000120693;ENSG00000095739;ENSG00000069702;ENSG00000101144;ENSG00000171243;ENSG00000153162;ENSG00000106991;ENSG00000137834;ENSG00000039319;ENSG00000107779;ENSG00000204217;ENSG00000169554;ENSG00000119699;ENSG00000175906;ENSG00000103710;ENSG00000125845;ENSG00000114739;ENSG00000149948;ENSG00000135503;ENSG00000125965;ENSG00000090539;ENSG00000141232;ENSG00000138696;ENSG00000168509;ENSG00000167550;ENSG00000180532;ENSG00000123610;ENSG00000156466;ENSG00000171236;ENSG00000120725;ENSG00000132879;ENSG00000197415;ENSG00000263761;ENSG00000123999;ENSG00000109065;ENSG00000128829;ENSG00000181965;ENSG00000138379;ENSG00000021300;ENSG00000152332;ENSG00000127578;ENSG00000106336;ENSG00000159459;ENSG00000116985;ENSG00000171604;ENSG00000147255;ENSG00000152785;ENSG00000054938;ENSG00000115956;ENSG00000173418;ENSG00000101938;ENSG00000134363;ENSG00000128791;ENSG00000173714;ENSG00000168675;ENSG00000070404;ENSG00000135414;ENSG00000187045;ENSG00000183691;ENSG00000125378;ENSG00000198742;ENSG00000180245;ENSG00000123612;ENSG00000100302;ENSG00000174136;ENSG00000112175;ENSG00000175189;ENSG00000156671;ENSG00000186795;ENSG00000164619;ENSG00000038295;ENSG00000111341;ENSG00000122176;ENSG00000143869;ENSG00000180875;ENSG00000228049
4	M1	e019_M1	TRUE	6.168114793001661e-64	97	51	38	0.7450980392156863	0.3917525773195876	KEGG:04350	KEGG	TGF-beta signaling pathway	8161	298	NA	0.01047120418848167	0.015625	3	97	8064	38	13	59	8051	8161	0.5365208685421532	1	1	-	KEGG:04350	-	GO:0032502;GO:0032501;GO:0006793;GO:0050896;GO:0050789;GO:0036211	ENSG00000170365;ENSG00000106799;ENSG00000122641;ENSG00000163083;ENSG00000135409;ENSG00000241186;ENSG00000115170;ENSG00000139567;ENSG00000121989;ENSG00000113658;ENSG00000120693;ENSG00000095739;ENSG00000069702;ENSG00000101144;ENSG00000171243;ENSG00000153162;ENSG00000106991;ENSG00000137834;ENSG00000039319;ENSG00000107779;ENSG00000204217;ENSG00000169554;ENSG00000119699;ENSG00000175906;ENSG00000103710;ENSG00000125845;ENSG00000114739;ENSG00000149948;ENSG00000135503;ENSG00000125965;ENSG00000090539;ENSG00000141232;ENSG00000138696;ENSG00000168509;ENSG00000167550;ENSG00000180532;ENSG00000123610;ENSG00000156466;ENSG00000171236;ENSG00000120725;ENSG00000132879;ENSG00000197415;ENSG00000263761;ENSG00000123999;ENSG00000109065;ENSG00000128829;ENSG00000181965;ENSG00000138379;ENSG00000021300;ENSG00000152332;ENSG00000127578;ENSG00000106336;ENSG00000159459;ENSG00000116985;ENSG00000171604;ENSG00000147255;ENSG00000152785;ENSG00000054938;ENSG00000115956;ENSG00000173418;ENSG00000101938;ENSG00000134363;ENSG00000128791;ENSG00000173714;ENSG00000168675;ENSG00000070404;ENSG00000135414;ENSG00000187045;ENSG00000183691;ENSG00000125378;ENSG00000198742;ENSG00000180245;ENSG00000123612;ENSG00000100302;ENSG00000174136;ENSG00000112175;ENSG00000175189;ENSG00000156671;ENSG00000186795;ENSG00000164619;ENSG00000038295;ENSG00000111341;ENSG00000122176;ENSG00000143869;ENSG00000180875;ENSG00000228049
4	M1	e019_M1	TRUE	2.2430715656655875e-34	28	51	18	0.35294117647058826	0.6428571428571429	REAC:R-HSA-201451	REAC	Signaling by BMP	10790	2101	NA	0.078534031413612565	0.08333333333333333	16	28	10762	18	33	10	10729	10790	0.47456585760178105	2	1	-	-	REAC:R-HSA-201451	GO:0032502;GO:0032501;GO:0006793;GO:0050896;GO:0050789;GO:0036211	ENSG00000170365;ENSG00000106799;ENSG00000122641;ENSG00000163083;ENSG00000135409;ENSG00000241186;ENSG00000115170;ENSG00000139567;ENSG00000121989;ENSG00000113658;ENSG00000120693;ENSG00000095739;ENSG00000069702;ENSG00000101144;ENSG00000171243;ENSG00000153162;ENSG00000106991;ENSG00000137834;ENSG00000039319;ENSG00000107779;ENSG00000204217;ENSG00000169554;ENSG00000119699;ENSG00000175906;ENSG00000103710;ENSG00000125845;ENSG00000114739;ENSG00000149948;ENSG00000135503;ENSG00000125965;ENSG00000090539;ENSG00000141232;ENSG00000138696;ENSG00000168509;ENSG00000167550;ENSG00000180532;ENSG00000123610;ENSG00000156466;ENSG00000171236;ENSG00000120725;ENSG00000132879;ENSG00000197415;ENSG00000263761;ENSG00000123999;ENSG00000109065;ENSG00000128829;ENSG00000181965;ENSG00000138379;ENSG00000021300;ENSG00000152332;ENSG00000127578;ENSG00000106336;ENSG00000159459;ENSG00000116985;ENSG00000171604;ENSG00000147255;ENSG00000152785;ENSG00000054938;ENSG00000115956;ENSG00000173418;ENSG00000101938;ENSG00000134363;ENSG00000128791;ENSG00000173714;ENSG00000168675;ENSG00000070404;ENSG00000135414;ENSG00000187045;ENSG00000183691;ENSG00000125378;ENSG00000198742;ENSG00000180245;ENSG00000123612;ENSG00000100302;ENSG00000174136;ENSG00000112175;ENSG00000175189;ENSG00000156671;ENSG00000186795;ENSG00000164619;ENSG00000038295;ENSG00000111341;ENSG00000122176;ENSG00000143869;ENSG00000180875;ENSG00000228049
6	M1	e019_M1	TRUE	1.2636106400919894e-37	161	77	30	0.3896103896103896	0.1863354037267081	GO:0009060	GO:BP	aerobic respiration	16324	3312	NA	0	0.01265822784810126	1	161	16163	30	47	131	16116	16324	0.2645492192873154	1	2	GO:0009060	-	-	GO:0022900;GO:0006119;GO:0009117	ENSG00000111711;ENSG00000183978;ENSG00000167792;ENSG00000010256;ENSG00000104412;ENSG00000110880;ENSG00000189043;ENSG00000114054;ENSG00000131828;ENSG00000165637;ENSG00000105953;ENSG00000175768;ENSG00000169252;ENSG00000166340;ENSG00000140740;ENSG00000114573;ENSG00000078668;ENSG00000109919;ENSG00000115286;ENSG00000115944;ENSG00000085491;ENSG00000177469;ENSG00000100216;ENSG00000075785;ENSG00000110955;ENSG00000165629;ENSG00000176340;ENSG00000110090;ENSG00000215021;ENSG00000174437;ENSG00000248098;ENSG00000119421;ENSG00000112992;ENSG00000156515;ENSG00000105854;ENSG00000127948;ENSG00000008394;ENSG00000139180;ENSG00000158864;ENSG00000131100;ENSG00000130204;ENSG00000110717;ENSG00000164919;ENSG00000084754;ENSG00000128463;ENSG00000168291;ENSG00000179091;ENSG00000166347;ENSG00000138029;ENSG00000167283;ENSG00000147416;ENSG00000196597;ENSG00000023228;ENSG00000166136;ENSG00000184117;ENSG00000108774;ENSG00000159348;ENSG00000143653;ENSG00000018510;ENSG00000147684;ENSG00000198712;ENSG00000100243;ENSG00000101558;ENSG00000131148;ENSG00000122884;ENSG00000146729;ENSG00000173660;ENSG00000127184;ENSG00000173436;ENSG00000159720;ENSG00000130203;ENSG00000168653;ENSG00000083123;ENSG00000241837;ENSG00000128609;ENSG00000148334;ENSG00000198363;ENSG00000164405
6	M1	e019_M1	TRUE	6.1172168650490795e-37	134	60	30	0.5	0.22388059701492535	KEGG:00190	KEGG	Oxidative phosphorylation	8161	18	NA	0.01282051282051282	0.02531645569620253	2	134	8027	30	30	104	7997	8161	0.32748347156082225	1	1	-	KEGG:00190	-	GO:0022900;GO:0006119;GO:0009117	ENSG00000111711;ENSG00000183978;ENSG00000167792;ENSG00000010256;ENSG00000104412;ENSG00000110880;ENSG00000189043;ENSG00000114054;ENSG00000131828;ENSG00000165637;ENSG00000105953;ENSG00000175768;ENSG00000169252;ENSG00000166340;ENSG00000140740;ENSG00000114573;ENSG00000078668;ENSG00000109919;ENSG00000115286;ENSG00000115944;ENSG00000085491;ENSG00000177469;ENSG00000100216;ENSG00000075785;ENSG00000110955;ENSG00000165629;ENSG00000176340;ENSG00000110090;ENSG00000215021;ENSG00000174437;ENSG00000248098;ENSG00000119421;ENSG00000112992;ENSG00000156515;ENSG00000105854;ENSG00000127948;ENSG00000008394;ENSG00000139180;ENSG00000158864;ENSG00000131100;ENSG00000130204;ENSG00000110717;ENSG00000164919;ENSG00000084754;ENSG00000128463;ENSG00000168291;ENSG00000179091;ENSG00000166347;ENSG00000138029;ENSG00000167283;ENSG00000147416;ENSG00000196597;ENSG00000023228;ENSG00000166136;ENSG00000184117;ENSG00000108774;ENSG00000159348;ENSG00000143653;ENSG00000018510;ENSG00000147684;ENSG00000198712;ENSG00000100243;ENSG00000101558;ENSG00000131148;ENSG00000122884;ENSG00000146729;ENSG00000173660;ENSG00000127184;ENSG00000173436;ENSG00000159720;ENSG00000130203;ENSG00000168653;ENSG00000083123;ENSG00000241837;ENSG00000128609;ENSG00000148334;ENSG00000198363;ENSG00000164405
6	M1	e019_M1	TRUE	8.955824056204881e-31	127	69	26	0.37681159420289856	0.2047244094488189	REAC:R-HSA-163200	REAC	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	10790	1964	NA	0.10256410256410256	0.1139240506329114	9	127	10663	26	43	101	10620	10790	0.27153695399503075	2	1	-	-	REAC:R-HSA-163200	GO:0022900;GO:0006119;GO:0009117	ENSG00000111711;ENSG00000183978;ENSG00000167792;ENSG00000010256;ENSG00000104412;ENSG00000110880;ENSG00000189043;ENSG00000114054;ENSG00000131828;ENSG00000165637;ENSG00000105953;ENSG00000175768;ENSG00000169252;ENSG00000166340;ENSG00000140740;ENSG00000114573;ENSG00000078668;ENSG00000109919;ENSG00000115286;ENSG00000115944;ENSG00000085491;ENSG00000177469;ENSG00000100216;ENSG00000075785;ENSG00000110955;ENSG00000165629;ENSG00000176340;ENSG00000110090;ENSG00000215021;ENSG00000174437;ENSG00000248098;ENSG00000119421;ENSG00000112992;ENSG00000156515;ENSG00000105854;ENSG00000127948;ENSG00000008394;ENSG00000139180;ENSG00000158864;ENSG00000131100;ENSG00000130204;ENSG00000110717;ENSG00000164919;ENSG00000084754;ENSG00000128463;ENSG00000168291;ENSG00000179091;ENSG00000166347;ENSG00000138029;ENSG00000167283;ENSG00000147416;ENSG00000196597;ENSG00000023228;ENSG00000166136;ENSG00000184117;ENSG00000108774;ENSG00000159348;ENSG00000143653;ENSG00000018510;ENSG00000147684;ENSG00000198712;ENSG00000100243;ENSG00000101558;ENSG00000131148;ENSG00000122884;ENSG00000146729;ENSG00000173660;ENSG00000127184;ENSG00000173436;ENSG00000159720;ENSG00000130203;ENSG00000168653;ENSG00000083123;ENSG00000241837;ENSG00000128609;ENSG00000148334;ENSG00000198363;ENSG00000164405
