"initial_alias","converted_alias","name","description","namespace"
"55754","TMEM30A","TMEM30A","transmembrane protein 30A [Source:HGNC Symbol;Acc:HGNC:16667]","ENTREZGENE_ACC"
"6259","RYK","RYK","receptor like tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:10481]","ENTREZGENE_ACC"
"9991","PTBP3","PTBP3","polypyrimidine tract binding protein 3 [Source:HGNC Symbol;Acc:HGNC:10253]","ENTREZGENE_ACC"
"55293","UEVLD","UEVLD","UEV and lactate/malate dehyrogenase domains [Source:HGNC Symbol;Acc:HGNC:30866]","ENTREZGENE_ACC"
"23603","CORO1C","CORO1C","coronin 1C [Source:HGNC Symbol;Acc:HGNC:2254]","ENTREZGENE_ACC"
"23118","TAB2","TAB2","TGF-beta activated kinase 1 (MAP3K7) binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17075]","ENTREZGENE_ACC"
"51068","NMD3","NMD3","NMD3 ribosome export adaptor [Source:HGNC Symbol;Acc:HGNC:24250]","ENTREZGENE_ACC"
"3416","IDE","IDE","insulin degrading enzyme [Source:HGNC Symbol;Acc:HGNC:5381]","ENTREZGENE_ACC"
"3655","ITGA6","ITGA6","integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]","ENTREZGENE_ACC"
"8826","IQGAP1","IQGAP1","IQ motif containing GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:6110]","ENTREZGENE_ACC"
"4893","NRAS","NRAS","NRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:7989]","ENTREZGENE_ACC"
"10114","HIPK3","HIPK3","homeodomain interacting protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:4915]","ENTREZGENE_ACC"
"9908","G3BP2","G3BP2","G3BP stress granule assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:30291]","ENTREZGENE_ACC"
"5781","PTPN11","PTPN11","protein tyrosine phosphatase non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]","ENTREZGENE_ACC"
